"ID" "trial_name" "treatment" "Distance.moved.Center.point.Total.cm" "In.zone.External.zone...Center.point.Frequency" "In.zone.External.zone...Center.point.Cumulative.Duration.s" "In.zone.External.zone...Center.point.Latency.to.First.s" "In.zone.External.zone...Center.point.Cumulative.Duration.." "In.zone.2.Transition.zone...Center.point.Frequency" "In.zone.2.Transition.zone...Center.point.Cumulative.Duration.s" "In.zone.2.Transition.zone...Center.point.Latency.to.First.s" "In.zone.2.Transition.zone...Center.point.Cumulative.Duration.." "In.zone.3.Center.zone...Center.point.Frequency" "In.zone.3.Center.zone...Center.point.Cumulative.Duration.s" "In.zone.3.Center.zone...Center.point.Latency.to.First.s" "In.zone.3.Center.zone...Center.point.Cumulative.Duration.." "Acceleration.Center.point.Minimum.cm.s." "Acceleration.Center.point.Mean.cm.s." "Acceleration.Center.point.Maximum.cm.s." "Acceleration.Center.point.Variance..cm.s..." "Turn.angle.Center.point...relative.Minimum.deg" "Turn.angle.Center.point...relative.Mean.deg" "Turn.angle.Center.point...relative.Maximum.deg" "Turn.angle.Center.point...relative.Variance.deg." "Head.direction.Head.direction.line.Mean.deg" "Head.direction.Head.direction.line.Standard.Deviation.deg" "Head.direction.Head.direction.line.Variance.deg." "Mobility.Body.fill.Minimum.." "Mobility.Body.fill.Mean.." "Mobility.Body.fill.Maximum.." "Mobility.Body.fill.Variance..." "Body.angle.Minimum.deg" "Body.angle.Mean.deg" "Body.angle.Maximum.deg" "Body.angle.Variance.deg." "freq1" "freq2" "freq3" "freq4" "max_cum_curvature_angle" "max_cum_head_center_angle" "max_cum_center_tail_angle" "var_curvature_angle" "var_head_center_angle" "var_center_tail_angle"
"37" 35 "Amont" 451.129 1 299.807 0.249756 99.9168 0 0 NA 0 0 0 NA 0 -430.011 -0.185095 497.318 955.51 -179.991 2.14514 179.978 7959.84 115.195 129.817 3030.75 0.492958 4.71607 61.796 36.715 -70.8316 2.00316 36.139 69.0132 0.0186135644059323 0.0205382436260623 0.0217630394934178 0.0217797033827695 NA NA NA NA NA NA
"38" 36 "Amont" 2430.14 27 219.604 32.0214 73.1813 43 33.4701 31.372 11.1537 17 47.008 0 15.6651 -474.406 0.0363289 483.935 3102.74 -179.988 2.21193 180 1988.69 -58.3585 105.626 2682.67 0.174182 14.4257 82.9003 91.6057 -78.8618 1.07902 77.0269 181.99 0.00599400599400599 0.00824175824175824 0.00851648351648352 0.00905760905760906 1028777.23000409 583736.956278057 499295.963156374 106.806862604607 11340.5511094382 9468.49634723209
"39" 37 "Amont" 57.0633 0 0 NA 0 0 0 NA 0 1 299.686 0.399648 99.8668 -144.767 -0.00114679 139.864 21.7499 -179.976 3.84681 179.991 13705.5 -80.4223 4.1605 8.64349 0.270071 0.752998 12.6264 0.107726 -14.286 -1.26214 13.2051 53.5289 0.0218156052017339 0.0220656885628543 0.0223324441480494 0.0240496832277426 NA NA NA NA NA NA
"40" 38 "Amont" 61.3528 0 0 NA 0 0 0 NA 0 1 300.086 0 100 -137.62 -0.00133913 144.326 23.7184 -179.986 5.42296 179.979 11925.6 55.5364 8.07532 32.444 0.214527 0.914798 18.9609 0.478175 -20.6464 -11.943 1.78942 35.2173 0.0214785214785215 0.0234182484182484 0.0238927738927739 0.0243506493506494 1009487.4324938 732209.419718832 420792.013857594 35.0934667196229 9.58305915661023 9.38264107155451
"41" 39 "Amont" 196.327 5 3.89666 0.499572 1.29848 6 294.298 0.649443 98.0689 1 1.3988 216.714 0.466123 -155.887 -0.107253 181.704 109.567 -179.994 -1.17043 179.983 9590.47 -167.354 16.2069 128.74 0.241796 1.92958 98.5055 24.1169 -78.1031 1.01184 65.2532 56.8478 0.0207054703135424 0.023157104736491 0.0242911941294196 0.0243579052701801 NA NA NA NA NA NA
"42" 40 "Amont" 2148.87 23 230.341 15.1396 76.7566 38 34.0765 14.7399 11.3553 16 35.2757 0.399724 11.7549 -340.061 0.0300947 340.365 1005.29 -179.412 1.68827 179.973 2635.63 121.847 102.865 2627.67 0.42943 13.5349 68.136 87.2246 -72.6987 -2.74578 68.7371 179.617 0.00753710188427547 0.0080040020010005 0.00815407703851926 0.0096715024178756 NA NA NA NA NA NA
"43" 41 "Amont" 4136.51 38 252.464 0 84.1325 51 38.8214 9.54297 12.9371 14 8.79352 54.36 2.9304 -460.295 -0.00636789 352.701 1832.95 -174.006 -0.067655 172.882 209.595 58.737 162.825 3224.92 1.87542 22.1845 77.9824 81.785 -76.9826 0.557086 72.4112 230.121 0.00895385640513077 0.009312010661336 0.0105114109611861 0.0110361485923705 NA NA 537901.734646526 NA NA 10977.6694978986
"44" 42 "Amont" 1899.41 49 177.471 31.5771 59.1409 64 78.5931 30.9276 26.1905 16 44.0181 0 14.6687 -191.735 -0.000896154 254.433 745.36 -179.951 -0.133483 179.979 5852.78 -46.6724 82.7637 2126.29 0.504767 14.6484 71.1803 147.126 -61.516 1.10303 55.0495 98.0328 0.00717735220649459 0.00819317235636969 0.00903413821815154 0.00924229808492923 1042898.54295788 644911.259831765 444004.416191957 58.8291476489166 10964.2548027358 7604.44246118557
"45" 43 "Amont" 1178.08 18 113.272 0.399724 37.7456 37 134.407 0.099931 44.7885 19 52.314 114.971 17.4326 -159.046 -0.00637074 150.23 402.042 -179.963 -0.496308 179.999 6222.14 -107.014 106.273 2695.07 0.296736 10.058 71.175 106.322 -61.373 -1.28975 66.9671 120.356 0.00596368482425454 0.00777111444277861 0.00818757288022655 0.00994502748625687 NA NA NA NA NA NA
"46" 44 "Amont" 2369.3 20 252.964 19.1859 84.299 28 19.1859 18.5363 6.39361 9 27.9294 0 9.30736 -433.507 0.0498871 411.631 1973.44 -179.798 0.117773 179.97 2306.45 57.5028 93.2437 2409.56 0.397727 14.886 70.5797 97.4203 -73.5483 -2.18199 74.5663 251.626 0.00493755203996669 0.00499583680266445 0.0053955037468776 0.00920066611157369 1015903.43850629 598650.911951547 489035.045083891 138.604629735322 11499.4773536847 8439.85169430986
"57" 55 "Amont" 2076.29 33 255.44 0 85.1185 50 30.8917 119.528 10.2938 17 13.7676 124.193 4.58768 -255.628 0.0344579 236.744 768.41 -179.983 -3.67228 179.996 4273.04 51.6983 86.4625 2231.46 0.30581 16.3764 79.6247 171.711 -71.283 -5.04019 77.0941 252.647 0.0087220326128176 0.00968904057641259 0.0106560485400076 0.0114429275692074 885445.666350818 534067.347783517 440434.914357448 130.574133616378 11357.9617776439 8536.94330804987
"58" 56 "Amont" 1718.89 23 100.657 178.234 33.5442 29 20.2312 175.637 6.74213 7 179.184 0 59.7137 -233.708 0.0418379 350.135 633.766 -179.9 1.57049 179.936 6363.75 -100.02 59.4472 1366.41 0.285036 9.10848 68.9396 121.99 -61.3665 -6.59674 69.2407 139.308 0.0228604728604729 0.0234348984348984 0.0248085248085248 0.024975024975025 1018663.23211674 512279.451515943 535777.779591018 74.2243351494077 6159.3570395518 6684.76869609559
"59" 57 "Amont" 3051.63 50 128.732 0.449587 42.9 95 105.603 1.54858 35.1923 46 65.2901 67.7379 21.7579 -337.177 -0.0730339 690.43 1011.57 -179.97 -0.775332 179.766 1836.08 151.139 111.339 2785.91 0.563698 19.4227 82.9146 146.501 -63.1791 0.751058 67.1087 185.832 0.0071535767883942 0.00780390195097549 0.00856261464065366 0.00884608971152243 NA NA NA NA NA NA
"61" 58 "Amont" 243.798 3 10.9397 280.304 3.64574 5 5.57306 278.653 1.85726 2 283.504 0.051602 94.4798 -124.252 0.0340111 141.298 107.382 -179.993 6.17033 179.999 13882.3 -83.291 23.8845 273.195 0.0876424 3.24759 69.6325 53.4164 -46.0611 3.71573 44.6616 22.4544 0.0188628935145364 0.022759332530535 0.0236280750043007 0.023636676414932 NA NA NA NA NA NA
"62" 59 "Amont" 2880.08 17 280.969 0 93.6397 19 15.6372 29.8255 5.21146 3 3.44717 156.422 1.14885 -311.929 0.00269431 295.894 1401.6 -174.878 0.254899 174.383 236.603 -80.4415 142.935 3136.64 2.51872 23.421 84.7382 64.4076 -77.1958 0.885456 66.1131 109.436 0.0107910074937552 0.0116236469608659 0.0124396336386345 0.013255620316403 1037441.4917778 539034.198227779 546362.589252176 57.4201184966558 11044.3992856964 11281.0801831853
"63" 60 "Amont" 1175 13 284.074 0.399681 94.672 18 11.341 0.299761 3.77955 6 4.6463 0 1.54845 -442.288 0.060679 1515.56 1327.04 -179.996 -0.00897205 179.995 10843.2 -138.652 49.7252 1030.17 0.213523 9.95674 100 201.072 -65.4839 0.524487 83.7559 57.6869 0.00722731057452123 0.0097751873438801 0.00978351373855121 0.0100416319733555 1054629.44960088 336100.289874255 751078.710674089 38.5633412620567 3639.07222303244 8366.741309015
"64" 61 "Amont" 2609.52 19 263.872 11.0671 87.9288 25 18.9813 10.4236 6.32504 7 17.244 0 5.74614 -406.007 0.0308774 447.913 2394.12 -179.911 0.500509 179.951 1180.18 -113.29 133.209 3062.77 0.711642 28.5474 100 217.773 -82.5152 1.5351 74.3635 404.679 0.00715669393026259 0.00952432199741713 0.0107619457597934 0.011041756349548 NA NA 435854.986192316 NA NA 11669.7655733716
"65" 62 "Amont" 3126.08 47 158.158 38.1778 52.7061 75 64.9623 37.1784 21.6486 29 76.9553 0 25.6453 -478.647 0.0447667 693.43 1338.48 -178.761 0.546204 179.642 1118.1 -4.57285 116.545 2868.05 0.489772 18.3396 82.7349 137.3 -67.997 0.542289 77.6747 256.03 0.00447201865423051 0.00602098600932712 0.00697035309793471 0.00816955363091273 1018947.24350286 602427.124139387 478659.668338252 149.86867351383 12872.9277892465 9540.89619468061
"66" 63 "Amont" 2637.22 34 228.506 3.39786 76.1532 52 43.9724 2.74827 14.6545 19 27.4827 0.099937 9.15903 -700.188 0.0110327 805.903 1352.87 -173.018 1.09014 176.624 331.148 -56.0985 144.384 3145.62 1.4094 18.3821 84.0386 98.6824 -68.1638 2.56866 74.2285 295.194 0.00493251124812531 0.00589068488585236 0.0073154474254291 0.00758206965505749 NA NA NA NA NA NA
"63_bis" 64 "Amont" 1999.95 33 199.529 0.699577 78.8663 46 36.7278 0.549667 14.5171 13 16.1902 65.2106 6.39937 -2024.98 -0.485975 1868.07 4924.03 -179.98 1.04616 179.969 4223.5 159.802 96.8713 2496.63 0 21.3535 100 241.771 -71.0765 -1.45988 71.4306 122.815 0.011829340724609 0.0131558107305484 0.0147990496931301 0.0161057216392794 NA NA NA NA NA NA
"77" 71 "Amont" 129.484 1 0.39961 0.099902 0.133178 1 0.049951 0.499512 0.0166472 1 299.507 0.549463 99.8169 -3880.42 -0.165364 3873.97 5195.45 -179.997 3.59037 179.986 14485.6 54.539 7.06972 24.8956 0.224215 1.9439 83.9399 3.78904 -47.9459 -0.812385 37.0768 7.6988 0.0201782145236509 0.020827781479014 0.0237258494337109 0.024400399733511 NA NA NA NA NA NA
"78" 72 "Amont" 720.812 9 205.207 81.3235 68.3869 11 13.0877 80.9239 4.36158 3 81.7731 0 27.2515 -264.659 -0.00835193 261.334 601.683 -179.975 -1.49708 179.979 11365.8 -155.264 96.0331 2477.03 0.27027 7.08303 73.4059 117.206 -50.144 -3.82669 55.3749 45.7266 0.0223942723942724 0.0232017982017982 0.0235597735597736 0.0241008991008991 1046022.93822917 435165.937151942 636530.839387387 25.9564970450668 6919.40800084129 10858.6395920108
"79" 73 "Amont" 405.347 2 296.314 1.09894 98.7515 3 1.4486 0.949084 0.48277 2 2.29778 0 0.765773 -308.318 0.00215032 178.384 195.77 -179.954 -6.90076 179.987 10192.8 -165.841 27.5495 358.376 0.163506 4.00878 77.9307 47.1815 -63.3833 6.35865 35.5183 34.6677 0.0181734931734932 0.0218697968697969 0.0220945720945721 0.0229104229104229 1037280.9649541 136019.083447903 984398.284533927 21.4961198878542 1133.47357136825 7118.66346018684
"80" 74 "Amont" 1234.5 26 83.4705 148.858 27.8175 39 46.4058 148.059 15.4653 14 170.188 0 56.7172 -258.867 0.0340245 211.347 482.192 -179.999 -6.0731 179.984 6011.13 41.8932 70.4729 1742.06 0.53135 10.0378 72.7136 111.388 -64.7228 7.47658 66.9363 187.27 0.0149433899433899 0.0192224442224442 0.021020646020646 0.0218448218448218 1005301.19692419 689207.14651598 346448.516077301 83.25453512019 10534.1952088535 5961.73188273542
"81" 75 "Amont" 811.701 6 292.321 0.149857 97.4197 7 6.14415 0.049952 2.04761 2 1.59848 0 0.532712 -521.091 -0.120263 215.062 392.742 -179.999 0.426843 179.998 6713.52 48.5441 64.6339 1545.35 0.323924 7.85862 66.6836 64.0551 -65.3673 3.29511 70.5641 88.9292 0.0103812853812854 0.017016317016317 0.0183816183816184 0.0219447219447219 1036459.45936711 673375.589308784 393854.879838273 44.1565810719122 9118.22598368824 5885.79941925356
"82" 76 "Amont" 1024.7 12 178.135 102.854 59.3641 16 15.3358 101.206 5.1107 5 106.601 0 35.5252 -402.73 -0.00451088 652.594 1157.67 -179.975 0.293331 179.988 8377.84 78.651 80.6178 2062.86 0 12.9013 100 155.888 -166.472 -1.50355 54.9978 81.4117 0.0216105929380413 0.023192871419054 0.0240839440373085 0.0246252498334444 NA 572198.997140782 NA NA 9138.36932969777 NA
"83" 77 "Amont" 2189.64 17 269.956 0.699367 89.9617 26 20.2816 0.499547 6.75878 10 9.59132 0.249773 3.19627 -713.887 -0.0664153 752.612 2560.61 -179.98 -2.06412 179.937 3558.61 65.3009 95.8698 2473.17 0.477961 12.9559 88.4803 96.9954 -70.3701 0.730005 80.768 186.06 0.00984002666222296 0.0103232794534244 0.0105232461256457 0.0107065489085152 NA NA NA NA NA NA
"84" 78 "Amont" 738.014 11 154.873 0.549549 51.6151 23 132.541 0.449631 44.1725 12 12.19 135.789 4.0626 -237.121 -0.0471601 515.639 461.408 -179.989 0.319603 179.995 8523.62 -129.969 69.6042 1713.24 0.361011 5.30644 85.2481 94.0946 -63.0942 -2.74806 67.8943 74.0762 0.00697131420947298 0.0108905937291528 0.0109406270847232 0.0246414276184123 NA NA NA NA NA NA
"85" 79 "Amont" 610.136 7 287.307 1.09907 95.7383 10 9.29215 0.649451 3.09639 4 3.44709 0.049957 1.14866 -428.997 -0.071669 436.055 4461.14 -179.982 -5.21211 179.998 9764.02 29.7501 50.2356 1047.61 0.0368936 3.51191 57.0529 36.2584 -57.7312 4.71221 63.7955 49.3151 0.0188426311407161 0.021082431307244 0.0220066611157369 0.0227477102414654 NA NA NA NA NA NA
"86" 80 "Amont" 4388.99 60 199.391 1.14908 66.4502 98 61.8507 0.949243 20.6127 39 38.0197 0.799363 12.6707 -1001.85 -0.0724776 2408.25 5518.77 -175.951 0.166946 179.421 413.611 28.3666 154.75 3197.26 1.15411 23.7105 100 119.414 -120.268 -1.94645 82.4674 307.299 0.00753047253297712 0.00893304391384204 0.00920020036734012 0.0110535982634831 NA NA NA NA NA NA
"97" 91 "Amont" 120.393 1 247.761 52.2995 82.5703 1 0.84918 51.4504 0.283003 1 51.4504 0 17.1467 -165.744 -0.022639 105.326 76.1789 -179.999 -13.3465 179.998 13446.4 49.5665 19.2922 180.918 0.188561 1.80405 49.0775 7.08057 -28.0203 -0.456467 20.9573 10.3916 0.0217282717282717 0.0232184482184482 0.0232517482517483 0.0241008991008991 1066625.06227718 764089.991216844 319912.752911384 4.66328740661642 345.589203214854 281.436112985809
"98" 92 "Amont" 469.695 3 7.54272 137.817 2.51373 11 40.6608 0.549469 13.5509 8 251.308 0.599421 83.7523 -4660.76 -0.78289 182.765 4076.96 -179.998 -0.0527037 179.983 9401.83 -103.284 50.6153 1060.61 0 9.39566 100 56.2204 -57.8609 -1.19821 176.556 49.9342 0.0195746455379483 0.0207756463719766 0.0209090909090909 0.0245788156797331 NA NA NA NA NA NA
"99" 93 "Amont" 979.695 3 297.263 0 99.0678 2 2.7973 48.2534 0.932246 0 0 NA 0 -484.111 -0.11051 563.528 2503.92 -179.966 -0.306416 179.975 6110.74 109.181 88.3901 2284.06 0.130662 6.80711 70.8836 68.1248 -87.6452 3.73965 72.6429 125.181 0.0175491175491175 0.0191641691641692 0.0233433233433233 0.0241092241092241 1026047.12176336 507462.486173868 542309.024236515 54.671803672823 8020.01451070459 8395.77507897297
"100" 94 "Amont" 817.89 5 294.066 3.09701 98.0023 5 3.49662 2.49759 1.16531 1 1.89817 0.599421 0.632596 -283.233 0.0484306 424.354 377.237 -179.997 0.148785 179.997 13849.3 31.5998 35.8287 582.998 0.479386 5.69572 69.5508 101.753 -65.6697 -7.96732 66.9274 58.066 0.0182432432432432 0.0201701701701702 0.0235235235235235 0.0244994994994995 NA NA NA NA NA NA
"101" 95 "Amont" 2002.27 10 283.347 2.49777 94.4232 14 8.99197 1.69848 2.9965 5 7.69313 0.049955 2.56368 -315.754 -0.00748676 400.223 1065.14 -179.59 0.119962 179.457 528.121 -3.89143 147.389 3162.77 2.07101 18.5451 100 118.067 -89.2655 -0.161017 78.9644 252.919 0.00925370648009329 0.0104114609361986 0.0104281192736965 0.0127686156921539 NA NA NA NA NA NA
"102" 96 "Amont" 2468.62 17 230.469 40.5682 76.8065 24 22.1826 39.8188 7.39261 8 47.3129 0.099921 15.7676 -379.781 -0.00311806 374.244 723.966 -179.84 0.572118 179.993 3326.27 99.045 148.474 3168.5 0.511836 13.0656 77.3873 92.4822 -60.1709 -1.46527 65.0314 118.056 0.00788772280526403 0.00845410628019324 0.00913709811760786 0.0118940529735132 NA NA NA NA NA NA
"103" 97 "Amont" 3448.83 37 229.828 30.9268 76.5901 54 29.7277 30.5271 9.90676 18 40.5197 0 13.5032 -410.782 0.0147526 484.879 1665.55 -179.689 -1.17435 179.954 3172.48 -157.041 106.47 2698.81 0.503074 15.8404 76.7846 132.393 -73.6548 -1.38409 86.2694 244.464 0.00772689425478768 0.0082014987510408 0.00835137385512073 0.00993338884263114 1015954.45152498 456824.292227894 614632.581254759 128.780900611798 8932.99588994545 13094.4279597675
"104" 98 "Amont" 2800.93 21 216.036 61.2034 71.9947 26 18.2361 59.9044 6.07726 6 65.6001 0.199848 21.8615 -366.044 0.033167 535.509 1188.6 -179.969 0.488214 179.91 3077.08 -85.3064 102.29 2615.8 0 22.9409 100 178.305 -62.8435 -0.0369686 69.7016 102.317 0.00854024329278454 0.00938176970504916 0.0112897850358274 0.0113814364272621 NA NA NA NA NA NA
