"treatment" "trial_name" "Distance moved Center-point Total cm" "In zone External zone / Center-point Frequency" "In zone External zone / Center-point Cumulative Duration s" "In zone External zone / Center-point Latency to First s" "In zone External zone / Center-point Cumulative Duration %" "In zone 2 Transition zone / Center-point Frequency" "In zone 2 Transition zone / Center-point Cumulative Duration s" "In zone 2 Transition zone / Center-point Latency to First s" "In zone 2 Transition zone / Center-point Cumulative Duration %" "In zone 3 Center zone / Center-point Frequency" "In zone 3 Center zone / Center-point Cumulative Duration s" "In zone 3 Center zone / Center-point Latency to First s" "In zone 3 Center zone / Center-point Cumulative Duration %" "Acceleration Center-point Minimum cm/s²" "Acceleration Center-point Mean cm/s²" "Acceleration Center-point Maximum cm/s²" "Acceleration Center-point Variance (cm/s²)²" "Turn angle Center-point / relative Minimum deg" "Turn angle Center-point / relative Mean deg" "Turn angle Center-point / relative Maximum deg" "Turn angle Center-point / relative Variance deg²" "Head direction Head direction line Mean deg" "Head direction Head direction line Standard Deviation deg" "Head direction Head direction line Variance deg²" "Mobility Body fill Minimum %" "Mobility Body fill Mean %" "Mobility Body fill Maximum %" "Mobility Body fill Variance %²" "Body angle Minimum deg" "Body angle Mean deg" "Body angle Maximum deg" "Body angle Variance deg²" "ID"
"Amont" 41 4136.51 38 252.464 "0" 84.1325 51 38.8214 "9.54297" 12.9371 14 8.79352 "54.36" 2.9304 -460.295 -0.00636789 352.701 1832.95 -174.006 -0.067655 172.882 209.595 58.737 162.825 3224.92 1.87542 22.1845 77.9824 81.785 -76.9826 0.557086 72.4112 230.121 43
"Amont" 42 1899.41 49 177.471 "31.5771" 59.1409 64 78.5931 "30.9276" 26.1905 16 44.0181 "0" 14.6687 -191.735 -0.000896154 254.433 745.36 -179.951 -0.133483 179.979 5852.78 -46.6724 82.7637 2126.29 0.504767 14.6484 71.1803 147.126 -61.516 1.10303 55.0495 98.0328 44
"Amont" 43 1178.08 18 113.272 "0.399724" 37.7456 37 134.407 "0.099931" 44.7885 19 52.314 "114.971" 17.4326 -159.046 -0.00637074 150.23 402.042 -179.963 -0.496308 179.999 6222.14 -107.014 106.273 2695.07 0.296736 10.058 71.175 106.322 -61.373 -1.28975 66.9671 120.356 45
"Amont" 44 2369.3 20 252.964 "19.1859" 84.299 28 19.1859 "18.5363" 6.39361 9 27.9294 "0" 9.30736 -433.507 0.0498871 411.631 1973.44 -179.798 0.117773 179.97 2306.45 57.5028 93.2437 2409.56 0.397727 14.886 70.5797 97.4203 -73.5483 -2.18199 74.5663 251.626 46
"Amont" 55 2076.29 33 255.44 "0" 85.1185 50 30.8917 "119.528" 10.2938 17 13.7676 "124.193" 4.58768 -255.628 0.0344579 236.744 768.41 -179.983 -3.67228 179.996 4273.04 51.6983 86.4625 2231.46 0.30581 16.3764 79.6247 171.711 -71.283 -5.04019 77.0941 252.647 57
"Amont" 56 1718.89 23 100.657 "178.234" 33.5442 29 20.2312 "175.637" 6.74213 7 179.184 "0" 59.7137 -233.708 0.0418379 350.135 633.766 -179.9 1.57049 179.936 6363.75 -100.02 59.4472 1366.41 0.285036 9.10848 68.9396 121.99 -61.3665 -6.59674 69.2407 139.308 58
"Amont" 57 3051.63 50 128.732 "0.449587" 42.9 95 105.603 "1.54858" 35.1923 46 65.2901 "67.7379" 21.7579 -337.177 -0.0730339 690.43 1011.57 -179.97 -0.775332 179.766 1836.08 151.139 111.339 2785.91 0.563698 19.4227 82.9146 146.501 -63.1791 0.751058 67.1087 185.832 59
"Amont" 58 243.798 3 10.9397 "280.304" 3.64574 5 5.57306 "278.653" 1.85726 2 283.504 "0.051602" 94.4798 -124.252 0.0340111 141.298 107.382 -179.993 6.17033 179.999 13882.3 -83.291 23.8845 273.195 0.0876424 3.24759 69.6325 53.4164 -46.0611 3.71573 44.6616 22.4544 61
"Amont" 59 2880.08 17 280.969 "0" 93.6397 19 15.6372 "29.8255" 5.21146 3 3.44717 "156.422" 1.14885 -311.929 0.00269431 295.894 1401.6 -174.878 0.254899 174.383 236.603 -80.4415 142.935 3136.64 2.51872 23.421 84.7382 64.4076 -77.1958 0.885456 66.1131 109.436 62
"Amont" 60 1175 13 284.074 "0.399681" 94.672 18 11.341 "0.299761" 3.77955 6 4.6463 "0" 1.54845 -442.288 0.060679 1515.56 1327.04 -179.996 -0.00897205 179.995 10843.2 -138.652 49.7252 1030.17 0.213523 9.95674 100 201.072 -65.4839 0.524487 83.7559 57.6869 63
