"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"65" "Amont" 3126.08 38.1778 52.7061 37.1784 21.6486 25.6453 1338.48 137.3 1018947.24350286 602427.124139387 478659.668338252 149.86867351383 12872.9277892465 9540.89619468061 "Lees Athas" "Lees Athas.Amont" 8.024 94.854
"66" "Amont" 2637.22 3.39786 76.1532 2.74827 14.6545 9.15903 1352.87 98.6824 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.496 88.344
"63_bis" "Amont" 1999.95 0.699577 78.8663 0.549667 14.5171 6.39937 4924.03 241.771 NA NA NA NA NA NA NA NA NA NA
"77" "Amont" 129.484 0.099902 0.133178 0.499512 0.0166472 99.8169 5195.45 3.78904 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.258 52.478
"78" "Amont" 720.812 81.3235 68.3869 80.9239 4.36158 27.2515 601.683 117.206 1046022.93822917 435165.937151942 636530.839387387 25.9564970450668 6919.40800084129 10858.6395920108 "Cauterets" "Cauterets.Amont" 2.151 62.139
"79" "Amont" 405.347 1.09894 98.7515 0.949084 0.48277 0.765773 195.77 47.1815 1037280.9649541 136019.083447903 984398.284533927 21.4961198878542 1133.47357136825 7118.66346018684 "Lees Athas" "Lees Athas.Amont" 3.772 74.026
"80" "Amont" 1234.5 148.858 27.8175 148.059 15.4653 56.7172 482.192 111.388 1005301.19692419 689207.14651598 346448.516077301 83.25453512019 10534.1952088535 5961.73188273542 "Cauterets" "Cauterets.Amont" 5.888 86.234
"81" "Amont" 811.701 0.149857 97.4197 0.049952 2.04761 0.532712 392.742 64.0551 1036459.45936711 673375.589308784 393854.879838273 44.1565810719122 9118.22598368824 5885.79941925356 "Cauterets" "Cauterets.Amont" 3.639 74.175
"82" "Amont" 1024.7 102.854 59.3641 101.206 5.1107 35.5252 1157.67 155.888 NA 572198.997140782 NA NA 9138.36932969777 NA "Cauterets" "Cauterets.Amont" 1.39 52.06
"83" "Amont" 2189.64 0.699367 89.9617 0.499547 6.75878 3.19627 2560.61 96.9954 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 9.794 98.792
"84" "Amont" 738.014 0.549549 51.6151 0.449631 44.1725 4.0626 461.408 94.0946 NA NA NA NA NA NA NA NA 6.57 90.012
"85" "Amont" 610.136 1.09907 95.7383 0.649451 3.09639 1.14866 4461.14 36.2584 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 14.006 113.013
"86" "Amont" 4388.99 1.14908 66.4502 0.949243 20.6127 12.6707 5518.77 119.414 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.048 88.452
"97" "Amont" 120.393 52.2995 82.5703 51.4504 0.283003 17.1467 76.1789 7.08057 1066625.06227718 764089.991216844 319912.752911384 4.66328740661642 345.589203214854 281.436112985809 "Cauterets" "Cauterets.Amont" 2.718 67.734
"98" "Amont" 469.695 137.817 2.51373 0.549469 13.5509 83.7523 4076.96 56.2204 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.472 55.237
"99" "Amont" 979.695 0 99.0678 48.2534 0.932246 0 2503.92 68.1248 1026047.12176336 507462.486173868 542309.024236515 54.671803672823 8020.01451070459 8395.77507897297 "Lees Athas" "Lees Athas.Amont" 7.669 93.985
