"poisson" "fs" "frame" "pts" "X" "Y" "d_travelled" "d_cum" "d_tot" "d_travelled_cm" "d_cum_cm" "d_tot_cm" "time" "traitement"
2 "002_fs1" "1" 76 53.4845105746031 3.92206543398899 0 0 75.1109302430145 0 0 4.28132302385183 0.0083 "amont"
2 "002_fs1" "2" 76 50.1793989233552 4.29693613706678 3.32630291333195 3.32630291333195 75.1109302430145 0.189599266059921 0.189599266059921 4.28132302385183 0.0166 "amont"
2 "002_fs1" "3" 76 54.7352627560191 21.0240429661411 17.3364355659703 20.6627384793022 75.1109302430145 0.988176827260307 1.17777609332023 4.28132302385183 0.0249 "amont"
2 "002_fs1" "4" 76 67.2639485166896 26.3493110093726 13.6134656359757 34.2762041152779 75.1109302430145 0.775967541250613 1.95374363457084 4.28132302385183 0.0332 "amont"
2 "002_fs1" "5" 76 74.5982231629071 24.3583709775266 7.59969912539673 41.8759032406747 75.1109302430145 0.433182850147614 2.38692648471846 4.28132302385183 0.0415 "amont"
2 "002_fs1" "6" 76 82.2380236167798 19.934100313543 8.82840426595766 50.7043075066323 75.1109302430145 0.503219043159586 2.89014552787804 4.28132302385183 0.0498 "amont"
2 "002_fs1" "7" 76 99.04346123344 9.20883661085452 19.9362487690053 70.6405562756376 75.1109302430145 1.1363661798333 4.02651170771134 4.28132302385183 0.0581 "amont"
2 "002_fs1" "8" 76 108.216640668119 1.76535528210704 11.8132398279316 82.4537961035692 75.1109302430145 0.673354670192103 4.69986637790345 4.28132302385183 0.0664 "amont"
2 "002_fs1" "9" 76 112.88014880998 -1.78888173716345 5.86352359749295 88.3173197010622 75.1109302430145 0.334220845057098 5.03408722296054 4.28132302385183 0.0747 "amont"
2 "002_fs1" "10" 76 117.750066063939 -7.44937785049424 7.46708178001557 95.7844014810777 75.1109302430145 0.425623661460888 5.45971088442143 4.28132302385183 0.083 "amont"
2 "002_fs1" "11" 76 126.700678382532 -12.8423198363447 10.4497504343643 106.234151915442 75.1109302430145 0.595635774758767 6.0553466591802 4.28132302385183 0.0913 "amont"
2 "002_fs2" "1" 76 76.9448451869053 33.0524123891994 0 0 124.013901478572 0 0 7.0687923842786 0.0083 "amont"
2 "002_fs2" "2" 76 82.0182236757779 37.7874039536944 6.93969123284272 6.93969123284272 124.013901478572 0.395562400272035 0.395562400272035 7.0687923842786 0.0166 "amont"
2 "002_fs2" "3" 76 92.6214214273374 25.4287830035551 16.2838359838184 23.2235272166611 124.013901478572 0.928178651077648 1.32374105134968 7.0687923842786 0.0249 "amont"
2 "002_fs2" "4" 76 89.6763320567279 11.0019379243786 14.7243814925937 37.9479087092548 124.013901478572 0.839289745077842 2.16303079642752 7.0687923842786 0.0332 "amont"
2 "002_fs2" "5" 76 79.8033523443868 3.43589155884928 12.4386810396295 50.3865897488843 124.013901478572 0.709004819258882 2.87203561568641 7.0687923842786 0.0415 "amont"
2 "002_fs2" "6" 76 72.0085564422784 0.914746913439672 8.19237532578942 58.5789650746737 124.013901478572 0.466965393569997 3.3390010092564 7.0687923842786 0.0498 "amont"
2 "002_fs2" "7" 76 52.7355839884956 -8.00382935591358 21.2364891137057 79.8154541883795 124.013901478572 1.21047987948123 4.54948088873763 7.0687923842786 0.0581 "amont"
2 "002_fs2" "8" 76 41.5981856616023 -12.2496921917761 11.9192698061938 91.7347239945733 124.013901478572 0.679398378953049 5.22887926769068 7.0687923842786 0.0664 "amont"
2 "002_fs2" "9" 76 27.7800930406352 -23.6657723279408 17.9239105486766 109.65863454325 124.013901478572 1.02166290127457 6.25054216896524 7.0687923842786 0.0747 "amont"
2 "002_fs2" "10" 76 17.0221463148475 -33.6364752023725 14.6679355590719 124.326570102322 124.013901478572 0.8360723268671 7.08661449583234 7.0687923842786 0.083 "amont"
2 "002_fs2" "11" 76 13.0435812227313 -46.937321983209 13.8831374436578 138.20970754598 124.013901478572 0.791338834288497 7.87795333012084 7.0687923842786 0.0913 "amont"
2 "002_fs2" "12" 76 9.77584568200373 -56.3042427355687 9.92054937718274 148.130256923162 124.013901478572 0.565471314499416 8.44342464462026 7.0687923842786 0.0996 "amont"
2 "002_fs2" "13" 76 8.81833195305646 -63.9201627707005 7.67587587983576 155.806132802998 124.013901478572 0.437524925150639 8.88094956977089 7.0687923842786 0.1079 "amont"
2 "002_fs2" "14" 76 12.9567446412932 -73.1783305645311 10.1410123004008 165.947145103399 124.013901478572 0.578037701122847 9.45898727089374 7.0687923842786 0.1162 "amont"
3 "003_fs1" "1" 76 67.956116576968 54.8410196989781 0 0 172.781764181936 0 0 9.84856055837035 0.0083 "amont"
3 "003_fs1" "2" 76 68.8708869974851 59.6501150468252 4.89532460485897 4.89532460485897 172.781764181936 0.279033502476961 0.279033502476961 9.84856055837035 0.0166 "amont"
3 "003_fs1" "3" 76 85.4463521124222 58.7126953306847 16.6019516774597 21.4972762823186 172.781764181936 0.946311245615201 1.22534474809216 9.84856055837035 0.0249 "amont"
3 "003_fs1" "4" 76 90.5151802367301 50.262370077143 9.85398474955281 31.3512610318715 172.781764181936 0.56167713072451 1.78702187881667 9.84856055837035 0.0332 "amont"
3 "003_fs1" "5" 76 82.1675216368629 32.876986068584 19.2856159151061 50.6368769469776 172.781764181936 1.09928010716105 2.88630198597772 9.84856055837035 0.0415 "amont"
3 "003_fs1" "6" 76 75.2531696904463 8.45259949056569 25.384225860786 76.0211028077636 172.781764181936 1.4469008740648 4.33320286004253 9.84856055837035 0.0498 "amont"
3 "003_fs1" "7" 76 81.7304036470558 -7.5296135435091 17.2448744035787 93.2659772113423 172.781764181936 0.982957841003988 5.31616070104651 9.84856055837035 0.0581 "amont"
3 "003_fs1" "8" 76 92.0147660413672 -26.8946253922524 21.9265089277681 115.19248613911 172.781764181936 1.24981100888278 6.5659717099293 9.84856055837035 0.0664 "amont"
3 "003_fs1" "9" 76 92.7752235736268 -51.8805584987174 24.9975028524674 140.189988991578 172.781764181936 1.42485766259064 7.99082937251994 9.84856055837035 0.0747 "amont"
3 "003_fs1" "10" 76 100.465930552588 -73.5198440371922 22.9653141161162 163.155303107694 172.781764181936 1.30902290461863 9.29985227713856 9.84856055837035 0.083 "amont"
3 "003_fs1" "11" 76 118.02151161557 -89.5202850998863 23.7531585407011 186.908461648395 172.781764181936 1.35393003681996 10.6537823139585 9.84856055837035 0.0913 "amont"
3 "003_fs1" "12" 76 136.127861037571 -103.923432528277 23.1363468429126 210.044808491308 172.781764181936 1.31877177004602 11.9725540840045 9.84856055837035 0.0996 "amont"
3 "003_fs2" "1" 76 64.9740248057647 21.3119661103448 0 0 78.569889885708 0 0 4.47848372348536 0.0083 "amont"
3 "003_fs2" "2" 76 63.9543562610791 23.9933292894467 2.86869873623298 2.86869873623298 78.569889885708 0.16351582796528 0.16351582796528 4.47848372348536 0.0166 "amont"
3 "003_fs2" "3" 76 73.9608572774059 27.8037707226877 10.7074519147138 13.5761506509468 78.569889885708 0.610324759138689 0.773840587103969 4.47848372348536 0.0249 "amont"
3 "003_fs2" "4" 76 80.1573206338811 13.2596546815722 15.8090945201037 29.3852451710505 78.569889885708 0.901118387645911 1.67495897474988 4.47848372348536 0.0332 "amont"
