"poisson" "fs" "time" "treatment" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"4" "004_fs1" 49.8 "amont" 0.0102077904922495 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 58.1 "amont" -0.00868735596358404 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 66.4 "amont" -0.0011329973597464 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 74.7 "amont" -0.00192888650818861 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 83 "amont" 7.83522878492144e-05 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 91.3 "amont" -0.00128454124028276 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 99.6 "amont" -0.00141182548510773 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 107.9 "amont" -8.59001975418716e-05 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 116.2 "amont" 0.000382329449841761 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 124.5 "amont" -0.000728631906009355 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 132.8 "amont" 0.000335432350395392 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs1" 141.1 "amont" -0.000677704110552085 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 24.9 "amont" 0.00828925053183661 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 33.2 "amont" -0.00109932523211617 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 41.5 "amont" 0.00830568370778813 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 49.8 "amont" -0.00284363775273905 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 58.1 "amont" 0.0030287453355157 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 66.4 "amont" 0.00300379526621196 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 74.7 "amont" -0.00311298252970532 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"4" "004_fs2" 83 "amont" -0.00143578633983552 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"5" "005_fs1" 24.9 "amont" 0.00525264116312228 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 33.2 "amont" -0.00633039441007088 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 41.5 "amont" 0.00602333726118711 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 49.8 "amont" -0.00149255556024862 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 58.1 "amont" -0.000750386607823241 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 66.4 "amont" -0.00201930066707435 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 74.7 "amont" 0.0020502185030995 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 83 "amont" -0.00394368475215933 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 91.3 "amont" 0.000757503449826648 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 99.6 "amont" 0.000613516450808497 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 107.9 "amont" -0.000926631370251278 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 116.2 "amont" 0.000209280395790963 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs1" 124.5 "amont" -0.00152306678066182 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 24.9 "amont" 0.00728059099958947 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 33.2 "amont" -0.00414331788859346 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 41.5 "amont" 0.000473594410431267 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 49.8 "amont" 0.000593653486760149 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 58.1 "amont" -0.00114096408468269 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 66.4 "amont" -0.00447274150120584 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 74.7 "amont" 0.00272534060891839 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 83 "amont" -0.00253524287141591 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 91.3 "amont" -0.000785167801225483 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"5" "005_fs2" 99.6 "amont" 3.6370128092822e-05 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"7" "007_fs1" 24.9 "amont" 0.00682237821870514 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs1" 33.2 "amont" -0.00186305097145184 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs1" 41.5 "amont" 0.0023755885870129 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs1" 49.8 "amont" 0.00129969564893922 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs1" 58.1 "amont" 0.0130545869871213 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs1" 66.4 "amont" -0.0151879024857992 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 24.9 "amont" 0.00567607722084055 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 33.2 "amont" 0.00294516613319336 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 41.5 "amont" 0.00127233603509697 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 49.8 "amont" 0.00367923350695726 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 58.1 "amont" 0.00136397713306097 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 66.4 "amont" -0.00273465667091361 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"7" "007_fs2" 74.7 "amont" 0.00674438354977926 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"8" "008_fs1" 24.9 "amont" 0.00802667817292151 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 33.2 "amont" -0.00545237290624581 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 41.5 "amont" 0.00571189960015946 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 49.8 "amont" 0.00468353403428397 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 58.1 "amont" -0.00717383527598087 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 66.4 "amont" -0.00623190868872472 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 74.7 "amont" 0.00520363365019755 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 83 "amont" -0.0015549748886309 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 91.3 "amont" 0.000687503651163682 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs1" 99.6 "amont" -0.00157237850561151 "8.008_fs1" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 24.9 "amont" 0.00663929642848721 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 33.2 "amont" -0.000908723118286728 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 41.5 "amont" 0.00538294028805965 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 49.8 "amont" 0.00327183085080478 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 58.1 "amont" -0.00708633036607707 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs2" 66.4 "amont" 0.000510418695639703 "8.008_fs2" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 24.9 "amont" 0.0108752732458438 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 33.2 "amont" -0.002747260377569 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 41.5 "amont" 0.000638209012738567 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 49.8 "amont" -0.000859710343121032 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 58.1 "amont" 0.00287612223120482 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 66.4 "amont" -0.000836036318161484 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 74.7 "amont" 0.00428749666659749 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"8" "008_fs3" 83 "amont" 0.00124532394753358 "8.008_fs3" "Lees Athas" "Lees Athas.amont" 5.469 80.665 "17.7" "5-6"
"11" "011_fs1" 24.9 "aval" 0.00814423327139777 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 33.2 "aval" 0.00124223610186808 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 41.5 "aval" -0.00163271634276039 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 49.8 "aval" -0.00470049180581998 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 58.1 "aval" 0.0025020230590153 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 66.4 "aval" -0.00211879065997896 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs1" 74.7 "aval" 0.00268222099299536 "11.011_fs1" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 24.9 "aval" 0.00528969389695995 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 33.2 "aval" -0.000924446069367394 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 41.5 "aval" 0.00179915068685049 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 49.8 "aval" -0.00427666291002479 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 58.1 "aval" -0.000358240093296969 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 66.4 "aval" 0.00616556674760365 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs2" 74.7 "aval" -0.00689238303348136 "11.011_fs2" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 24.9 "aval" -0.00202730728626806 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 33.2 "aval" -0.000916211715141555 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 41.5 "aval" 0.00644382033241217 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 49.8 "aval" -0.00578238256540254 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 58.1 "aval" -0.0031820938778332 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 66.4 "aval" 0.00104437351628335 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"11" "011_fs3" 74.7 "aval" 0.00127442108431941 "11.011_fs3" "Cauterets" "Cauterets.aval" 1.033 49.689 "17.3" "11-12"
"14" "014_fs1" 24.9 "aval" 0.00449547971711351 "14.014_fs1" "Cauterets" "Cauterets.aval" 1.704 56.881 "16.8" "11-12"
