"treatment" "poisson" "fs" "frame" "ratio"
"amont" "8" "008_fs1" "7" -56.8778980291894
"amont" "8" "008_fs1" "8" -36.5759319441759
"amont" "8" "008_fs1" "9" -43.7910094248531
"amont" "8" "008_fs1" "10" -56.4637792602212
"amont" "8" "008_fs1" "11" -61.7529632380426
"amont" "8" "008_fs1" "12" -60.3009167887798
"amont" "8" "008_fs2" "1" 29.8249773771412
"amont" "8" "008_fs2" "2" 2.33037112741016
"amont" "8" "008_fs2" "3" -58.6802341638976
"amont" "8" "008_fs2" "4" -101.026565593894
"amont" "8" "008_fs2" "5" -57.0039070743779
"amont" "8" "008_fs2" "6" 51.8709927039918
"amont" "8" "008_fs2" "7" 71.510296525951
"amont" "8" "008_fs2" "8" 70.927014069331
"amont" "8" "008_fs3" "1" 12.6617899251056
"amont" "8" "008_fs3" "2" -3.96299723883581
"amont" "8" "008_fs3" "3" -96.395824776163
"amont" "8" "008_fs3" "4" -156.779943646978
"amont" "8" "008_fs3" "5" -161.462095594492
"amont" "8" "008_fs3" "6" -102.130673976869
"amont" "8" "008_fs3" "7" -15.8453298265418
"amont" "8" "008_fs3" "8" 33.5141673103691
"amont" "8" "008_fs3" "9" 72.5861918644185
"amont" "8" "008_fs3" "10" 31.2002528986147
"aval" "11" "011_fs1" "1" 4.46616587800011
"aval" "11" "011_fs1" "2" -75.1337136905602
"aval" "11" "011_fs1" "3" -161.641833179587
"aval" "11" "011_fs1" "4" -56.1986710494989
"aval" "11" "011_fs1" "5" -1.85731252902119
"aval" "11" "011_fs1" "6" 35.0507093420709
"aval" "11" "011_fs1" "7" 63.3583882710547
"aval" "11" "011_fs1" "8" 71.8009836718325
"aval" "11" "011_fs1" "9" 39.3698483238338
"aval" "11" "011_fs2" "1" -28.569766254411
"aval" "11" "011_fs2" "2" -89.6843828661222
"aval" "11" "011_fs2" "3" -71.5921221164857
"aval" "11" "011_fs2" "4" 30.8205009586513
"aval" "11" "011_fs2" "5" 87.4565348399794
"aval" "11" "011_fs2" "6" 87.4893593758791
"aval" "11" "011_fs2" "7" 72.4732789583427
"aval" "11" "011_fs2" "8" 42.5720442037984
"aval" "11" "011_fs2" "9" 22.4443417578202
"aval" "11" "011_fs3" "1" 48.2628936643612
"aval" "11" "011_fs3" "2" -91.9301599820965
"aval" "11" "011_fs3" "3" -83.2216467547891
"aval" "11" "011_fs3" "4" -25.977561907875
"aval" "11" "011_fs3" "5" 61.1713329097489
"aval" "11" "011_fs3" "6" 72.7751415721559
"aval" "11" "011_fs3" "7" 87.7257414338907
"aval" "11" "011_fs3" "8" 80.9818872481765
"aval" "11" "011_fs3" "9" 64.572379738443
"aval" "14" "014_fs1" "1" -9.18489275710712
"aval" "14" "014_fs1" "2" 31.5917969104762
"aval" "14" "014_fs1" "3" 97.0126633265141
"aval" "14" "014_fs1" "4" 131.38319649878
"aval" "14" "014_fs1" "5" 18.8733015686504
"aval" "14" "014_fs1" "6" -61.6454690242349
"aval" "14" "014_fs1" "7" -68.387039540415
"aval" "14" "014_fs1" "8" -38.7781715639886
"aval" "14" "014_fs2" "1" 6.1813494874813
"aval" "14" "014_fs2" "2" -31.4953116084212
"aval" "14" "014_fs2" "3" -126.601083421176
"aval" "14" "014_fs2" "4" -76.8901828287624
"aval" "14" "014_fs2" "5" 36.874345253327
"aval" "14" "014_fs2" "6" 49.8201138008491
"aval" "14" "014_fs2" "7" 83.1312291435303
"aval" "14" "014_fs2" "8" 74.926803389911
"aval" "14" "014_fs3" "1" -33.8117288220272
"aval" "14" "014_fs3" "2" -68.4805001459451
"aval" "14" "014_fs3" "3" -115.087595078704
"aval" "14" "014_fs3" "4" -117.027314310862
"aval" "14" "014_fs3" "5" 14.625955795873
"aval" "14" "014_fs3" "6" 34.2060046183524
"aval" "14" "014_fs3" "7" 42.0473915073209
"aval" "14" "014_fs3" "8" 43.1131858534056
"aval" "14" "014_fs3" "9" 53.5103184558426
"aval" "14" "014_fs3" "10" 44.8845859987354
"aval" "15" "015_fs1" "1" 3.6416688261836
"aval" "15" "015_fs1" "2" -15.0903529686323
"aval" "15" "015_fs1" "3" -79.8941569642629
"aval" "15" "015_fs1" "4" -141.125374699168
"aval" "15" "015_fs1" "5" -82.4148705313219
"aval" "15" "015_fs1" "6" -5.08496191814621
"aval" "15" "015_fs1" "7" 55.1258700014257
"aval" "15" "015_fs1" "8" -3.78431157416895
"aval" "15" "015_fs1" "9" 4.11949270559469
"aval" "15" "015_fs1" "10" 55.0552421230486
"aval" "15" "015_fs1" "11" 17.3052197676734
"aval" "15" "015_fs2" "1" -12.0559661084379
"aval" "15" "015_fs2" "2" -13.5620786823067
"aval" "15" "015_fs2" "3" -33.1247776321097
"aval" "15" "015_fs2" "4" -89.1589872944583
"aval" "15" "015_fs2" "5" -31.6254469324836
"aval" "15" "015_fs2" "6" 31.0872149846533
"aval" "15" "015_fs2" "7" 69.3161686901793
"aval" "15" "015_fs2" "8" 47.0661945203384
"aval" "15" "015_fs2" "9" 26.145220537515
"aval" "15" "015_fs2" "10" 73.7375230430155
"aval" "15" "015_fs2" "11" 106.096165015586
"aval" "15" "015_fs2" "12" 32.3819134249002
"aval" "16" "016_fs1" "1" -26.8050856304662
"aval" "16" "016_fs1" "2" -16.8448593041065
"aval" "16" "016_fs1" "3" 40.4346058651745
"aval" "16" "016_fs1" "4" 86.4250301826669
"aval" "16" "016_fs1" "5" 72.7854530349797
"aval" "16" "016_fs1" "6" 37.5082553724129
"aval" "16" "016_fs1" "7" 7.57492732273653
"aval" "16" "016_fs1" "8" -47.3954127310093
"aval" "16" "016_fs1" "9" -71.0137546913388
"aval" "16" "016_fs1" "10" -71.8451358107974
"aval" "16" "016_fs1" "11" -74.2998921334045
"aval" "16" "016_fs1" "12" -65.7623844890569
"aval" "16" "016_fs2" "1" -35.0180773186928
"aval" "16" "016_fs2" "2" -37.7368781427778
"aval" "16" "016_fs2" "3" -2.56087525667738
"aval" "16" "016_fs2" "4" 55.0015186682637
"aval" "16" "016_fs2" "5" 101.849958782967
"aval" "16" "016_fs2" "6" 82.5824948750067
"aval" "16" "016_fs2" "7" -0.442326282700833
"aval" "16" "016_fs2" "8" -19.7794241045921
"aval" "16" "016_fs2" "9" -63.5253436622154
"aval" "16" "016_fs2" "10" -104.35297613661
"aval" "16" "016_fs2" "11" -105.836465769866
