"treatment" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"amont" "20" "020_fs3" 0.083 7.78676359770104 3.93102948173265 0.504834830595505 "20.020_fs3" "Lees Athas" "Lees Athas.amont" 5.177 81.969 "16.5" "3-4"
"amont" "21" "021_fs1" 0.1079 5.13851543099264 3.84843999306065 0.748940047907421 "21.021_fs1" "Cauterets" "Cauterets.amont" 1.888 61.223 "16.5" "3-4"
"amont" "21" "021_fs2" 0.083 5.28410426662487 3.18988191156799 0.603675050796352 "21.021_fs2" "Cauterets" "Cauterets.amont" 1.888 61.223 "16.5" "3-4"
"amont" "21" "021_fs3" 0.0913 7.39469327023472 5.39394024479718 0.729433939675224 "21.021_fs3" "Cauterets" "Cauterets.amont" 1.888 61.223 "16.5" "3-4"
"amont" "22" "022_fs1" 0.0996 5.15726452575658 3.40835924300183 0.660885092470959 "22.022_fs1" "Lees Athas" "Lees Athas.amont" 10.54 103.871 "16.5" "3-4"
"amont" "22" "022_fs2" 0.0913 8.74594287956873 6.29906075649423 0.720226606008298 "22.022_fs2" "Lees Athas" "Lees Athas.amont" 10.54 103.871 "16.5" "3-4"
"amont" "22" "022_fs3" 0.1079 9.10745672454842 6.33198332255349 0.695252639025572 "22.022_fs3" "Lees Athas" "Lees Athas.amont" 10.54 103.871 "16.5" "3-4"
"amont" "22" "022_fs4" 0.1079 6.97619674608877 5.72015585460026 0.819953344608191 "22.022_fs4" "Lees Athas" "Lees Athas.amont" 10.54 103.871 "16.5" "3-4"
"amont" "23" "023_fs1" 0.1079 10.0048280124453 8.51920224574961 0.851509114914555 "23.023_fs1" "Lees Athas" "Lees Athas.amont" 6.277 86.834 "16.6" "3-4"
"amont" "23" "023_fs2" 0.1079 10.2979666098953 8.48811445619955 0.824251503014521 "23.023_fs2" "Lees Athas" "Lees Athas.amont" 6.277 86.834 "16.6" "3-4"
"amont" "23" "023_fs3" 0.0996 7.68495997784437 6.10352893263669 0.794217399990771 "23.023_fs3" "Lees Athas" "Lees Athas.amont" 6.277 86.834 "16.6" "3-4"
"amont" "23" "023_fs4" 0.1079 8.83184128777289 7.82803585774519 0.886342451441309 "23.023_fs4" "Lees Athas" "Lees Athas.amont" 6.277 86.834 "16.6" "3-4"
"amont" "24" "024_fs1" 0.1079 4.62111477650702 3.09507262417111 0.669767528801912 "24.024_fs1" "Cauterets" "Cauterets.amont" 1.68 56.782 "17.1" "3-4"
"amont" "24" "024_fs2" 0.0913 4.23896226709364 3.27471321786068 0.772527097795075 "24.024_fs2" "Cauterets" "Cauterets.amont" 1.68 56.782 "17.1" "3-4"
"amont" "25" "025_fs1" 0.0996 9.18265081239228 7.27300642167388 0.792037786284841 "25.025_fs1" "Lees Athas" "Lees Athas.amont" 5.249 81.787 "17.2" "3-4"
"amont" "25" "025_fs2" 0.1079 8.61613498961804 6.96150668684807 0.80796165510827 "25.025_fs2" "Lees Athas" "Lees Athas.amont" 5.249 81.787 "17.2" "3-4"
"amont" "25" "025_fs3" 0.1079 8.85495053322084 7.05791582977219 0.797058752987182 "25.025_fs3" "Lees Athas" "Lees Athas.amont" 5.249 81.787 "17.2" "3-4"
"amont" "26" "026_fs1" 0.083 5.44392036720357 3.50362013011598 0.643584015523672 "26.026_fs1" "Cauterets" "Cauterets.amont" 5.031 78.637 "17.3" "3-4"
"amont" "26" "026_fs2" 0.083 4.33759561170756 2.88777238300784 0.665754173859243 "26.026_fs2" "Cauterets" "Cauterets.amont" 5.031 78.637 "17.3" "3-4"
"aval" "27" "027_fs1" 0.0996 6.6685171383403 4.90687389881822 0.73582684081389 "27.027_fs1" "Lees Athas" "Lees Athas.aval" 10.67 102.345 "16" "9-10"
"aval" "27" "027_fs2" 0.0913 8.03874680461384 6.21259330043026 0.772831070741591 "27.027_fs2" "Lees Athas" "Lees Athas.aval" 10.67 102.345 "16" "9-10"
"aval" "27" "027_fs3" 0.0664 6.11767958417182 5.29369780744319 0.865311387203 "27.027_fs3" "Lees Athas" "Lees Athas.aval" 10.67 102.345 "16" "9-10"
"aval" "29" "029_fs1" 0.0747 6.21339471852217 4.68166266831435 0.753479036887562 "29.029_fs1" "Cauterets" "Cauterets.aval" 1.844 60.564 "15.8" "9-10"
"aval" "29" "029_fs2" 0.0747 6.02718532216 4.58303471436627 0.760393860383874 "29.029_fs2" "Cauterets" "Cauterets.aval" 1.844 60.564 "15.8" "9-10"
"amont" "37" "037_fs1" 0.1826 7.31245350809195 4.83142235554221 0.660711531388987 "37.037_fs1" "Lees Athas" "Lees Athas.amont" 5.52 84.271 "15.2" "1"
"amont" "37" "037_fs2" 0.0996 9.02090347207837 7.61585985892674 0.844245798937929 "37.037_fs2" "Lees Athas" "Lees Athas.amont" 5.52 84.271 "15.2" "1"
"amont" "37" "037_fs3" 0.1411 7.61994739951692 6.01854588906511 0.789840870744942 "37.037_fs3" "Lees Athas" "Lees Athas.amont" 5.52 84.271 "15.2" "1"
"amont" "38" "038_fs1" 0.1411 9.19885389595543 7.01493068145748 0.762587465873529 "38.038_fs1" "Lees Athas" "Lees Athas.amont" 7.06 89.897 "15.2" "1"
"amont" "38" "038_fs2" 0.1411 14.8666954270696 10.3938570421356 0.699137013543054 "38.038_fs2" "Lees Athas" "Lees Athas.amont" 7.06 89.897 "15.2" "1"
"amont" "38" "038_fs3" 0.1079 9.88781858862526 7.29488749248296 0.737765102292112 "38.038_fs3" "Lees Athas" "Lees Athas.amont" 7.06 89.897 "15.2" "1"
"amont" "39" "039_fs1" 0.166 7.34876828467305 4.79580424009607 0.652599735672498 "39.039_fs1" "Lees Athas" "Lees Athas.amont" 9.399 98.874 "15.3" "1"
"amont" "39" "039_fs2" 0.1411 11.4888530502519 7.36327838257969 0.640906307215605 "39.039_fs2" "Lees Athas" "Lees Athas.amont" 9.399 98.874 "15.3" "1"
"amont" "39" "039_fs3" 0.1328 9.32689372072327 7.06964513563629 0.757984956977516 "39.039_fs3" "Lees Athas" "Lees Athas.amont" 9.399 98.874 "15.3" "1"
"amont" "40" "040_fs1" 0.1577 7.45367579009909 5.01347264096001 0.672617481916713 "40.040_fs1" "Lees Athas" "Lees Athas.amont" 7.092 89.745 "15.4" "1"
"amont" "40" "040_fs2" 0.1494 8.88494860957358 7.3224016671246 0.824135511513783 "40.040_fs2" "Lees Athas" "Lees Athas.amont" 7.092 89.745 "15.4" "1"
"amont" "40" "040_fs3" 0.1411 9.74047672472137 6.82010708849376 0.700182063079551 "40.040_fs3" "Lees Athas" "Lees Athas.amont" 7.092 89.745 "15.4" "1"
"amont" "40" "040_fs4" 0.1328 7.70645595440281 5.40562885723879 0.701441608078026 "40.040_fs4" "Lees Athas" "Lees Athas.amont" 7.092 89.745 "15.4" "1"
"amont" "41" "041_fs1" 0.1245 8.15514553797299 6.31863912550266 0.774803968375676 "41.041_fs1" "Lees Athas" "Lees Athas.amont" 5.53 84.3 "15.6" "2"
"amont" "41" "041_fs2" 0.0996 9.20064784461168 7.55926751165459 0.82160165667917 "41.041_fs2" "Lees Athas" "Lees Athas.amont" 5.53 84.3 "15.6" "2"
"amont" "42" "042_fs1" 0.1162 13.4110758089685 10.8518140989379 0.809168052847848 "42.042_fs1" "Lees Athas" "Lees Athas.amont" 7.464 91.308 "15.9" "2"
"amont" "42" "042_fs2" 0.1162 10.3368862588932 7.24260460315492 0.700656311945371 "42.042_fs2" "Lees Athas" "Lees Athas.amont" 7.464 91.308 "15.9" "2"
"amont" "42" "042_fs3" 0.1162 9.86972318253457 7.35569746921454 0.745279004605839 "42.042_fs3" "Lees Athas" "Lees Athas.amont" 7.464 91.308 "15.9" "2"
"amont" "42" "042_fs4" 0.1328 12.4400944940329 9.65032972528944 0.775744085377997 "42.042_fs4" "Lees Athas" "Lees Athas.amont" 7.464 91.308 "15.9" "2"
"amont" "45" "045_fs1" 0.1328 4.34121439001222 3.12013142705443 0.718723183594176 "45.045_fs1" "Lees Athas" "Lees Athas.amont" 4.653 79.09 "17.1" "2"
"amont" "45" "045_fs2" 0.1494 10.7359715031116 6.88906826512484 0.64168093806212 "45.045_fs2" "Lees Athas" "Lees Athas.amont" 4.653 79.09 "17.1" "2"
"amont" "45" "045_fs3" 0.1328 8.67457922294453 6.37406122000683 0.734797741329889 "45.045_fs3" "Lees Athas" "Lees Athas.amont" 4.653 79.09 "17.1" "2"
"amont" "46" "046_fs1" 0.1577 12.5784740161916 9.92091989097405 0.788722056284676 "46.046_fs1" "Lees Athas" "Lees Athas.amont" 7.361 90.906 "17.2" "2"
"amont" "46" "046_fs2" 0.1245 11.3364612357022 9.79225327461737 0.863783950831005 "46.046_fs2" "Lees Athas" "Lees Athas.amont" 7.361 90.906 "17.2" "2"
"amont" "46" "046_fs3" 0.1411 9.82237342363187 8.68873265731038 0.884585861539937 "46.046_fs3" "Lees Athas" "Lees Athas.amont" 7.361 90.906 "17.2" "2"
"aval" "167" "167_fs1" 0.1411 9.24365999816814 6.87378327521048 0.743621387694127 "167.167_fs1" "Cauterets" "Cauterets.aval" 4.136 76.319 "18.8" "8"
"aval" "167" "167_fs2" 0.1162 11.6161214084733 9.71436288694284 0.836282830158507 "167.167_fs2" "Cauterets" "Cauterets.aval" 4.136 76.319 "18.8" "8"
"aval" "167" "167_fs3" 0.1162 9.78460869196156 7.8443706681548 0.801705097782731 "167.167_fs3" "Cauterets" "Cauterets.aval" 4.136 76.319 "18.8" "8"
"aval" "168" "168_fs1" 0.1328 12.6975849804909 8.79643398079636 0.692764332297168 "168.168_fs1" "Lees Athas" "Lees Athas.aval" 16.622 119.652 "18.5" "9-10"
"aval" "168" "168_fs2" 0.1245 12.2693607655902 7.86670850094286 0.64116694025375 "168.168_fs2" "Lees Athas" "Lees Athas.aval" 16.622 119.652 "18.5" "9-10"
"aval" "168" "168_fs3" 0.0913 8.37912399124507 5.28566884599149 0.630814014867691 "168.168_fs3" "Lees Athas" "Lees Athas.aval" 16.622 119.652 "18.5" "9-10"
"aval" "170" "170_fs1" 0.1079 5.78230661782368 5.23793053342214 0.905854856827632 "170.170_fs1" "Cauterets" "Cauterets.aval" 2.561 68.693 "18.5" "9-10"
"aval" "170" "170_fs2" 0.083 3.98889411310135 2.4510505407633 0.614468690134676 "170.170_fs2" "Cauterets" "Cauterets.aval" 2.561 68.693 "18.5" "9-10"
"aval" "170" "170_fs3" 0.1245 5.713180152774 3.11743388468842 0.545656499764806 "170.170_fs3" "Cauterets" "Cauterets.aval" 2.561 68.693 "18.5" "9-10"
"aval" "171" "171_fs1" 0.1162 12.9727178499437 9.30083007454484 0.716953084321125 "171.171_fs1" "Cauterets" "Cauterets.aval" 5.604 83.219 "18.5" "9-10"
"aval" "171" "171_fs2" 0.1494 9.4421127754549 4.31448769499109 0.456940919643192 "171.171_fs2" "Cauterets" "Cauterets.aval" 5.604 83.219 "18.5" "9-10"
"aval" "171" "171_fs3" 0.1079 10.6849548231995 7.88091504255174 0.737571208578295 "171.171_fs3" "Cauterets" "Cauterets.aval" 5.604 83.219 "18.5" "9-10"
"aval" "172" "172_fs1" 0.0913 6.38644901882252 4.94708531820619 0.774622220208107 "172.172_fs1" "Cauterets" "Cauterets.aval" 1.404 53.6 "18.5" "9-10"
"aval" "172" "172_fs2" 0.0996 9.67005355989331 6.42872680694319 0.6648077766194 "172.172_fs2" "Cauterets" "Cauterets.aval" 1.404 53.6 "18.5" "9-10"
"aval" "172" "172_fs3" 0.1245 12.017307442276 10.1110589643799 0.841374743298151 "172.172_fs3" "Cauterets" "Cauterets.aval" 1.404 53.6 "18.5" "9-10"
"aval" "173" "173_fs1" 0.1162 11.3113468265257 8.97242455018249 0.793223361266023 "173.173_fs1" "Cauterets" "Cauterets.aval" 5.598 84.504 "18.5" "9-10"
"aval" "173" "173_fs2" 0.0996 12.5089009348734 10.6929477642719 0.854827120299683 "173.173_fs2" "Cauterets" "Cauterets.aval" 5.598 84.504 "18.5" "9-10"
