"treatment" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"amont" "197" "197_fs2" 0.0913 4.61945607609406 3.12292180384549 0.676036691853568 "197.197_fs2" "Cauterets" "Cauterets.amont" 1.89 60.038 "19.4" "3-4"
"amont" "198" "198_fs1" 0.0913 7.71245990505065 6.62324737145026 0.858772357067671 "198.198_fs1" "Lees Athas" "Lees Athas.amont" 17.65 107.254 "19.3" "3-4"
"amont" "198" "198_fs2" 0.0913 10.7356612265465 9.28254623675065 0.864645972042906 "198.198_fs2" "Lees Athas" "Lees Athas.amont" 17.65 107.254 "19.3" "3-4"
"amont" "199" "199_fs1" 0.0747 7.0765782997489 6.22231969586602 0.879283663983032 "199.199_fs1" "Cauterets" "Cauterets.amont" 2.471 66.199 "19.3" "3-4"
"amont" "199" "199_fs2" 0.083 7.82934843722752 5.16973622918059 0.660302229569855 "199.199_fs2" "Cauterets" "Cauterets.amont" 2.471 66.199 "19.3" "3-4"
"amont" "199" "199_fs3" 0.0747 8.52888405481573 7.42974933714762 0.87112795641213 "199.199_fs3" "Cauterets" "Cauterets.amont" 2.471 66.199 "19.3" "3-4"
"amont" "200" "200_fs1" 0.1245 13.2210121819005 9.61888546044721 0.72754531408839 "200.200_fs1" "Lees Athas" "Lees Athas.amont" 12.228 107.093 "19.2" "3-4"
"amont" "200" "200_fs2" 0.1328 6.26240819769556 4.9956743277091 0.797724161377312 "200.200_fs2" "Lees Athas" "Lees Athas.amont" 12.228 107.093 "19.2" "3-4"
"amont" "200" "200_fs3" 0.1079 7.48308414085915 4.97065439294327 0.664252105064875 "200.200_fs3" "Lees Athas" "Lees Athas.amont" 12.228 107.093 "19.2" "3-4"
"amont" "201" "201_fs1" 0.1079 13.9108542322489 8.81600474373545 0.633750062832064 "201.201_fs1" "Cauterets" "Cauterets.amont" 2.976 66.77 "19.2" "3-4"
"amont" "201" "201_fs2" 0.0996 4.67472657702022 2.77267584205665 0.593120430975883 "201.201_fs2" "Cauterets" "Cauterets.amont" 2.976 66.77 "19.2" "3-4"
"amont" "201" "201_fs3" 0.0996 5.15023548698222 4.0634821155401 0.788989576459366 "201.201_fs3" "Cauterets" "Cauterets.amont" 2.976 66.77 "19.2" "3-4"
"amont" "202" "202_fs1" 0.1079 8.21609956312002 6.34421994617467 0.772169311902239 "202.202_fs1" "Lees Athas" "Lees Athas.amont" 5.238 78.696 "19.2" "3-4"
"amont" "202" "202_fs2" 0.0996 5.43958683028632 4.3415498469571 0.798139634941461 "202.202_fs2" "Lees Athas" "Lees Athas.amont" 5.238 78.696 "19.2" "3-4"
"amont" "202" "202_fs3" 0.1079 8.04493572599575 6.01083949225438 0.747158174655323 "202.202_fs3" "Lees Athas" "Lees Athas.amont" 5.238 78.696 "19.2" "3-4"
"amont" "203" "203_fs1" 0.1079 6.59239383022355 3.75368552024813 0.56939643123852 "203.203_fs1" "Cauterets" "Cauterets.amont" 3.879 74.81 "19.5" "3-4"
"amont" "203" "203_fs2" 0.1079 8.68708310737825 6.28459093677916 0.723440867215997 "203.203_fs2" "Cauterets" "Cauterets.amont" 3.879 74.81 "19.5" "3-4"
"amont" "203" "203_fs3" 0.0913 4.78117746977199 3.1775903787725 0.664604148007924 "203.203_fs3" "Cauterets" "Cauterets.amont" 3.879 74.81 "19.5" "3-4"
"amont" "204" "204_fs1" 0.1079 10.4816474359534 7.14848753218524 0.682000379793828 "204.204_fs1" "Cauterets" "Cauterets.amont" 3.477 71.741 "19.4" "3-4"
"amont" "204" "204_fs2" 0.1079 9.3088572018032 6.04435386853806 0.649312126881399 "204.204_fs2" "Cauterets" "Cauterets.amont" 3.477 71.741 "19.4" "3-4"
"amont" "206" "206_fs1" 0.0913 6.10005662760628 5.24079027262118 0.85913797076958 "206.206_fs1" "Cauterets" "Cauterets.amont" 1.613 57.339 "18" "1"
"amont" "206" "206_fs2" 0.0996 10.9022029550086 9.25065087012672 0.848512076715366 "206.206_fs2" "Cauterets" "Cauterets.amont" 1.613 57.339 "18" "1"
"amont" "206" "206_fs3" 0.0996 7.2219135114994 4.69853702964985 0.650594475019453 "206.206_fs3" "Cauterets" "Cauterets.amont" 1.613 57.339 "18" "1"
"amont" "207" "207_fs1" 0.0664 4.51837960671121 3.43488707706414 0.760203297651719 "207.207_fs1" "Cauterets" "Cauterets.amont" 4.211 78.432 "18" "1"
"amont" "207" "207_fs2" 0.0996 9.54790403766309 8.05034995709977 0.843153630927165 "207.207_fs2" "Cauterets" "Cauterets.amont" 4.211 78.432 "18" "1"
"amont" "207" "207_fs3" 0.1079 5.87706197682593 3.93036202074074 0.668763071793133 "207.207_fs3" "Cauterets" "Cauterets.amont" 4.211 78.432 "18" "1"
"amont" "208" "208_fs1" 0.0747 5.5251253010539 4.66168294228405 0.843724384204436 "208.208_fs1" "Cauterets" "Cauterets.amont" 3.479 73.283 "18.1" "1"
"amont" "208" "208_fs2" 0.0913 4.74813281675659 3.67562055517849 0.774119153155721 "208.208_fs2" "Cauterets" "Cauterets.amont" 3.479 73.283 "18.1" "1"
"amont" "208" "208_fs3" 0.1245 10.2019920458641 5.05867660981673 0.495851848058197 "208.208_fs3" "Cauterets" "Cauterets.amont" 3.479 73.283 "18.1" "1"
"amont" "209" "209_fs1" 0.1494 8.91911636511412 5.71929069329704 0.641239609303366 "209.209_fs1" "Lees Athas" "Lees Athas.amont" 13.26 111.727 "18.2" "1"
"amont" "209" "209_fs2" 0.1079 7.10242924188652 5.65750340935105 0.796558926062364 "209.209_fs2" "Lees Athas" "Lees Athas.amont" 13.26 111.727 "18.2" "1"
"amont" "210" "210_fs1" 0.1079 12.7650167361786 10.5794460868655 0.828784349093817 "210.210_fs1" "Lees Athas" "Lees Athas.amont" 5.192 80.728 "18.3" "1"
"amont" "210" "210_fs2" 0.1079 13.082378926182 10.0701469498625 0.769748912386949 "210.210_fs2" "Lees Athas" "Lees Athas.amont" 5.192 80.728 "18.3" "1"
"amont" "210" "210_fs3" 0.0913 9.04670886656828 6.50244585759936 0.718763691139533 "210.210_fs3" "Lees Athas" "Lees Athas.amont" 5.192 80.728 "18.3" "1"
"amont" "211" "211_fs1" 0.0996 8.21198054324818 6.87754427894823 0.837501287628218 "211.211_fs1" "Lees Athas" "Lees Athas.amont" 13.19 112.687 "18.5" "1"
"amont" "211" "211_fs2" 0.1494 12.7071192360746 9.96971533294855 0.784577145120763 "211.211_fs2" "Lees Athas" "Lees Athas.amont" 13.19 112.687 "18.5" "1"
"amont" "212" "212_fs1" 0.0996 5.81577019318353 3.89974629527111 0.670546834852909 "212.212_fs1" "Lees Athas" "Lees Athas.amont" 8.734 102.774 "19.6" "1"
"amont" "212" "212_fs2" 0.083 6.05024539024321 4.39092983523632 0.72574409003596 "212.212_fs2" "Lees Athas" "Lees Athas.amont" 8.734 102.774 "19.6" "1"
"amont" "213" "213_fs1" 0.1079 5.62077819039464 4.06676977008392 0.723524329252777 "213.213_fs1" "Cauterets" "Cauterets.amont" 1.682 57.469 "20" "1"
"amont" "213" "213_fs2" 0.1162 6.38793332876591 3.72866822592527 0.583704937735412 "213.213_fs2" "Cauterets" "Cauterets.amont" 1.682 57.469 "20" "1"
"amont" "213" "213_fs3" 0.1079 7.72156255525325 6.78573180586304 0.878802931052662 "213.213_fs3" "Cauterets" "Cauterets.amont" 1.682 57.469 "20" "1"
