"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 1 1 104.14201183432 54.0005024425794 -130.069689964458
2 "002_fs1" 1 2 103.328106623629 53.4720882653595 -130.069689964458
2 "002_fs1" 1 3 102.516973217026 52.9403139264006 -130.069689964458
2 "002_fs1" 1 4 101.708713524767 52.4051627952206 -130.069689964458
2 "002_fs1" 1 5 100.903429457111 51.8666182413369 -130.069689964458
2 "002_fs1" 1 6 100.101222924316 51.3246636342673 -130.069689964458
2 "002_fs1" 1 7 99.3021958366382 50.7792823435294 -130.069689964458
2 "002_fs1" 1 8 98.5064501043365 50.230457738641 -130.069689964458
2 "002_fs1" 1 9 97.7140876376685 49.6781731891195 -130.069689964458
2 "002_fs1" 1 10 96.9252103468918 49.1224120644829 -130.069689964458
2 "002_fs1" 1 11 96.1399201422644 48.5631577342486 -130.069689964458
2 "002_fs1" 1 12 95.3583189340438 48.0003935679343 -130.069689964458
2 "002_fs1" 1 13 94.580508632488 47.4341029350578 -130.069689964458
2 "002_fs1" 1 14 93.8065911478546 46.8642692051367 -130.069689964458
2 "002_fs1" 1 15 93.0366683904014 46.2908757476885 -130.069689964458
2 "002_fs1" 1 16 92.2708422703862 45.7139059322311 -130.069689964458
2 "002_fs1" 1 17 91.5092146980668 45.1333431282821 -130.069689964458
2 "002_fs1" 1 18 90.7518875837009 44.549170705359 -130.069689964458
2 "002_fs1" 1 19 89.9989628375463 43.9613720329797 -130.069689964458
2 "002_fs1" 1 20 89.2505423698607 43.3699304806617 -130.069689964458
2 "002_fs1" 1 21 88.506728090902 42.7748294179228 -130.069689964458
2 "002_fs1" 1 22 87.7676219109278 42.1760522142805 -130.069689964458
2 "002_fs1" 1 23 87.033325740196 41.5735822392525 -130.069689964458
2 "002_fs1" 1 24 86.3039414889643 40.9674028623566 -130.069689964458
2 "002_fs1" 1 25 85.5795710674905 40.3574974531103 -130.069689964458
2 "002_fs1" 1 26 84.8603163860324 39.7438493810314 -130.069689964458
2 "002_fs1" 1 27 84.1462793548476 39.1264420156375 -130.069689964458
2 "002_fs1" 1 28 83.437561884194 38.5052587264462 -130.069689964458
2 "002_fs1" 1 29 82.7342658843294 37.8802828829752 -130.069689964458
2 "002_fs1" 1 30 82.0364932655115 37.2514978547422 -130.069689964458
2 "002_fs1" 1 31 81.344301573978 36.6188870112649 -130.069689964458
2 "002_fs1" 1 32 80.6534435194038 35.9824337220609 -130.069689964458
2 "002_fs1" 1 33 79.9612967591401 35.3421213566478 -130.069689964458
2 "002_fs1" 1 34 79.268178987085 34.6979332845434 -130.069689964458
2 "002_fs1" 1 35 78.5744078971363 34.0498528752653 -130.069689964458
2 "002_fs1" 1 36 77.8803011831918 33.3978634983311 -130.069689964458
2 "002_fs1" 1 37 77.1861765391495 32.7419485232586 -130.069689964458
2 "002_fs1" 1 38 76.4923516589072 32.0820913195653 -130.069689964458
2 "002_fs1" 1 39 75.7991442363628 31.418275256769 -130.069689964458
2 "002_fs1" 1 40 75.1068719654142 30.7504837043873 -130.069689964458
2 "002_fs1" 1 41 74.4158525399592 30.0787000319379 -130.069689964458
2 "002_fs1" 1 42 73.7264036538957 29.4029076089384 -130.069689964458
2 "002_fs1" 1 43 73.0388430011217 28.7230898049065 -130.069689964458
2 "002_fs1" 1 44 72.3534882755349 28.0392299893599 -130.069689964458
2 "002_fs1" 1 45 71.6706571710333 27.3513115318162 -130.069689964458
2 "002_fs1" 1 46 70.9906673815147 26.6593178017931 -130.069689964458
2 "002_fs1" 1 47 70.3138366008771 25.9632321688082 -130.069689964458
2 "002_fs1" 1 48 69.6404825230182 25.2630380023793 -130.069689964458
2 "002_fs1" 1 49 68.970922841836 24.558718672024 -130.069689964458
2 "002_fs1" 1 50 68.3054752512283 23.8502575472598 -130.069689964458
2 "002_fs1" 1 51 67.6444574450931 23.1376379976046 -130.069689964458
2 "002_fs1" 1 52 66.9881871173282 22.420843392576 -130.069689964458
2 "002_fs1" 1 53 66.3369819618314 21.6998571016915 -130.069689964458
2 "002_fs1" 1 54 65.6911596725007 20.974662494469 -130.069689964458
2 "002_fs1" 1 55 65.0510379432339 20.2452429404261 -130.069689964458
2 "002_fs1" 1 56 64.4169344679289 19.5115818090803 -130.069689964458
2 "002_fs1" 1 57 63.7891669404836 18.7736624699494 -130.069689964458
2 "002_fs1" 1 58 63.1680530547958 18.0314682925511 -130.069689964458
2 "002_fs1" 1 59 62.5539105047635 17.284982646403 -130.069689964458
2 "002_fs1" 1 60 61.9470569842845 16.5341889010228 -130.069689964458
2 "002_fs1" 1 61 61.3478101872567 15.779070425928 -130.069689964458
2 "002_fs1" 1 62 60.756487807578 15.0196105906365 -130.069689964458
2 "002_fs1" 1 63 60.1734075391462 14.2557927646659 -130.069689964458
2 "002_fs1" 1 64 59.5988870758592 13.4876003175337 -130.069689964458
2 "002_fs1" 1 65 59.0332441116149 12.7150166187578 -130.069689964458
2 "002_fs1" 1 66 58.4767963403112 11.9380250378557 -130.069689964458
2 "002_fs1" 1 67 57.929861455846 11.1566089443451 -130.069689964458
2 "002_fs1" 1 68 57.392757152117 10.3707517077437 -130.069689964458
2 "002_fs1" 1 69 56.8658011230223 9.58043669756907 -130.069689964458
2 "002_fs1" 1 70 56.3493110624597 8.78564728333899 -130.069689964458
2 "002_fs1" 1 71 55.843604664327 7.98636683457104 -130.069689964458
2 "002_fs1" 1 72 55.3489996225221 7.18257872078297 -130.069689964458
2 "002_fs1" 1 73 54.865813630943 6.37426631149236 -130.069689964458
2 "002_fs1" 1 74 54.3943643834875 5.5614129762169 -130.069689964458
2 "002_fs1" 1 75 53.934740712771 4.74400299239031 -130.069689964458
2 "002_fs1" 1 76 53.4845105746031 3.92206543398899 -130.069689964458
2 "002_fs1" 1 77 53.0426960927024 3.09569375185521 -130.069689964458
2 "002_fs1" 1 78 52.6089893021053 2.26498638295456 -130.069689964458
2 "002_fs1" 1 79 52.1830822378479 1.43004176425273 -130.069689964458
2 "002_fs1" 1 80 51.7646669349663 0.590958332715246 -130.069689964458
2 "002_fs1" 1 81 51.3534354284968 -0.25216547469222 -130.069689964458
2 "002_fs1" 1 82 50.9490797534756 -1.09923122100403 -130.069689964458
2 "002_fs1" 1 83 50.5512919449389 -1.95014046925462 -130.069689964458
2 "002_fs1" 1 84 50.159764037923 -2.80479478247833 -130.069689964458
2 "002_fs1" 1 85 49.7741880674639 -3.66309572370955 -130.069689964458
2 "002_fs1" 1 86 49.3942560685979 -4.52494485598265 -130.069689964458
2 "002_fs1" 1 87 49.0196600763613 -5.39024374233205 -130.069689964458
2 "002_fs1" 1 88 48.6500921257902 -6.2588939457921 -130.069689964458
2 "002_fs1" 1 89 48.2852442519207 -7.13079702939717 -130.069689964458
2 "002_fs1" 1 90 47.9248084897893 -8.00585455618165 -130.069689964458
2 "002_fs1" 1 91 47.568476874432 -8.88396808917994 -130.069689964458
2 "002_fs1" 1 92 47.2159414408849 -9.76503919142641 -130.069689964458
2 "002_fs1" 1 93 46.8668942241844 -10.6489694259554 -130.069689964458
2 "002_fs1" 1 94 46.5210272593667 -11.5356603558014 -130.069689964458
2 "002_fs1" 1 95 46.1780325814679 -12.4250135439986 -130.069689964458
2 "002_fs1" 1 96 45.8376022255243 -13.3169305535816 -130.069689964458
2 "002_fs1" 1 97 45.499428226572 -14.2113129475847 -130.069689964458
2 "002_fs1" 1 98 45.1632026196473 -15.1080622890422 -130.069689964458
2 "002_fs1" 1 99 44.8286174397863 -16.0070801409885 -130.069689964458
2 "002_fs1" 1 100 44.4953647220253 -16.9082680664581 -130.069689964458
2 "002_fs1" 2 1 104.480135249366 41.016563304794 -137.331255356453
2 "002_fs1" 2 2 103.521071022189 40.9030868772927 -137.331255356453
2 "002_fs1" 2 3 102.567784728125 40.7779032458305 -137.331255356453
2 "002_fs1" 2 4 101.620298694645 40.6410755213513 -137.331255356453
2 "002_fs1" 2 5 100.678635249223 40.4926668147983 -137.331255356453
2 "002_fs1" 2 6 99.742816719329 40.3327402371152 -137.331255356453
2 "002_fs1" 2 7 98.8128654324358 40.1613588992455 -137.331255356453
2 "002_fs1" 2 8 97.8888037160155 39.9785859121327 -137.331255356453
2 "002_fs1" 2 9 96.9706538975398 39.7844843867204 -137.331255356453
2 "002_fs1" 2 10 96.0584383044809 39.5791174339522 -137.331255356453
2 "002_fs1" 2 11 95.1521792643108 39.3625481647715 -137.331255356453
2 "002_fs1" 2 12 94.2518991045014 39.1348396901219 -137.331255356453
2 "002_fs1" 2 13 93.3576201525248 38.8960551209469 -137.331255356453
2 "002_fs1" 2 14 92.4693647358528 38.6462575681901 -137.331255356453
2 "002_fs1" 2 15 91.5871551819577 38.385510142795 -137.331255356453
2 "002_fs1" 2 16 90.7110138183112 38.1138759557052 -137.331255356453
2 "002_fs1" 2 17 89.8409629723855 37.8314181178641 -137.331255356453
2 "002_fs1" 2 18 88.9770249716526 37.5381997402154 -137.331255356453
2 "002_fs1" 2 19 88.1192221435843 37.2342839337026 -137.331255356453
2 "002_fs1" 2 20 87.2675768156528 36.9197338092691 -137.331255356453
2 "002_fs1" 2 21 86.42211131533 36.5946124778586 -137.331255356453
2 "002_fs1" 2 22 85.582847970088 36.2589830504146 -137.331255356453
2 "002_fs1" 2 23 84.7498091073986 35.9129086378805 -137.331255356453
2 "002_fs1" 2 24 83.923017054734 35.5564523512001 -137.331255356453
2 "002_fs1" 2 25 83.1024941395661 35.1896773013167 -137.331255356453
2 "002_fs1" 2 26 82.288262689367 34.812646599174 -137.331255356453
2 "002_fs1" 2 27 81.4803450316085 34.4254233557155 -137.331255356453
2 "002_fs1" 2 28 80.6787634937628 34.0280706818846 -137.331255356453
2 "002_fs1" 2 29 79.8835404033018 33.620651688625 -137.331255356453
2 "002_fs1" 2 30 79.0946980876975 33.2032294868802 -137.331255356453
2 "002_fs1" 2 31 78.3122588744219 32.7758671875937 -137.331255356453
2 "002_fs1" 2 32 77.536245090947 32.3386279017091 -137.331255356453
2 "002_fs1" 2 33 76.7666790647449 31.8915747401699 -137.331255356453
2 "002_fs1" 2 34 76.0035831232874 31.4347708139196 -137.331255356453
2 "002_fs1" 2 35 75.2469795940467 30.9682792339018 -137.331255356453
2 "002_fs1" 2 36 74.4968908044946 30.49216311106 -137.331255356453
2 "002_fs1" 2 37 73.7533390821033 30.0064855563378 -137.331255356453
2 "002_fs1" 2 38 73.0163467543447 29.5113096806787 -137.331255356453
2 "002_fs1" 2 39 72.2836891669094 29.0066985950262 -137.331255356453
2 "002_fs1" 2 40 71.5502329111851 28.4927154103239 -137.331255356453
2 "002_fs1" 2 41 70.8164667689931 27.9694232375152 -137.331255356453
2 "002_fs1" 2 42 70.0831418097567 27.4368851875439 -137.331255356453
2 "002_fs1" 2 43 69.3510091028992 26.8951643713533 -137.331255356453
2 "002_fs1" 2 44 68.6208197178441 26.344323899887 -137.331255356453
2 "002_fs1" 2 45 67.8933247240145 25.7844268840886 -137.331255356453
2 "002_fs1" 2 46 67.1692751908338 25.2155364349016 -137.331255356453
2 "002_fs1" 2 47 66.4494221877254 24.6377156632696 -137.331255356453
2 "002_fs1" 2 48 65.7345167841125 24.051027680136 -137.331255356453
2 "002_fs1" 2 49 65.0253100494186 23.4555355964445 -137.331255356453
2 "002_fs1" 2 50 64.3225530530667 22.8513025231385 -137.331255356453
2 "002_fs1" 2 51 63.6269968644804 22.2383915711615 -137.331255356453
2 "002_fs1" 2 52 62.939392553083 21.6168658514573 -137.331255356453
2 "002_fs1" 2 53 62.2604911882976 20.9867884749692 -137.331255356453
2 "002_fs1" 2 54 61.5910438395478 20.3482225526408 -137.331255356453
2 "002_fs1" 2 55 60.9318015762567 19.7012311954156 -137.331255356453
2 "002_fs1" 2 56 60.2835154678478 19.0458775142372 -137.331255356453
2 "002_fs1" 2 57 59.6469365837443 18.3822246200492 -137.331255356453
2 "002_fs1" 2 58 59.0228159933695 17.710335623795 -137.331255356453
2 "002_fs1" 2 59 58.4119047661468 17.0302736364183 -137.331255356453
2 "002_fs1" 2 60 57.8149539714995 16.3421017688624 -137.331255356453
2 "002_fs1" 2 61 57.2327146788509 15.645883132071 -137.331255356453
2 "002_fs1" 2 62 56.6659379576244 14.9416808369877 -137.331255356453
2 "002_fs1" 2 63 56.1153748772431 14.2295579945559 -137.331255356453
2 "002_fs1" 2 64 55.5817765071306 13.5095777157192 -137.331255356453
2 "002_fs1" 2 65 55.06589391671 12.7818031114212 -137.331255356453
2 "002_fs1" 2 66 54.5684781754048 12.0462972926053 -137.331255356453
2 "002_fs1" 2 67 54.0902803526382 11.3031233702151 -137.331255356453
2 "002_fs1" 2 68 53.6296191417549 10.552349800096 -137.331255356453
2 "002_fs1" 2 69 53.176327601849 9.79413054805488 -137.331255356453
2 "002_fs1" 2 70 52.7292318538966 9.02868835623326 -137.331255356453
2 "002_fs1" 2 71 52.2883788608646 8.25624791511603 -137.331255356453
2 "002_fs1" 2 72 51.85381558572 7.47703391518812 -137.331255356453
2 "002_fs1" 2 73 51.4255889914297 6.69127104693436 -137.331255356453
2 "002_fs1" 2 74 51.0037460409609 5.89918400083963 -137.331255356453
2 "002_fs1" 2 75 50.5883336972804 5.10099746738882 -137.331255356453
2 "002_fs1" 2 76 50.1793989233552 4.29693613706678 -137.331255356453
2 "002_fs1" 2 77 49.7769886821523 3.48722470035844 -137.331255356453
2 "002_fs1" 2 78 49.3811499366387 2.6720878477486 -137.331255356453
2 "002_fs1" 2 79 48.9919296497813 1.85175026972217 -137.331255356453
2 "002_fs1" 2 80 48.6093747845472 1.02643665676405 -137.331255356453
2 "002_fs1" 2 81 48.2335323039033 0.196371699359048 -137.331255356453
2 "002_fs1" 2 82 47.8644491708166 -0.638219912007884 -137.331255356453
2 "002_fs1" 2 83 47.502172348254 -1.47711348685192 -137.331255356453
2 "002_fs1" 2 84 47.1467487991826 -2.32008433468818 -137.331255356453
2 "002_fs1" 2 85 46.7982254865694 -3.16690776503177 -137.331255356453
2 "002_fs1" 2 86 46.4566493733812 -4.01735908739784 -137.331255356453
2 "002_fs1" 2 87 46.122067422585 -4.8712136113015 -137.331255356453
2 "002_fs1" 2 88 45.794526597148 -5.72824664625787 -137.331255356453
2 "002_fs1" 2 89 45.474073860037 -6.58823350178213 -137.331255356453
2 "002_fs1" 2 90 45.160756174219 -7.45094948738929 -137.331255356453
2 "002_fs1" 2 91 44.854620502661 -8.3161699125946 -137.331255356453
2 "002_fs1" 2 92 44.55571380833 -9.18367008691311 -137.331255356453
2 "002_fs1" 2 93 44.2640830541929 -10.05322531986 -137.331255356453
2 "002_fs1" 2 94 43.9797752032167 -10.9246109209503 -137.331255356453
2 "002_fs1" 2 95 43.7028372183685 -11.7976021996992 -137.331255356453
2 "002_fs1" 2 96 43.4333160626151 -12.6719744656219 -137.331255356453
2 "002_fs1" 2 97 43.1712586989236 -13.5475030282334 -137.331255356453
2 "002_fs1" 2 98 42.9167120902609 -14.4239631970488 -137.331255356453
2 "002_fs1" 2 99 42.669723199594 -15.3011302815834 -137.331255356453
2 "002_fs1" 2 100 42.4302497682266 -16.1787832129556 -137.331255356453
2 "002_fs1" 3 1 120.710059171598 7.20422180014478 -176.775529961558
2 "002_fs1" 3 2 120.014501918541 7.92216795988523 -176.775529961558
2 "002_fs1" 3 3 119.312390635743 8.63326098934053 -176.775529961558
2 "002_fs1" 3 4 118.603776107879 9.33718476674383 -176.775529961558
2 "002_fs1" 3 5 117.888709119627 10.0336231703282 -176.775529961558
2 "002_fs1" 3 6 117.167240455665 10.7222600783266 -176.775529961558
2 "002_fs1" 3 7 116.439420900667 11.4027793689723 -176.775529961558
2 "002_fs1" 3 8 115.705301239312 12.0748649204983 -176.775529961558
2 "002_fs1" 3 9 114.964932256277 12.7382006111376 -176.775529961558
2 "002_fs1" 3 10 114.218364736238 13.3924703191235 -176.775529961558
2 "002_fs1" 3 11 113.465649463873 14.0373579226889 -176.775529961558
