"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
2 "002_fs1" 11 1 187.99661876585 -47.368897388359 153.781178893459 "segment_01_pts_1-27" -0.692735395921147 65.2154975250849 "amont"
2 "002_fs1" 11 28 165.208672505622 -36.1172170125865 150.447456761697 "segment_02_pts_28-53" -1.13509439094972 62.1840961426908 "amont"
2 "002_fs1" 11 54 144.070664962222 -24.1007251100365 147.050597578968 "segment_03_pts_54-76" 0.569295600290559 73.1356544079774 "amont"
2 "002_fs1" 11 77 125.927867994465 -12.3041857016943 142.928248821334 "segment_04_pts_77-98" 4.07851799068746 90.6473924562932 "amont"
2 "002_fs1" 11 99 109.495929489806 0.165458753765478 138.273063707611 "segment_05_pts_99-119" 6.19921178650563 134.199693351757 "amont"
2 "002_fs1" 11 120 95.0325457565667 13.0872909293284 137.705514381499 "segment_06_pts_120-139" -2.04954695372371 141.062071845411 "amont"
2 "002_fs1" 11 140 80.8490049763093 25.9624318936949 141.099220391942 "segment_07_pts_140-156" -13.2568016924134 168.249888016525 "amont"
2 "002_fs1" 11 157 67.7318700227068 36.4586040995866 151.641141484968 "segment_08_pts_157-170" -17.062228443252 206.505972026377 "amont"
2 "002_fs1" 11 171 56.3120049198112 42.4711011142553 167.831433685946 "segment_09_pts_171-179" -9.35872418991804 217.205477576702 "amont"
2 "002_fs1" 11 180 48.6232414169332 43.9970026682331 -177.416939082423 "segment_10_pts_180-185" 10.6844979873339 236.784951339627 "amont"
2 "002_fs1" 11 186 43.2904359263755 43.6554349466598 -165.653645325296 "segment_11_pts_186-190" 6.60936383541241 258.938313439968 "amont"
2 "002_fs1" 11 191 38.7297291237695 42.3963592684838 -150.207514140064 "segment_12_pts_191-200" 1.10420468351165 284.965347854884 "amont"
2 "002_fs2" 14 1 71.6815194664148 -110.90664273487 147.640522639817 "segment_01_pts_1-27" 1.24341179275189 182.902313030726 "amont"
2 "002_fs2" 14 28 50.4117159874545 -97.5059031740325 151.692821533361 "segment_02_pts_28-53" 3.82124926585027 185.55859529998 "amont"
2 "002_fs2" 14 54 29.2149656282088 -86.0132855124437 141.710884705187 "segment_03_pts_54-76" 12.8829641795473 189.013901939423 "amont"
2 "002_fs2" 14 77 12.3594669620804 -72.4869146557049 119.882865084637 "segment_04_pts_77-98" 19.3509432090072 199.284837192606 "amont"
2 "002_fs2" 14 99 2.32371449865238 -54.7483110018757 95.8024913166394 "segment_05_pts_99-119" 15.400485240763 202.536036196564 "amont"
2 "002_fs2" 14 120 0.553614737604676 -35.2996671852983 73.6315332537415 "segment_06_pts_120-139" 18.2973618296432 228.518781039544 "amont"
2 "002_fs2" 14 140 5.98834214738517 -17.806303769144 48.6543511437733 "segment_07_pts_140-156" 17.4675247005336 240.320218323278 "amont"
2 "002_fs2" 14 157 16.5668454808108 -6.020120896766 33.1948668769314 "segment_08_pts_157-170" 14.9164491382337 272.251597578597 "amont"
2 "002_fs2" 14 171 27.5801002575883 1.0960564078307 25.0315790490755 "segment_09_pts_171-179" 14.0067423948002 283.032168614657 "amont"
2 "002_fs2" 14 180 35.0414376692929 4.52050308586479 19.4629214029517 "segment_10_pts_180-185" 11.1020429704524 275.352521288045 "amont"
2 "002_fs2" 14 186 40.2746962463707 6.33343010730545 15.6342797688714 "segment_11_pts_186-190" 8.39439609484108 259.449432022567 "amont"
2 "002_fs2" 14 191 44.7935137597626 7.56962917719795 10.8314356146167 "segment_12_pts_191-200" 3.84003025516056 234.653494851032 "amont"
3 "003_fs1" 12 1 171.293322062553 -128.776189675435 145.22312214138 "segment_01_pts_1-27" 3.19630971810193 283.953426010539 "amont"
3 "003_fs1" 12 28 158.565426487862 -119.933444002109 144.578003057367 "segment_02_pts_28-53" 0.295421205878654 254.470975427008 "amont"
3 "003_fs1" 12 54 146.409644359719 -111.285238139879 144.397156871508 "segment_03_pts_54-76" -1.33586790944938 253.811510488857 "amont"
