"treatment" "poisson" "fs" "frame" "ratio_snout_tail" "ratio_ant_post"
"amont" "5" "005_fs2" 6 -12.1217552227132 4.29563895631657
"amont" "5" "005_fs2" 7 45.9466206909933 45.2433249023067
"amont" "5" "005_fs2" 8 91.4169542726252 66.872849812107
"amont" "5" "005_fs2" 9 107.886062758791 76.3914594282744
"amont" "5" "005_fs2" 10 115.629767080824 81.156629231896
"amont" "5" "005_fs2" 11 118.02803564581 83.5661024855328
"amont" "5" "005_fs2" 12 110.849987890266 76.9322372337672
"amont" "7" "007_fs1" 1 -10.4371300541701 -4.48266046121319
"amont" "7" "007_fs1" 2 -89.0440294333429 -51.7526795867965
"amont" "7" "007_fs1" 3 -156.072823114964 -111.312814820647
"amont" "7" "007_fs1" 4 -164.736635069753 -124.052364980649
"amont" "7" "007_fs1" 5 -111.164080496683 -65.2426507311396
"amont" "7" "007_fs1" 6 -71.9121655456792 -22.3647385899423
"amont" "7" "007_fs1" 7 41.7089849070543 26.7325949633877
"amont" "7" "007_fs1" 8 42.0295337238355 23.0056046251921
"amont" "7" "007_fs2" 1 -19.0192635087634 -4.63105625763379
"amont" "7" "007_fs2" 2 -29.4673092246096 -15.8486482062609
"amont" "7" "007_fs2" 3 -69.0441363537399 -63.3964446642488
"amont" "7" "007_fs2" 4 -75.8111675913524 -52.5705137811784
"amont" "7" "007_fs2" 5 -14.0402849740813 4.10206901191651
"amont" "7" "007_fs2" 6 53.3274747888061 53.0273355172267
"amont" "7" "007_fs2" 7 64.0211975588801 29.150302389472
"amont" "7" "007_fs2" 8 40.9342790044466 8.96378290729993
"amont" "7" "007_fs2" 9 -7.17603581323482 9.91485940812581
"amont" "8" "008_fs1" 1 -11.8362427940051 -14.7141968946428
"amont" "8" "008_fs1" 2 -11.2221611904408 -4.23801022110064
"amont" "8" "008_fs1" 3 55.0782137644799 56.3579219715068
"amont" "8" "008_fs1" 4 125.751356149276 82.708269008534
"amont" "8" "008_fs1" 5 71.9234802606517 36.7009362005052
