"ID","weight","height","origin","traitement","bief","variance_amplitude_max_par_segments_steady","maximum_amplitude_max_par_segments_steady","temperature_auge_steady","frequence_battement_steady","duree_sequence_steady","saut_boite_auge_steady","variance_distance_fast_start","maximum_distance_fast_start","variance_acceleration_fast_start","maximum_acceleration_fast_start","variance_ratio_snout_tail_fast_start","maximum_ratio_snout_tail_fast_start","variance_ratio_ant_post_fast_start","maximum_ratio_ant_post_fast_start","mean_efficiency_fast_start","variance_efficiency_fast_start","maximum_efficiency_fast_start","t_aqua_ellerby","saut_boite","temps_saut_sec","Temperature_Ellerby","Distance_cumulated_behaviour","Latency_to_externe_zone_behaviour","Time_spent_in_external_zone_behaviour","Latency_to_transition_zone_behaviour","Time_spent_in_transition_zone_behaviour","Time_spent_in_centre_zone_behaviour","Acceleration_Variance_behaviour","Mobility_Variance_behaviour","Cumulated_difference_of_Curvature_angle_behaviour","Cumulated_difference_of_Head_center_angle_behaviour","Cumulated_difference_of_Center_tail_behaviour","Variance_of_difference_of_Curvature_angle_behaviour","Variance_of_difference_of_Head_center_angle_behaviour","Variance_of_difference_of_Center_tail_behaviour","origin_treatment_behaviour","variance_angle_cum_diff_segmentation_fast_start","maximum_angle_cum_diff_segmentation_fast_start"
"158","3.415","71.998000000000005","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,18.8,3911.44,1.84824,83.3694,1.29876,12.2357,4.37823,1534.32,77.5755,38456.782749974,33026.6867889512,40399.7130522627,33.0346274990572,37.2235221811244,33.1562662857878,"Cauterets.Aval",NA,NA
"159","1.665","56.512","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,1,433,18.6,2273.69,55.3466,72.4155,54.2976,7.70767,19.8768,800.673,169.374,31266.8780087468,31417.276923483,33309.5490742155,29.3604223084722,42.9414858681368,37.8341771745741,"Cauterets.Aval",NA,NA
"160","2.0299999999999998","61.201000000000001","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,1,467,18.7,228.436,0.349662,99.8835,NA,0,0,207.97,32.68,24203.6832234396,16542.6563019353,13217.7898965229,21.3728604806465,27.5560728436539,23.5614978736805,"Cauterets.Aval",NA,NA
"161","2.9609999999999999","67.596999999999994","Lees Athas","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,1,552,18.8,1342.71,0,77.7593,124.439,15.1157,7.12502,604.573,119.674,18669.6614735075,17643.6194505673,16263.5033274395,15.8500341300123,20.3629472726464,19.3004848090061,"Lees Athas.Aval",NA,NA
"162","8.93","99.034000000000006","Lees Athas","aval","11-12",0.00335109580930987,0.212545839635885,17.58638671875,0.315,0.945,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,1,345,18.8,92.1308,NA,0,NA,0,100,32.1726,0.117795,29203.375668026,16807.3017302839,13657.2656047868,48.9270832764949,11.7939388556178,12.3643832730985,"Lees Athas.Aval",NA,NA
"163","1.48","55.331000000000003","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,1,340,18.9,276.042,94.5792,67.1662,90.3324,2.2311,30.5861,190.1,57.9804,18293.1737159291,23415.4615263741,15461.9644291243,9.27419982457288,164.8447050731,162.07322677449,"Cauterets.Aval",NA,NA
"164","7.1669999999999998","97.331000000000003","Lees Athas","aval","11-12",0.00310566091816516,0.209731456223106,17.543486328125,0.3,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,1,568,19.1,682.434,124.798,48.1019,124.348,8.34166,43.4898,286.786,80.786,35145.1148368624,21764.3424162403,19946.8658843148,37.5302189480593,15.0776137469344,16.6009539442352,"Lees Athas.Aval",NA,NA
"165","2.024","67.004999999999995","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,19.2,1489.71,105.065,54.2458,102.967,10.989,34.5654,807.68,119.835,24159.2116502786,28741.9697488077,23226.4100047527,17.3984197270787,102.075703996985,91.1942599927567,"Cauterets.Aval",NA,NA
"167","4.1360000000000001","76.319000000000003","Cauterets","aval","8",0.00962966889096234,0.291680553864626,17.41478515625,0.293,0.88,0,11.4102362337679,11.6161214084733,2.14666146294403e-05,0.0103269859140957,4168.23120004911,141.049241392326,2080.45210504329,103.682350123562,0.793869771878455,0.00219257997891457,0.836282830158507,18.8,NA,NA,18.8,4062.63,0.599421,96.7371,3.34677,2.91327,0.149825,2201.11,82.854,36018.4420889824,32388.8764126501,38586.2355552501,37.1857745627232,57.7262986833605,63.1732133245669,"Cauterets.Aval",7411.69006511187,348.304103746674
"168","16.622","119.652","Lees Athas","aval","9-10",NA,NA,NA,NA,NA,NA,16.6808381013186,12.6975849804909,2.99129557703703e-05,0.0117937407732484,7874.44366311981,154.038845535898,4218.56057025286,123.994666587143,0.654915095806203,0.00110121929322408,0.692764332297168,18.5,NA,NA,18.5,527.459,125.93,55.4853,125.281,1.89779,42.6169,469.059,37.109,19793.1402116624,13741.1812911058,10021.5880415023,15.5106227682463,8.44363755261353,8.73531536211349,"Lees Athas.Aval",12236.9712907275,487.323322926634
"169","13.534000000000001","113.83799999999999","Lees Athas","aval","9-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,1,255,18.5,389.191,0.499529,97.7193,225.238,2.1142,0,1960.53,39.5739,18650.5247085796,11146.5579285621,10713.8035430332,44.4793611197146,9.24866788182451,21.778729043855,"Lees Athas.Aval",NA,NA
"170","2.5609999999999999","68.692999999999998","Cauterets","aval","9-10",NA,NA,NA,NA,NA,NA,3.46392033949385,5.78230661782368,7.14920817813488e-06,0.0060717526548207,6157.5665025567,132.057552186199,3286.99524494122,96.4970061793006,0.688660015575705,0.0365639786857122,0.905854856827632,18.5,NA,NA,18.5,1202.5,165.94,38.8547,165.59,4.04528,56.9669,565.233,197.747,21547.5474365888,19754.0698882928,18871.1637674523,19.2913604590186,26.0991412220859,26.5672551700122,"Cauterets.Aval",8002.76441255605,365.657359762067
