"poisson" "fs" "frame" "dist"
11 "011_fs3" 2 75.2848110046257
11 "011_fs3" 3 81.6827435230546
11 "011_fs3" 4 90.536274143743
11 "011_fs3" 5 83.3997432690632
11 "011_fs3" 6 84.1863449882447
11 "011_fs3" 7 87.9023378300309
11 "011_fs3" 8 93.2325470240002
11 "011_fs3" 9 87.9171713268946
14 "014_fs1" 1 101.011317283575
14 "014_fs1" 2 96.2891980207843
14 "014_fs1" 3 98.3916909066466
14 "014_fs1" 4 101.164772178674
14 "014_fs1" 5 99.452717501981
14 "014_fs1" 6 110.258418272681
14 "014_fs1" 7 108.257186482388
14 "014_fs1" 8 108.828943633375
14 "014_fs2" 1 104.817272153521
14 "014_fs2" 2 94.5039930606035
14 "014_fs2" 3 99.095193907595
14 "014_fs2" 4 105.976299673301
14 "014_fs2" 5 93.730432457593
14 "014_fs2" 6 93.1615398532442
14 "014_fs2" 7 107.024020666836
14 "014_fs2" 8 111.123520805698
14 "014_fs3" 1 107.774139697652
14 "014_fs3" 2 81.3418001465208
14 "014_fs3" 3 105.412153581505
14 "014_fs3" 4 100.870567717565
14 "014_fs3" 5 88.3114457288969
14 "014_fs3" 6 101.300293937529
14 "014_fs3" 7 101.239936164207
14 "014_fs3" 8 106.40258082307
14 "014_fs3" 9 109.359939836393
14 "014_fs3" 10 109.953159528432
15 "015_fs1" 1 137.661335252368
15 "015_fs1" 2 127.498362688384
15 "015_fs1" 3 130.213596707997
15 "015_fs1" 4 141.204354740953
15 "015_fs1" 5 142.998800529776
15 "015_fs1" 6 144.50767373051
15 "015_fs1" 7 149.999204172066
15 "015_fs1" 8 136.092297692153
15 "015_fs1" 9 141.102533236567
15 "015_fs1" 10 148.988973726698
15 "015_fs1" 11 134.30069999556
15 "015_fs2" 1 142.019726808809
15 "015_fs2" 2 136.932743498361
15 "015_fs2" 3 136.012283768613
15 "015_fs2" 4 131.476709410293
15 "015_fs2" 5 137.572310244335
15 "015_fs2" 6 140.029995112987
15 "015_fs2" 7 134.819489978993
15 "015_fs2" 8 138.5563188723
15 "015_fs2" 9 134.47248046517
15 "015_fs2" 10 140.689711540641
15 "015_fs2" 11 141.905506557933
15 "015_fs2" 12 126.758765438893
16 "016_fs1" 1 170.498086244704
16 "016_fs1" 2 167.409849721181
16 "016_fs1" 3 164.06526377951
16 "016_fs1" 4 160.766669310737
16 "016_fs1" 5 165.61232026147
16 "016_fs1" 6 170.000308985579
16 "016_fs1" 7 172.022693685832
16 "016_fs1" 8 168.05170832249
16 "016_fs1" 9 168.710369857339
16 "016_fs1" 10 163.643052507358
16 "016_fs1" 11 168.099568575696
16 "016_fs1" 12 169.34483108245
16 "016_fs2" 1 174.688015106509
16 "016_fs2" 2 170.828727534078
16 "016_fs2" 3 156.648803537428
16 "016_fs2" 4 160.075942331806
16 "016_fs2" 5 169.333059343483
16 "016_fs2" 6 172.023942701906
16 "016_fs2" 7 161.769256104005
16 "016_fs2" 8 166.837400248802
16 "016_fs2" 9 166.326195545346
16 "016_fs2" 10 158.681479705983
16 "016_fs2" 11 163.208882451982
16 "016_fs2" 12 167.633267195006
16 "016_fs3" 1 172.774409075595
16 "016_fs3" 2 170.266606495539
16 "016_fs3" 3 169.922759388593
16 "016_fs3" 4 165.58577222204
16 "016_fs3" 5 166.973425899845
16 "016_fs3" 6 171.798694667905
16 "016_fs3" 7 171.122811302541
16 "016_fs3" 8 170.630935322504
16 "016_fs3" 9 167.569423040224
16 "016_fs3" 10 161.727989421025
16 "016_fs3" 11 164.0350078654
16 "016_fs3" 12 162.388157039232
16 "016_fs3" 13 162.304224717164
16 "016_fs3" 14 163.171172262113
16 "016_fs3" 15 165.063584946411
16 "016_fs3" 16 164.92850721415
16 "016_fs3" 17 166.078716543881
17 "017_fs1" 1 139.542300295188
17 "017_fs1" 2 136.178177957609
17 "017_fs1" 3 136.117875498414
17 "017_fs1" 4 142.848122770742
17 "017_fs1" 5 135.705945405606
17 "017_fs1" 6 141.569273927084
17 "017_fs1" 7 144.347231918211
17 "017_fs1" 8 137.927568470458
17 "017_fs1" 9 143.415799584262
17 "017_fs1" 10 145.523475761468
17 "017_fs1" 11 144.658001149896
17 "017_fs1" 12 144.355820925008
17 "017_fs1" 13 141.108058926564
17 "017_fs1" 14 144.061920008025
17 "017_fs1" 15 141.69480718925
17 "017_fs2" 1 140.945929129316
17 "017_fs2" 2 130.760517365735
17 "017_fs2" 3 132.213954127253
17 "017_fs2" 4 139.856159274285
17 "017_fs2" 5 140.502630940528
17 "017_fs2" 6 147.129270715844
17 "017_fs2" 7 140.780577685013
17 "017_fs2" 8 141.058246950562
17 "017_fs2" 9 142.765141506254
17 "017_fs2" 10 146.240175272648
17 "017_fs2" 11 138.159938656009
18 "018_fs1" 1 169.121746229044
18 "018_fs1" 2 166.914483070767
18 "018_fs1" 3 177.079192506914
18 "018_fs1" 4 176.762353041516
18 "018_fs1" 5 169.134194332209
18 "018_fs1" 6 180.601273346402
18 "018_fs1" 7 163.785567636775
18 "018_fs1" 8 169.526235538559
18 "018_fs1" 9 166.598219413523
18 "018_fs1" 10 167.237979521233
18 "018_fs1" 11 169.489657674132
18 "018_fs2" 1 164.01210129365
18 "018_fs2" 2 162.334973022773
18 "018_fs2" 3 148.614984220655
18 "018_fs2" 4 173.266017142767
18 "018_fs2" 5 178.091561626225
18 "018_fs2" 6 177.726965057689
18 "018_fs2" 7 166.550200895797
18 "018_fs2" 8 161.227948076448
18 "018_fs2" 9 146.187973831228
18 "018_fs2" 10 150.878742805892
18 "018_fs2" 11 163.600572278527
18 "018_fs2" 12 163.957164757112
18 "018_fs2" 13 165.358400259289
18 "018_fs2" 14 166.654904595135
18 "018_fs3" 1 163.822162769947
18 "018_fs3" 2 159.61960649796
18 "018_fs3" 3 169.398219912243
18 "018_fs3" 4 174.130290996683
18 "018_fs3" 5 145.05736022937
18 "018_fs3" 6 160.094348401335
18 "018_fs3" 7 138.132204021066
18 "018_fs3" 8 140.616304540268
18 "018_fs3" 9 141.051266125147
18 "018_fs3" 10 140.143990590674
18 "018_fs3" 11 153.567299258246
18 "018_fs3" 12 154.455167787737
18 "018_fs3" 13 156.25265010707
19 "019_fs1" 1 163.797196607956
19 "019_fs1" 2 154.844384850136
19 "019_fs1" 3 149.389871341249
19 "019_fs1" 4 170.990337820083
19 "019_fs1" 5 172.164016367963
19 "019_fs1" 6 188.412240066859
19 "019_fs1" 7 184.293269529928
19 "019_fs1" 8 188.563031193277
19 "019_fs1" 9 187.217019782785
19 "019_fs1" 10 191.174932130466
19 "019_fs1" 11 189.76416241701
19 "019_fs1" 12 184.559262937214
19 "019_fs1" 13 183.081560701931
19 "019_fs1" 14 179.581976736331
19 "019_fs2" 1 185.364697171861
19 "019_fs2" 2 180.464320859049
19 "019_fs2" 3 166.344794100889
19 "019_fs2" 4 177.081842180687
19 "019_fs2" 5 186.542915452612
19 "019_fs2" 6 191.604645622813
19 "019_fs2" 7 191.156987065527
19 "019_fs2" 8 181.271037316206
19 "019_fs2" 9 168.714056029095
19 "019_fs2" 10 174.087388299186
19 "019_fs2" 11 183.866071285456
19 "019_fs2" 12 193.665234918897
19 "019_fs3" 1 165.901148594797
19 "019_fs3" 2 159.226599823062
19 "019_fs3" 3 181.463120366169
19 "019_fs3" 4 189.435998345223
19 "019_fs3" 5 187.292375678384
19 "019_fs3" 6 194.301882189661
19 "019_fs3" 7 190.691065475023
19 "019_fs3" 8 184.681552126208
19 "019_fs3" 9 180.55596509755
19 "019_fs3" 10 182.561388937112
19 "019_fs3" 11 184.323295495798
20 "020_fs1" 1 148.894115235279
20 "020_fs1" 2 142.093677760594
20 "020_fs1" 3 142.111698358535
20 "020_fs1" 4 147.868315227387
20 "020_fs1" 5 146.135006046954
20 "020_fs1" 6 156.028252027448
20 "020_fs1" 7 171.233099445289
20 "020_fs1" 8 149.269288148096
20 "020_fs1" 9 143.615711975525
20 "020_fs1" 10 146.222615188618
20 "020_fs2" 1 154.126203552678
20 "020_fs2" 2 148.087478605267
20 "020_fs2" 3 154.377931789744
20 "020_fs2" 4 145.844137624292
20 "020_fs2" 5 155.918290992498
20 "020_fs2" 6 147.575289396626
20 "020_fs2" 7 145.560345949104
20 "020_fs2" 8 145.206361567344
20 "020_fs3" 1 147.044692735738
20 "020_fs3" 2 141.911357080479
20 "020_fs3" 3 134.969925666498
20 "020_fs3" 4 147.509239234207
20 "020_fs3" 5 156.167320788635
20 "020_fs3" 6 144.629929293747
