"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
2 "002_fs1" 1 1 104.14201183432 54.0005024425794 -143.355851887701 "segment_01_pts_1-27" NA 0 "amont"
2 "002_fs1" 2 1 104.480135249366 41.016563304794 -164.009078482479 "segment_01_pts_1-27" 20.6532265947782 20.6532265947782 "amont"
2 "002_fs1" 3 1 120.710059171598 7.20422180014478 142.12912702936 "segment_01_pts_1-27" -21.8799514531191 42.5331780478973 "amont"
2 "002_fs1" 4 1 128.351648351649 -3.2776040662965 149.029353767927 "segment_01_pts_1-27" 6.90022673856646 49.4334047864637 "amont"
2 "002_fs1" 5 1 137.616229923922 -12.9479337366261 148.042190051697 "segment_01_pts_1-27" -0.987163716229247 50.420568502693 "amont"
2 "002_fs1" 6 1 145.866441251057 -20.9276463317233 146.12885117317 "segment_01_pts_1-27" -1.91333887852772 52.3339073812207 "amont"
2 "002_fs1" 7 1 156.821639898563 -27.5548652666345 152.733814962869 "segment_01_pts_1-27" 6.60496378969933 58.93887117092 "amont"
2 "002_fs1" 8 1 161.89349112426 -32.0180943452481 154.52132033137 "segment_01_pts_1-27" 1.78750536850143 60.7263765394214 "amont"
2 "002_fs1" 9 1 171.631445477599 -37.2928196199735 152.599424515504 "segment_01_pts_1-27" -1.92189581586635 62.6482723552878 "amont"
2 "002_fs1" 10 1 180.760777683855 -42.2294214796523 154.47391428938 "segment_01_pts_1-27" 1.87448977387601 64.5227621291638 "amont"
2 "002_fs1" 11 1 187.99661876585 -47.368897388359 153.781178893459 "segment_01_pts_1-27" -0.692735395921147 65.2154975250849 "amont"
2 "002_fs1" 1 28 83.437561884194 38.5052587264462 -135.498792326159 "segment_02_pts_28-53" NA 0 "amont"
2 "002_fs1" 2 28 80.6787634937628 34.0280706818846 -144.699132859269 "segment_02_pts_28-53" 9.20034053310988 9.20034053310988 "amont"
2 "002_fs1" 3 28 99.778094079599 23.258663214832 167.912916521944 "segment_02_pts_28-53" 23.2137836626743 32.4141241957842 "amont"
2 "002_fs1" 4 28 107.210307496487 9.46211070080949 149.228558005714 "segment_02_pts_28-53" -18.6843585162293 51.0984827120135 "amont"
