"treatment" "poisson" "fs" "frame" "ratio"
"amont" "8" "008_fs1" "7" -36.2238568718782
"amont" "8" "008_fs1" "8" -31.2349594080849
"amont" "8" "008_fs1" "9" -34.9169979585915
"amont" "8" "008_fs1" "10" -41.1340883102571
"amont" "8" "008_fs1" "11" -39.6135935108871
"amont" "8" "008_fs1" "12" -40.1473270151486
"amont" "8" "008_fs2" "1" 19.9826551630031
"amont" "8" "008_fs2" "2" -0.759697235587225
"amont" "8" "008_fs2" "3" -62.7020458073991
"amont" "8" "008_fs2" "4" -74.2154208781639
"amont" "8" "008_fs2" "5" -15.1233953718169
"amont" "8" "008_fs2" "6" 42.0491404276684
"amont" "8" "008_fs2" "7" 48.720729564354
"amont" "8" "008_fs2" "8" 34.9766253309102
"amont" "8" "008_fs3" "1" 1.0396362086739
"amont" "8" "008_fs3" "2" -7.85427853235277
"amont" "8" "008_fs3" "3" -78.6228749072105
"amont" "8" "008_fs3" "4" -123.130244831246
"amont" "8" "008_fs3" "5" -111.435913096658
"amont" "8" "008_fs3" "6" -59.8156227118816
"amont" "8" "008_fs3" "7" 2.67906482868955
"amont" "8" "008_fs3" "8" 48.3449047848361
"amont" "8" "008_fs3" "9" 45.3303406503067
"amont" "8" "008_fs3" "10" 0.590080068138434
"aval" "11" "011_fs1" "1" -0.828812213896754
"aval" "11" "011_fs1" "2" -56.3772865993992
"aval" "11" "011_fs1" "3" -118.798856261754
"aval" "11" "011_fs1" "4" -45.35090345102
"aval" "11" "011_fs1" "5" 8.94166981954567
"aval" "11" "011_fs1" "6" 32.4232560648912
"aval" "11" "011_fs1" "7" 44.9277050995705
"aval" "11" "011_fs1" "8" 44.1845813235936
"aval" "11" "011_fs1" "9" 19.9207045269279
"aval" "11" "011_fs2" "1" -9.04867718942398
"aval" "11" "011_fs2" "2" -59.9362449035947
"aval" "11" "011_fs2" "3" -37.8252184906028
"aval" "11" "011_fs2" "4" 32.0072413291927
"aval" "11" "011_fs2" "5" 59.6585929757961
"aval" "11" "011_fs2" "6" 60.5962976087961
"aval" "11" "011_fs2" "7" 50.0200119271373
"aval" "11" "011_fs2" "8" 23.1343080565176
"aval" "11" "011_fs2" "9" 7.0254670366192
"aval" "11" "011_fs3" "1" 26.181042166593
"aval" "11" "011_fs3" "2" -59.3764632912595
"aval" "11" "011_fs3" "3" -47.101620837518
"aval" "11" "011_fs3" "4" -4.93532852414305
"aval" "11" "011_fs3" "5" 42.1954593306367
"aval" "11" "011_fs3" "6" 49.7723786255536
"aval" "11" "011_fs3" "7" 54.8821419841175
"aval" "11" "011_fs3" "8" 49.6977092325891
"aval" "11" "011_fs3" "9" 39.3128670046092
"aval" "14" "014_fs1" "1" 7.13474257039601
"aval" "14" "014_fs1" "2" 27.3684009595118
"aval" "14" "014_fs1" "3" 84.4021299662624
"aval" "14" "014_fs1" "4" 89.8775268008853
"aval" "14" "014_fs1" "5" -7.56588290105594
"aval" "14" "014_fs1" "6" -53.5112799499293
"aval" "14" "014_fs1" "7" -36.8664624079364
"aval" "14" "014_fs1" "8" -16.7466520951109
"aval" "14" "014_fs2" "1" 10.4861523835164
"aval" "14" "014_fs2" "2" -26.469544675432
"aval" "14" "014_fs2" "3" -91.8057452994107
"aval" "14" "014_fs2" "4" -50.8402711188824
"aval" "14" "014_fs2" "5" 29.7177334250337
"aval" "14" "014_fs2" "6" 38.2588857336224
"aval" "14" "014_fs2" "7" 50.5914143655242
"aval" "14" "014_fs2" "8" 47.9010320821106
"aval" "14" "014_fs3" "1" -17.593391560983
"aval" "14" "014_fs3" "2" -50.0784859237994
"aval" "14" "014_fs3" "3" -88.7765766080273
"aval" "14" "014_fs3" "4" -66.2323391261582
"aval" "14" "014_fs3" "5" 9.86983915009182
"aval" "14" "014_fs3" "6" 24.4409558201168
"aval" "14" "014_fs3" "7" 28.7867521588836
"aval" "14" "014_fs3" "8" 26.6698947769501
"aval" "14" "014_fs3" "9" 27.0914888231561
"aval" "14" "014_fs3" "10" 18.3117483113727
"aval" "15" "015_fs1" "1" 1.38120668892418
"aval" "15" "015_fs1" "2" -8.75150949151643
"aval" "15" "015_fs1" "3" -66.115813644353
"aval" "15" "015_fs1" "4" -109.81016486782
"aval" "15" "015_fs1" "5" -44.2931396827343
"aval" "15" "015_fs1" "6" 25.1895387225628
"aval" "15" "015_fs1" "7" 32.0117155927439
"aval" "15" "015_fs1" "8" -13.7156144070949
"aval" "15" "015_fs1" "9" 17.3772181471228
"aval" "15" "015_fs1" "10" 37.7512063975406
"aval" "15" "015_fs1" "11" -6.4825467793724
