"traitement" "poisson" "fs" "time" "d_travelled_cm" "dt" "speed" "accel"
"amont" 2 "002_fs1" 8.3 0 NA NA NA
"amont" 2 "002_fs1" 16.6 0.189599266059921 8.3 0.0228432850674604 NA
"amont" 2 "002_fs1" 24.9 0.988176827260307 8.3 0.119057449067507 0.0115920679518128
"amont" 2 "002_fs1" 33.2 0.775967541250613 8.3 0.0934900652109172 -0.00308040769356502
"amont" 2 "002_fs1" 41.5 0.433182850147614 8.3 0.0521907048370619 -0.0049758265510669
"amont" 2 "002_fs1" 49.8 0.503219043159586 8.3 0.0606288003806731 0.00101663801730255
"amont" 2 "002_fs1" 58.1 1.1363661798333 8.3 0.136911587931723 0.00919069729530721
"amont" 2 "002_fs1" 66.4 0.673354670192103 8.3 0.0811270686978437 -0.00672102641372039
"amont" 2 "002_fs1" 74.7 0.334220845057098 8.3 0.0402675716936263 -0.00492283096436354
"amont" 2 "002_fs1" 83 0.425623661460888 8.3 0.0512799592121552 0.00132679367693119
"amont" 2 "002_fs1" 91.3 0.595635774758767 8.30000000000001 0.0717633463564778 0.0024678779691955
"amont" 2 "002_fs2" 8.3 0 NA NA NA
"amont" 2 "002_fs2" 16.6 0.395562400272035 8.3 0.047658120514703 NA
"amont" 2 "002_fs2" 24.9 0.928178651077648 8.3 0.111828753141885 0.00773140152134727
"amont" 2 "002_fs2" 33.2 0.839289745077842 8.3 0.101119246394921 -0.00129030201770659
"amont" 2 "002_fs2" 41.5 0.709004819258882 8.3 0.0854222673805882 -0.00189120229088343
"amont" 2 "002_fs2" 49.8 0.466965393569997 8.3 0.0562608907915659 -0.00351341886614726
"amont" 2 "002_fs2" 58.1 1.21047987948123 8.3 0.145840949335087 0.0107927781377737
"amont" 2 "002_fs2" 66.4 0.679398378953049 8.3 0.0818552263798854 -0.0077091232476147
"amont" 2 "002_fs2" 74.7 1.02166290127457 8.3 0.123091915816213 0.00496827583570209
"amont" 2 "002_fs2" 83 0.8360723268671 8.3 0.100731605646639 -0.00269401327344266
"amont" 2 "002_fs2" 91.3 0.791338834288497 8.30000000000001 0.0953420282275296 -0.000649346677001086
"amont" 2 "002_fs2" 99.6 0.565471314499416 8.29999999999998 0.0681290740360744 -0.00327866917969341
"amont" 2 "002_fs2" 107.9 0.437524925150639 8.3 0.0527138464036914 -0.00185725634125096
"amont" 2 "002_fs2" 116.2 0.578037701122847 8.30000000000001 0.0696430965208249 0.00203966868881126
"amont" 3 "003_fs1" 8.3 0 NA NA NA
"amont" 3 "003_fs1" 16.6 0.279033502476961 8.3 0.0336184942743327 NA
"amont" 3 "003_fs1" 24.9 0.946311245615201 8.3 0.114013403086169 0.00968613359178749
"amont" 3 "003_fs1" 33.2 0.56167713072451 8.3 0.0676719434607844 -0.00558330838860054
"amont" 3 "003_fs1" 41.5 1.09928010716105 8.3 0.132443386404946 0.00780378830652549
"amont" 3 "003_fs1" 49.8 1.4469008740648 8.3 0.174325406513832 0.00504602651914286
"amont" 3 "003_fs1" 58.1 0.982957841003988 8.3 0.118428655542649 -0.00673454830978102
"amont" 3 "003_fs1" 66.4 1.24981100888278 8.3 0.150579639624432 0.00387361253997379
"amont" 3 "003_fs1" 74.7 1.42485766259064 8.3 0.171669597902487 0.00254095882868135
"amont" 3 "003_fs1" 83 1.30902290461863 8.3 0.157713602966099 -0.00168144517305871
"amont" 3 "003_fs1" 91.3 1.35393003681996 8.30000000000001 0.163124100821682 0.000651867211515937
"amont" 3 "003_fs1" 99.6 1.31877177004602 8.29999999999998 0.158888165065786 -0.000510353705529617
"amont" 3 "003_fs2" 8.3 0 NA NA NA
"amont" 3 "003_fs2" 16.6 0.16351582796528 8.3 0.0197007021644915 NA
"amont" 3 "003_fs2" 24.9 0.610324759138689 8.3 0.0735331035106855 0.00648583148749325
"amont" 3 "003_fs2" 33.2 0.901118387645911 8.3 0.108568480439266 0.00422112975043143
"amont" 3 "003_fs2" 41.5 0.496959264913858 8.3 0.0598746102305853 -0.0058667313504435
"amont" 3 "003_fs2" 49.8 0.740782403324391 8.3 0.0892508919667941 0.00353931105255527
"amont" 3 "003_fs2" 58.1 1.16411563104233 8.3 0.140254895306305 0.00614506064331457
"amont" 3 "003_fs2" 66.4 0.880245260437308 8.3 0.10605364583582 -0.00412063246632348
"amont" 3 "003_fs2" 74.7 0.776312341278498 8.3 0.0935316073829516 -0.00150867933167091
"amont" 4 "004_fs1" 8.3 0 NA NA NA
"amont" 4 "004_fs1" 16.6 0.0781842178145011 8.3 0.00941978527885555 NA
"amont" 4 "004_fs1" 24.9 0.477888536344025 8.3 0.0575769320896416 0.0058020658808176
"amont" 4 "004_fs1" 33.2 0.691250111650183 8.3 0.0832831459819497 0.00309713420389254
"amont" 4 "004_fs1" 41.5 0.65424220835893 8.3 0.0788243624528832 -0.000537202834827292
"amont" 4 "004_fs1" 49.8 1.35745689536999 8.3 0.163549023538554 0.0102077904922495
"amont" 4 "004_fs1" 58.1 0.75898494303869 8.3 0.091443969040806 -0.00868735596358404
"amont" 4 "004_fs1" 66.4 0.680932754925761 8.3 0.0820400909549109 -0.0011329973597464
"amont" 4 "004_fs1" 74.7 0.548051763376647 8.3 0.0660303329369454 -0.00192888650818861
"amont" 4 "004_fs1" 83 0.553449452486579 8.3 0.0666806569260939 7.83522878492144e-05
"amont" 4 "004_fs1" 91.3 0.464957406443501 8.30000000000001 0.056018964631747 -0.00128454124028276
"amont" 4 "004_fs1" 99.6 0.367696748774428 8.29999999999998 0.0443008131053529 -0.00141182548510773
"amont" 4 "004_fs1" 107.9 0.361779084165769 8.3 0.0435878414657553 -8.59001975418716e-05
"amont" 4 "004_fs1" 116.2 0.388117759965369 8.30000000000001 0.046761175899442 0.000382329449841761
"amont" 4 "004_fs1" 124.5 0.337922307960384 8.3 0.0407135310795643 -0.000728631906009355
