 ,Image,X (cm),Y (cm)
1,206_fs1-00001.jpg,492.250,169.750
2,206_fs1-00001.jpg,491.697,169.750
3,206_fs1-00001.jpg,491.143,169.750
4,206_fs1-00001.jpg,490.590,169.750
5,206_fs1-00001.jpg,490.036,169.750
6,206_fs1-00001.jpg,489.483,169.750
7,206_fs1-00001.jpg,488.930,169.750
8,206_fs1-00001.jpg,488.376,169.750
9,206_fs1-00001.jpg,487.823,169.750
10,206_fs1-00001.jpg,487.269,169.750
11,206_fs1-00001.jpg,486.716,169.750
12,206_fs1-00001.jpg,486.163,169.750
13,206_fs1-00001.jpg,485.609,169.750
14,206_fs1-00001.jpg,485.056,169.750
15,206_fs1-00001.jpg,484.502,169.750
16,206_fs1-00001.jpg,483.949,169.750
17,206_fs1-00001.jpg,483.396,169.750
18,206_fs1-00001.jpg,482.842,169.750
19,206_fs1-00001.jpg,482.289,169.750
20,206_fs1-00001.jpg,481.735,169.750
21,206_fs1-00001.jpg,481.182,169.750
22,206_fs1-00001.jpg,480.629,169.750
23,206_fs1-00001.jpg,480.075,169.750
24,206_fs1-00001.jpg,479.557,169.557
25,206_fs1-00001.jpg,479.006,169.500
26,206_fs1-00001.jpg,478.453,169.484
27,206_fs1-00001.jpg,477.928,169.309
28,206_fs1-00001.jpg,477.469,169.000
29,206_fs1-00001.jpg,476.916,169.000
30,206_fs1-00001.jpg,476.362,169.000
31,206_fs1-00001.jpg,475.869,168.750
32,206_fs1-00001.jpg,475.315,168.750
33,206_fs1-00001.jpg,474.762,168.750
34,206_fs1-00001.jpg,474.268,168.500
35,206_fs1-00001.jpg,473.722,168.408
36,206_fs1-00001.jpg,473.192,168.250
37,206_fs1-00001.jpg,472.639,168.250
38,206_fs1-00001.jpg,472.105,168.105
39,206_fs1-00001.jpg,471.561,168.000
40,206_fs1-00001.jpg,471.008,168.000
41,206_fs1-00001.jpg,470.454,168.000
42,206_fs1-00001.jpg,469.901,168.000
43,206_fs1-00001.jpg,469.348,168.000
44,206_fs1-00001.jpg,468.835,167.792
45,206_fs1-00001.jpg,468.283,167.750
46,206_fs1-00001.jpg,467.781,167.516
47,206_fs1-00001.jpg,467.228,167.500
48,206_fs1-00001.jpg,466.675,167.500
49,206_fs1-00001.jpg,466.122,167.500
50,206_fs1-00001.jpg,465.568,167.500
51,206_fs1-00001.jpg,465.027,167.382
52,206_fs1-00001.jpg,464.490,167.250
53,206_fs1-00001.jpg,463.937,167.250
54,206_fs1-00001.jpg,463.383,167.250
55,206_fs1-00001.jpg,462.830,167.250
56,206_fs1-00001.jpg,462.276,167.250
57,206_fs1-00001.jpg,461.723,167.250
58,206_fs1-00001.jpg,461.170,167.250
59,206_fs1-00001.jpg,460.616,167.250
60,206_fs1-00001.jpg,460.063,167.250
61,206_fs1-00001.jpg,459.509,167.250
62,206_fs1-00001.jpg,458.956,167.250
63,206_fs1-00001.jpg,458.403,167.250
64,206_fs1-00001.jpg,457.849,167.250
65,206_fs1-00001.jpg,457.296,167.250
66,206_fs1-00001.jpg,456.742,167.250
67,206_fs1-00001.jpg,456.189,167.250
68,206_fs1-00001.jpg,455.636,167.222
69,206_fs1-00001.jpg,455.099,167.087
70,206_fs1-00001.jpg,454.553,167.000
71,206_fs1-00001.jpg,454.000,167.000
72,206_fs1-00001.jpg,453.505,166.752
73,206_fs1-00001.jpg,452.952,166.726
74,206_fs1-00001.jpg,452.447,166.500
75,206_fs1-00001.jpg,451.893,166.500
76,206_fs1-00001.jpg,451.340,166.500
77,206_fs1-00001.jpg,450.786,166.500
78,206_fs1-00001.jpg,450.284,166.267
79,206_fs1-00001.jpg,449.732,166.241
80,206_fs1-00001.jpg,449.233,166.000
81,206_fs1-00001.jpg,448.680,166.000
82,206_fs1-00001.jpg,448.127,166.000
83,206_fs1-00001.jpg,447.590,165.863
84,206_fs1-00001.jpg,447.049,165.750
85,206_fs1-00001.jpg,446.495,165.750
86,206_fs1-00001.jpg,445.942,165.750
87,206_fs1-00001.jpg,445.388,165.750
88,206_fs1-00001.jpg,444.835,165.750
89,206_fs1-00001.jpg,444.292,165.646
90,206_fs1-00001.jpg,443.783,165.428
91,206_fs1-00001.jpg,443.258,165.253
92,206_fs1-00001.jpg,442.762,165.006
93,206_fs1-00001.jpg,442.209,165.000
94,206_fs1-00001.jpg,441.656,165.000
95,206_fs1-00001.jpg,441.117,164.872
96,206_fs1-00001.jpg,440.600,164.675
97,206_fs1-00001.jpg,440.075,164.500
98,206_fs1-00001.jpg,439.522,164.500
99,206_fs1-00001.jpg,438.985,164.367
100,206_fs1-00001.jpg,438.472,164.157
101,206_fs1-00001.jpg,437.942,164.000
102,206_fs1-00001.jpg,437.415,163.832
103,206_fs1-00001.jpg,436.867,163.750
104,206_fs1-00001.jpg,436.351,163.551
105,206_fs1-00001.jpg,435.831,163.360
106,206_fs1-00001.jpg,435.346,163.096
107,206_fs1-00001.jpg,434.800,163.000
108,206_fs1-00001.jpg,434.296,162.773
109,206_fs1-00001.jpg,433.801,162.525
110,206_fs1-00001.jpg,433.248,162.500
111,206_fs1-00001.jpg,432.713,162.357
112,206_fs1-00001.jpg,432.272,162.022
113,206_fs1-00001.jpg,431.719,162.000
114,206_fs1-00001.jpg,431.226,161.750
115,206_fs1-00001.jpg,430.694,161.597
116,206_fs1-00001.jpg,430.149,161.500
117,206_fs1-00001.jpg,429.601,161.425
118,206_fs1-00001.jpg,429.106,161.178
119,206_fs1-00001.jpg,428.582,161.000
120,206_fs1-00001.jpg,428.061,160.811
121,206_fs1-00001.jpg,427.512,160.750
122,206_fs1-00001.jpg,426.958,160.750
123,206_fs1-00001.jpg,426.407,160.703
124,206_fs1-00001.jpg,425.892,160.500
125,206_fs1-00001.jpg,425.339,160.500
126,206_fs1-00001.jpg,424.785,160.500
127,206_fs1-00001.jpg,424.232,160.482
128,206_fs1-00001.jpg,423.730,160.250
129,206_fs1-00001.jpg,423.176,160.250
130,206_fs1-00001.jpg,422.623,160.250
131,206_fs1-00001.jpg,422.069,160.250
132,206_fs1-00001.jpg,421.516,160.250
133,206_fs1-00001.jpg,420.963,160.250
134,206_fs1-00001.jpg,420.409,160.250
135,206_fs1-00001.jpg,419.856,160.250
136,206_fs1-00001.jpg,419.302,160.250
137,206_fs1-00001.jpg,418.749,160.250
138,206_fs1-00001.jpg,418.196,160.250
139,206_fs1-00001.jpg,417.642,160.250
140,206_fs1-00001.jpg,417.089,160.250
141,206_fs1-00001.jpg,416.535,160.250
142,206_fs1-00001.jpg,415.982,160.250
143,206_fs1-00001.jpg,415.429,160.250
144,206_fs1-00001.jpg,414.875,160.250
145,206_fs1-00001.jpg,414.322,160.250
146,206_fs1-00001.jpg,413.768,160.250
147,206_fs1-00001.jpg,413.215,160.250
148,206_fs1-00001.jpg,412.662,160.250
149,206_fs1-00001.jpg,412.108,160.250
150,206_fs1-00001.jpg,411.555,160.250
151,206_fs1-00001.jpg,411.001,160.250
152,206_fs1-00001.jpg,410.448,160.250
153,206_fs1-00001.jpg,409.895,160.250
154,206_fs1-00001.jpg,409.341,160.250
155,206_fs1-00001.jpg,408.788,160.250
156,206_fs1-00001.jpg,408.234,160.250
157,206_fs1-00001.jpg,407.681,160.250
158,206_fs1-00001.jpg,407.128,160.250
159,206_fs1-00001.jpg,406.574,160.250
160,206_fs1-00001.jpg,406.021,160.250
161,206_fs1-00001.jpg,405.564,160.562
162,206_fs1-00001.jpg,405.039,160.737
163,206_fs1-00001.jpg,404.486,160.757
164,206_fs1-00001.jpg,403.992,161.008
165,206_fs1-00001.jpg,403.500,161.260
166,206_fs1-00001.jpg,403.001,161.500
167,206_fs1-00001.jpg,402.753,161.994
168,206_fs1-00001.jpg,402.219,162.141
169,206_fs1-00001.jpg,401.750,162.434
170,206_fs1-00001.jpg,401.295,162.750
171,206_fs1-00001.jpg,401.000,163.218
172,206_fs1-00001.jpg,400.452,163.298
173,206_fs1-00001.jpg,399.957,163.543
174,206_fs1-00001.jpg,399.461,163.789
175,206_fs1-00001.jpg,399.015,164.117
176,206_fs1-00001.jpg,398.500,164.320
177,206_fs1-00001.jpg,398.152,164.750
178,206_fs1-00001.jpg,397.658,165.000
179,206_fs1-00001.jpg,397.120,165.130
180,206_fs1-00001.jpg,396.580,165.250
181,206_fs1-00001.jpg,396.087,165.500
182,206_fs1-00001.jpg,395.593,165.750
183,206_fs1-00001.jpg,395.099,166.000
184,206_fs1-00001.jpg,394.605,166.250
185,206_fs1-00001.jpg,394.079,166.421
186,206_fs1-00001.jpg,393.583,166.667
187,206_fs1-00001.jpg,393.142,167.000
188,206_fs1-00001.jpg,392.588,167.000
189,206_fs1-00001.jpg,392.094,167.250
190,206_fs1-00001.jpg,391.601,167.500
191,206_fs1-00001.jpg,391.047,167.500
192,206_fs1-00001.jpg,390.543,167.728
193,206_fs1-00001.jpg,390.061,168.000
194,206_fs1-00001.jpg,389.546,168.204
195,206_fs1-00002.jpg,492.750,168.500
196,206_fs1-00002.jpg,492.201,168.500
197,206_fs1-00002.jpg,491.652,168.500
198,206_fs1-00002.jpg,491.102,168.500
199,206_fs1-00002.jpg,490.553,168.500
200,206_fs1-00002.jpg,490.004,168.500
201,206_fs1-00002.jpg,489.455,168.500
202,206_fs1-00002.jpg,488.906,168.500
203,206_fs1-00002.jpg,488.356,168.500
204,206_fs1-00002.jpg,487.807,168.500
205,206_fs1-00002.jpg,487.258,168.500
206,206_fs1-00002.jpg,486.709,168.500
207,206_fs1-00002.jpg,486.160,168.500
208,206_fs1-00002.jpg,485.610,168.500
209,206_fs1-00002.jpg,485.061,168.500
210,206_fs1-00002.jpg,484.512,168.500
211,206_fs1-00002.jpg,483.963,168.500
212,206_fs1-00002.jpg,483.414,168.500
213,206_fs1-00002.jpg,482.864,168.500
214,206_fs1-00002.jpg,482.315,168.500
215,206_fs1-00002.jpg,481.766,168.500
216,206_fs1-00002.jpg,481.272,168.261
217,206_fs1-00002.jpg,480.723,168.250
218,206_fs1-00002.jpg,480.178,168.178
219,206_fs1-00002.jpg,479.659,168.000
220,206_fs1-00002.jpg,479.124,167.874
221,206_fs1-00002.jpg,478.660,167.580
222,206_fs1-00002.jpg,478.117,167.500
223,206_fs1-00002.jpg,477.568,167.500
224,206_fs1-00002.jpg,477.018,167.500
225,206_fs1-00002.jpg,476.469,167.500
226,206_fs1-00002.jpg,475.920,167.500
227,206_fs1-00002.jpg,475.371,167.500
228,206_fs1-00002.jpg,474.822,167.500
229,206_fs1-00002.jpg,474.272,167.500
230,206_fs1-00002.jpg,473.723,167.500
231,206_fs1-00002.jpg,473.174,167.500
232,206_fs1-00002.jpg,472.625,167.500
233,206_fs1-00002.jpg,472.076,167.500
234,206_fs1-00002.jpg,471.560,167.310
235,206_fs1-00002.jpg,471.014,167.250
236,206_fs1-00002.jpg,470.465,167.250
237,206_fs1-00002.jpg,469.916,167.250
238,206_fs1-00002.jpg,469.367,167.250
239,206_fs1-00002.jpg,468.817,167.250
240,206_fs1-00002.jpg,468.268,167.250
241,206_fs1-00002.jpg,467.719,167.250
242,206_fs1-00002.jpg,467.170,167.250
243,206_fs1-00002.jpg,466.621,167.250
244,206_fs1-00002.jpg,466.071,167.250
245,206_fs1-00002.jpg,465.522,167.250
246,206_fs1-00002.jpg,465.027,167.013
247,206_fs1-00002.jpg,464.478,167.000
248,206_fs1-00002.jpg,463.928,167.000
249,206_fs1-00002.jpg,463.379,167.000
250,206_fs1-00002.jpg,462.830,167.000
251,206_fs1-00002.jpg,462.281,167.000
252,206_fs1-00002.jpg,461.732,167.000
253,206_fs1-00002.jpg,461.182,167.000
254,206_fs1-00002.jpg,460.633,167.000
255,206_fs1-00002.jpg,460.084,167.000
256,206_fs1-00002.jpg,459.535,167.000
257,206_fs1-00002.jpg,458.986,167.000
258,206_fs1-00002.jpg,458.436,167.000
259,206_fs1-00002.jpg,457.887,167.000
260,206_fs1-00002.jpg,457.338,167.000
261,206_fs1-00002.jpg,456.789,167.000
262,206_fs1-00002.jpg,456.240,167.000
263,206_fs1-00002.jpg,455.690,167.000
264,206_fs1-00002.jpg,455.141,167.000
265,206_fs1-00002.jpg,454.592,167.000
266,206_fs1-00002.jpg,454.043,167.000
267,206_fs1-00002.jpg,453.494,167.000
268,206_fs1-00002.jpg,452.944,167.000
269,206_fs1-00002.jpg,452.395,167.000
270,206_fs1-00002.jpg,451.846,167.000
271,206_fs1-00002.jpg,451.297,167.000
272,206_fs1-00002.jpg,450.748,167.000
273,206_fs1-00002.jpg,450.201,166.951
274,206_fs1-00002.jpg,449.689,166.750
275,206_fs1-00002.jpg,449.140,166.750
276,206_fs1-00002.jpg,448.591,166.750
277,206_fs1-00002.jpg,448.102,166.500
278,206_fs1-00002.jpg,447.613,166.250
279,206_fs1-00002.jpg,447.088,166.088
280,206_fs1-00002.jpg,446.616,165.808
281,206_fs1-00002.jpg,446.105,165.605
282,206_fs1-00002.jpg,445.613,165.363
283,206_fs1-00002.jpg,445.075,165.250
284,206_fs1-00002.jpg,444.560,165.060
285,206_fs1-00002.jpg,444.107,164.750
286,206_fs1-00002.jpg,443.583,164.583
287,206_fs1-00002.jpg,443.147,164.250
288,206_fs1-00002.jpg,442.598,164.250
289,206_fs1-00002.jpg,442.109,164.000
290,206_fs1-00002.jpg,441.559,164.000
291,206_fs1-00002.jpg,441.070,163.750
292,206_fs1-00002.jpg,440.581,163.500
293,206_fs1-00002.jpg,440.032,163.500
294,206_fs1-00002.jpg,439.543,163.250
295,206_fs1-00002.jpg,439.054,163.000
296,206_fs1-00002.jpg,438.553,162.776
297,206_fs1-00002.jpg,438.052,162.552
298,206_fs1-00002.jpg,437.593,162.250
299,206_fs1-00002.jpg,437.043,162.250
300,206_fs1-00002.jpg,436.634,161.884
301,206_fs1-00002.jpg,436.101,161.750
302,206_fs1-00002.jpg,435.612,161.500
303,206_fs1-00002.jpg,435.152,161.201
304,206_fs1-00002.jpg,434.641,161.000
305,206_fs1-00002.jpg,434.124,160.812
306,206_fs1-00002.jpg,433.633,160.567
307,206_fs1-00002.jpg,433.202,160.226
308,206_fs1-00002.jpg,432.718,159.968
309,206_fs1-00002.jpg,432.214,159.750
310,206_fs1-00002.jpg,431.687,159.594
311,206_fs1-00002.jpg,431.146,159.500
312,206_fs1-00002.jpg,430.692,159.192
313,206_fs1-00002.jpg,430.177,159.000
314,206_fs1-00002.jpg,429.655,158.828
315,206_fs1-00002.jpg,429.112,158.750
316,206_fs1-00002.jpg,428.581,158.610
317,206_fs1-00002.jpg,428.043,158.500
318,206_fs1-00002.jpg,427.493,158.500
319,206_fs1-00002.jpg,426.953,158.401
320,206_fs1-00002.jpg,426.425,158.250
321,206_fs1-00002.jpg,425.876,158.250
322,206_fs1-00002.jpg,425.327,158.250
323,206_fs1-00002.jpg,424.777,158.250
324,206_fs1-00002.jpg,424.232,158.183
325,206_fs1-00002.jpg,423.700,158.050
326,206_fs1-00002.jpg,423.153,158.000
327,206_fs1-00002.jpg,422.618,157.873
328,206_fs1-00002.jpg,422.083,157.750
329,206_fs1-00002.jpg,421.538,157.679
330,206_fs1-00002.jpg,421.017,157.506
331,206_fs1-00002.jpg,420.468,157.500
332,206_fs1-00002.jpg,419.919,157.500
333,206_fs1-00002.jpg,419.370,157.500
334,206_fs1-00002.jpg,418.821,157.500
335,206_fs1-00002.jpg,418.271,157.500
336,206_fs1-00002.jpg,417.722,157.500
337,206_fs1-00002.jpg,417.173,157.500
338,206_fs1-00002.jpg,416.624,157.500
339,206_fs1-00002.jpg,416.092,157.364
340,206_fs1-00002.jpg,415.555,157.250
341,206_fs1-00002.jpg,415.005,157.250
342,206_fs1-00002.jpg,414.456,157.250
343,206_fs1-00002.jpg,413.907,157.250
344,206_fs1-00002.jpg,413.358,157.250
345,206_fs1-00002.jpg,412.834,157.416
346,206_fs1-00002.jpg,412.291,157.500
347,206_fs1-00002.jpg,411.742,157.500
348,206_fs1-00002.jpg,411.212,157.644
349,206_fs1-00002.jpg,410.681,157.784
350,206_fs1-00002.jpg,410.176,158.000
351,206_fs1-00002.jpg,409.630,158.060
352,206_fs1-00002.jpg,409.159,158.341
353,206_fs1-00002.jpg,408.633,158.500
354,206_fs1-00002.jpg,408.144,158.750
355,206_fs1-00002.jpg,407.655,159.000
356,206_fs1-00002.jpg,407.166,159.250
357,206_fs1-00002.jpg,406.677,159.500
358,206_fs1-00002.jpg,406.139,159.611
359,206_fs1-00002.jpg,405.751,160.000
360,206_fs1-00002.jpg,405.260,160.245
361,206_fs1-00002.jpg,404.766,160.484
362,206_fs1-00002.jpg,404.285,160.750
363,206_fs1-00002.jpg,403.796,161.000
364,206_fs1-00002.jpg,403.344,161.312
365,206_fs1-00002.jpg,402.828,161.500
