1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,
76.8215272778013,-38.58332246288205,71.88492541812263,-35.3373376784358,52.61189076047248,-28.37199532847802,39.425077573659394,-23.16489473676205,27.590758047032068,-26.140380789171218,24.682896677632243,-31.68560479593367,20.422541648046433,-36.89270538764964,16.297435984479307,-42.84367749246786,15.756438520404913,-47.4421559371001,16.906058131563043,-52.17588374775113,19.813919500962868,-55.75999194724386,21.301662527167423,-59.54697419576445,22.38365745531604,-62.995833029238895,25.877599410796563,-66.73773215575324,27.478050242016593,-69.21730386609426,29.61949853731113,-71.92229118646623,31.51298966157134,-73.41003421267067,34.42085103097128,-75.50639938595901,36.0438434231944,-77.53513987623813,37.8697098644455,-78.1437620233217,40.3041984527801,-79.69912973253543,41.656692112966255,-79.09050758545192
76.89263319030067,-37.810950118607536,72.15471310401813,-34.619706059841405,53.287995585742465,-27.861708254989423,40.03597507857887,-22.567624174253353,28.177521219879964,-25.673672023815982,25.04597266446143,-31.079042174412507,20.69352149513304,-36.24250658783046,16.51084515250085,-42.214826106058865,15.785678177260138,-46.75677576281163,16.907313027048303,-51.44964397369455,19.597502494120363,-55.05142774678848,21.11842306621253,-58.810874000446006,22.244638200923248,-62.260310997794534,25.684415535155495,-65.97854124414027,27.23976654569617,-68.48546054451145,29.395711050747764,-71.20629097348933,31.34621562136084,-72.65399531323624,34.158999548003294,-74.83668976795485,35.76688025801343,-76.86674841184254,37.61458625459193,-77.44889447080914,40.09488678421752,-79.01085508402076,41.44789616116583,-78.38490561765184
76.96435994689875,-37.03898390032265,72.42318934284663,-33.901662448063405,53.96109186545203,-27.356132091466407,40.6502208227854,-21.988067686494503,28.768075043508418,-25.199580672238426,25.4157952773283,-30.468378762811255,20.970906531809874,-35.5892200648737,16.727951876797647,-41.57842629138173,15.822977273941717,-46.06572023844495,16.91102428665971,-50.723384240635994,19.384805291511896,-54.34086787813038,20.93724763498591,-58.07489545867611,22.105250950371612,-61.52680388507764,25.488188743297712,-65.22251967914588,27.000928959603755,-67.75330450251863,29.170810991435587,-70.49003087375752,31.17494260048153,-71.90139157644046,33.89576984542174,-74.16544704764152,35.48915290684408,-76.19540949334959,37.357162930005586,-76.75365177312057,39.881873101143526,-78.32198234779793,41.23470189137464,-77.68038325473054
77.03670247011524,-36.26741435470791,72.69029626657971,-33.183203220421944,54.631188783585685,-26.855019919555332,41.267802228774826,-21.425766010947882,29.362387387789454,-24.718625821316095,25.792261581531363,-29.854016052004,21.254596502057836,-34.93312931743162,16.94869439381398,-40.93485576347018,15.867991236863531,-45.36931374807273,16.91711177013093,-49.99711940149854,19.176284314423867,-53.62837814408397,20.75831453029292,-57.33901080869862,21.965500076647004,-60.79523189531312,25.28898443131726,-64.4695400142586,26.761543790615804,-67.02085728031534,28.944798543515446,-69.7735333717842,30.999240798859546,-71.15215967465326,33.63116959882342,-73.49274624171386,35.21066027268279,-75.52126715414323,37.097451413348324,-76.05808201074359,39.66519895600942,-77.63257609145694,41.01716525775191,-76.97696975641753
77.1096556824699,-35.496232028443785,72.95597600718907,-32.46432475423683,55.29829552412798,-26.358124820902447,41.88870671904306,-20.880259885075645,29.96042612259521,-24.231326557926536,26.17526864236919,-29.23635553286482,21.544491149858004,-34.27451784415638,17.173010939994015,-40.284492237357824,15.920375492439575,-44.667880675767435,16.925495337195457,-49.27086430920514,18.972395984142793,-52.91402434746345,20.581802048938755,-56.60319228875733,21.82538995273535,-60.065515232726,25.086867995308182,-63.71947480296717,26.521617345609116,-66.28814041810114,28.717673891128413,-69.05682095208289,30.819180416421148,-70.40623628024474,33.36520648380508,-72.81866236686653,34.931401258525966,-74.84446542760759,36.83546322728205,-75.36223326416575,39.44490590126668,-76.94270088258764,40.79534221445681,-76.27469438244225
77.18321450648239,-34.72542746821085,73.22017069664628,-31.745023426828197,55.96242127106348,-25.865199877154225,42.51292171608583,-20.351090046340175,30.56215911779759,-23.738201968947294,26.56471352514029,-28.615798696267746,21.84049021919145,-33.61366914370035,17.400839751781916,-39.62771342807838,15.97978546708373,-43.96174540560173,16.9360948475869,-48.54463381667887,18.773596721955187,-52.19787229108323,20.40788848772877,-55.86741213709604,21.684924951622463,-59.33757410154118,24.881904831364466,-62.97219659876026,26.281155931460148,-65.55517545607546,28.48943721841539,-68.339916099167,30.63483165309259,-69.66355806558494,33.09788817596353,-72.14327043979443,34.651374767370044,-74.16514834712649,36.57120989446861,-74.66615361387477,39.22103548936656,-76.25242128878006,40.569288715648725,-75.57358639253414
77.2573738646725,-33.954991220689465,73.48282246692304,-31.025295615515915,56.623575208376735,-25.37599816995686,43.140434642398986,-19.83779723220374,31.167554243268796,-23.23977114125597,26.96049329514318,-27.992747033086914,22.142493454039197,-32.95086671471563,17.632119065621907,-38.96489705066551,16.045876587209932,-43.25123232164805,16.948830161038813,-47.818442776842744,18.58034294914745,-51.479987777757685,20.23675214346821,-55.13164259195855,21.544109446294158,-58.61132870598368,24.67416033558021,-62.22757795512649,26.040165855045586,-64.82198393443792,28.260088709517277,-67.62284129754994,30.446264708800072,-68.92406170304383,32.82922235089558,-71.46664547719234,34.3705797022115,-73.48345994608394,36.30470293756986,-73.96989114035819,38.99362927276047,-75.56180187762402,40.33906071548677,-74.87367504642276
77.33212867955984,-33.184913832560255,73.74387344999093,-30.305137697619955,57.281766520052315,-24.890272780956707,43.77123292047844,-19.339922180128553,31.77657936888079,-22.73655316173,27.36250501767637,-27.36760203419641,22.45040059838226,-32.28639405585449,17.86678711795821,-38.29642082015283,16.11830427923212,-42.53666580797909,16.963621137284804,-47.09230604261984,18.3930910870061,-50.76043661030104,20.068571312962376,-54.39585589158884,21.402947809736418,-57.886699250278525,24.463699904049406,-61.48549142555453,25.798653423242,-64.08858739338797,28.02962854857509,-66.90561903174529,30.25354978346985,-68.18768386499147,32.55921668419808,-70.78886249575498,34.08901496604665,-72.79954425786394,36.03595387924764,-73.27349392410366,38.76272880389973,-74.8709072167095,40.10471416813027,-74.17498960383745
77.40747387366423,-32.41518585050369,74.00326577782164,-29.584546050460403,57.937004390074776,-24.407776791800188,44.40530397281992,-18.857005627576996,32.38920236450565,-22.229067117246984,27.770645758038484,-26.7407651904702,22.76411139620177,-31.62053466576924,18.104782145234935,-37.622662451574,16.19672396956429,-41.81837024866729,16.980387636058367,-46.366238466933225,18.212297556817646,-50.03928459152763,19.90352429301646,-53.66002427423058,21.261444414935056,-57.16360593865056,24.250588932866094,-60.745809563533044,25.55662494292602,-63.35500737312515,27.798056919729675,-66.1882717862664,30.056757077028237,-67.45436122379783,32.287878851467724,-70.10999651217719,33.80667946187202,-72.1135453158505,35.76497424216393,-72.5770100455988,38.52837563523576,-74.17980187362645,39.866305027738406,-73.47755932450775
77.48340436950531,-31.645797821200233,74.26094158238675,-28.863517051357178,58.58929800242862,-23.928263284133493,45.0426352219194,-18.38858831201128,33.0053911000154,-21.71783209468441,28.184812581528035,-26.11263799278254,23.083525591478633,-30.95357204311199,18.346042383896304,-36.943999659962685,16.280791084620205,-41.09667002778531,16.99904951709317,-45.64025490270586,18.038418779868493,-49.316597524251904,19.74178938043582,-52.924119978127635,21.119603634875943,-56.44196897532487,24.034892818124376,-60.00840492255071,25.314086720974274,-62.62126541384902,27.565374007122045,-65.47082204562679,29.85595678940132,-66.72403045183307,32.01521652830138,-69.43012254315374,33.523572092683935,-71.4256071534275,35.49177554898057,-71.88048758533114,38.29061131921992,-73.48855041596477,39.623889248470505,-72.78141346816312
77.55991508960284,-30.87674029133035,74.51684299565784,-28.142047077630195,59.238656541098464,-23.451485339603096,45.6832140902726,-17.934210970893673,33.625113445282125,-21.20336718091994,28.604902553443537,-25.48362193200734,23.408542928194038,-30.285789686534997,18.590506070386596,-36.260810160352605,16.370161050813977,-40.37188952940562,17.019526640122706,-44.91437020286088,17.871911177445213,-48.592441211288076,19.583544872025755,-52.18811524152392,20.97742984254495,-55.72170856452635,23.816676955918183,-59.27315005609614,25.07104506426333,-61.88738305575902,27.33157999489316,-64.75329229433981,29.651219120515464,-65.99662822146706,31.74123739029585,-68.74931560537937,33.23969176147892,-70.73587380397902,35.21636932235941,-71.1839746237884,38.049477408303574,-72.79721741131436,39.37752278448579,-72.086581294533
77.63700095647653,-30.10800380757462,74.77091214960666,-27.420132506599543,59.88508919006881,-22.977196039855187,46.327028000375435,-17.493414341686503,34.24833727017784,-20.686191462831005,29.0308127390835,-24.85411849901874,23.73906315032889,-29.61747109469053,18.838111441149863,-35.57347166777737,16.46448929455937,-39.64435313760089,17.041738864880585,-44.18859922032124,17.713231170834206,-47.86688145545054,19.428969064591456,-51.45198230266311,20.834927410927946,-55.002744910479976,23.59600674234167,-58.53991751765807,24.827506279669763,-61.1533818390547,27.096675067183924,-64.03570501691905,29.442614270296815,-65.27209120506996,31.465949113047884,-68.06765071554895,32.955037371253354,-70.04448930088893,34.93876708496225,-70.48751924145813,37.80501545493803,-72.10586742726514,39.12726158994349,-71.39309206334684
77.71465689264608,-29.339578916613448,75.02309117620479,-26.69776971558514,60.52860513332422,-22.505148466536184,46.974064374723696,-17.065739161852093,34.875030444574634,-20.16682402729515,29.462440203746496,-24.22452918469088,24.07498600186426,-28.948899766230795,19.088796732630385,-34.88236189727064,16.56343124227044,-38.91438523644365,17.06560605110036,-43.462956808010006,17.562835181321987,-47.13998405955357,19.278240254938225,-50.71569339978919,20.692100713010745,-54.28499821741076,23.37294757348883,-57.80857986072505,24.58347667407031,-60.41928330393557,26.860659408135348,-63.31808269787791,29.230212438671686,-64.55035607501168,31.189359372154343,-67.38520289035722,32.66960782500365,-69.35159767754129,34.65898035945111,-69.79116951882799,37.55726701157471,-71.41456503140711,38.873161619002815,-70.70097503433414
77.79287782063113,-28.571456165127415,75.27332220742386,-25.974955081906955,61.16921355484925,-22.035095701292448,47.62431063581329,-16.6507261688526,35.50516083834458,-19.645783961189977,29.89968201273109,-23.59525547989773,24.416211226781286,-28.28035919980806,19.342500181272328,-34.18785856386609,16.666642320361063,-38.18231021000639,17.091048058515582,-42.73745781885026,17.421179630195013,-46.41181482641156,19.131536739871365,-49.97922077114583,20.548954121779275,-53.56838868954367,23.147564845453644,-57.07900963878586,24.338962554341435,-59.68510899060118,26.62353320188828,-62.6004478217298,29.014083825566274,-63.83135950366233,30.911475843211974,-66.7020471464989,32.38340202572624,-68.65734296732006,34.37702066848777,-69.09497353638557,37.30627363066492,-70.72337479133017,38.615278825823054,-70.01025946722427
77.87165866295152,-27.803626099796986,75.52154737523551,-25.251684982885024,61.80692363862846,-21.56679082577017,48.277754206139946,-16.247916100150405,36.138696321359646,-19.123590351392977,30.3424352313358,-22.966698875513373,24.76263856906087,-27.612132894074534,19.599160023519914,-33.490339382597426,16.77377795524518,-37.44845244236177,17.117984746859918,-42.01211710576496,17.2887209387398,-45.68243955883878,18.989036816196176,-49.242536654977016,20.405492010219405,-52.852836531103605,22.919923954330216,-56.351079405329074,24.093970227359875,-58.95088043925102,26.385296632583675,-61.88282287298824,28.79429863090678,-63.11503816339189,30.63230620181764,-66.01825850066894,32.0964188764176,-67.96186920360918,34.0928995347341,-68.39897937461842,37.05207686466008,-70.03236127462424,38.353669164563485,-69.32097462174687
77.95099434212693,-27.036079267302625,75.76770881161139,-24.52795579583926,62.44174456864641,-21.099986921615823,48.934382508199576,-15.856849693207778,36.77560476349191,-18.600762284781695,30.79059692485913,-22.339260862412004,25.11416777268414,-26.944504347682425,19.85871449581731,-32.79018206849821,16.884493573336727,-36.71313631758227,17.146335975866805,-41.28694952167717,17.165915528242806,-44.95192405964957,18.850918780717848,-48.50561328952648,20.26171875131695,-52.13826194631565,22.69009029621253,-55.62466171384341,23.848506000002146,-58.2166191900846,26.14594988436255,-61.165230336166644,28.57092705461946,-62.401328726570455,30.351858123568036,-65.33391196956194,31.808657280074044,-67.2653204197926,33.806628480852055,-67.70323511401426,36.79471826601156,-69.34158904887926,38.08838858938333,-68.63314975763126
78.03087978067703,-26.268806214324854,76.01174864852305,-23.8037638980897,63.07368552888761,-20.634437070475656,49.59418296448803,-15.477067685486986,37.41585403461352,-18.077818848233733,31.2440641585996,-21.713342931467537,25.470698581632064,-26.277757059284,20.12110183460868,-32.08776433660216,16.998444601049584,-35.97668621974054,17.17602160526991,-40.561969919510034,17.05321981999049,-44.22033413165826,18.71736093024174,-47.76842291303802,20.117638718057833,-51.424585139404655,22.458129267194693,-54.89962911781748,23.602576179144876,-57.482346783301466,25.90549314136581,-60.44769269577847,28.344039296630626,-61.69016786556796,30.07013928406002,-64.64908256987286,31.52011613969205,-66.56784064925438,33.51821902950343,-67.00778883506064,36.534239387170715,-68.65112268168508,37.81949305444181,-67.94681413460694
78.11130990112156,-25.501797487544195,76.25360901794221,-23.07910566695631,63.70275570333661,-20.169894353996085,50.25714299750109,-15.1081108144503,38.05941200459637,-17.555279128626523,31.70273399785583,-21.089346573554224,25.83213073988577,-25.612174527531465,20.386260276338305,-31.383463901942946,17.115286464797748,-35.23942653290908,17.206961494802783,-39.837193152186444,16.951090235269362,-43.487735577679246,18.588541561573038,-47.03093776375556,19.973256283427872,-50.711726314595694,22.224106263370743,-54.17585417073997,23.356187071664692,-56.74808475910112,25.66392658773441,-59.73023243633719,28.11370555686642,-60.98149225275455,29.787157358890454,-63.96384531829631,31.2307943582681,-65.86957392537846,33.22768270335007,-66.31268861824515,36.27068178058886,-67.96102674063178,37.5470385138982,-67.26199701240336
78.19227962598023,-24.735043633641112,76.4932320518405,-22.35397747975901,64.32896427597802,-19.7061118538233,50.92325002973462,-14.749519817559985,38.7062465433126,-17.033662212837726,32.16650350792628,-20.467673279545977,26.198363991426277,-24.948040251077032,20.654128057450237,-30.677658479554225,17.2346745909951,-34.501681641160474,17.23907550419898,-39.11263407262953,16.859983195365885,-42.7541942005268,18.46463897151716,-46.29313007992283,19.828575820412993,-49.999605676113674,21.988086680834613,-53.453209426099534,23.109344984438223,-56.01385465768311,25.421250407609307,-59.012872042356264,27.8799960352531,-60.2752385605001,29.502920023655975,-63.27827523152723,30.940690838798503,-65.1706642815488,32.935031025053945,-65.61798254405545,36.004086998717355,-67.27136579330914,37.27108092191173,-66.57872765075001
78.27378387777276,-23.968535199296127,76.73055988218948,-21.62837571381789,64.95232043079636,-19.242842651603723,51.592491483684455,-14.40083543227837,39.35632552063424,-16.51348718774483,32.63526975410957,-19.848724540316937,26.569298080234603,-24.285637728572965,20.92464341438881,-29.970725784469607,17.356264406055573,-33.76377592856727,17.272283493192106,-38.38830753376226,16.780355121566515,-42.01977580301525,18.34583145687924,-45.554972099783754,19.68360170199901,-49.28814342818356,21.75013591568046,-52.731567437384854,22.86205622434204,-55.279678019246944,25.17746478513135,-58.2956339983491,27.642980931716863,-59.57134346117476,29.217434953953557,-62.5924473262603,30.649804484279798,-64.47125575114939,32.64027551727685,-64.92371869297921,35.734496594007624,-66.58220440730713,36.99167623264168,-65.89703530937635
78.35581757901889,-23.202262731189705,76.96553464096087,-20.902296746452805,65.57283335177618,-18.77983982898371,52.26485478184645,-14.061598396067723,40.00961680643337,-15.995273140225322,33.10892980170411,-19.232901846741242,26.94483275029171,-23.625250458671474,21.197744583598137,-29.263043531722815,17.47971133639311,-33.026033779202066,17.306505321515658,-37.66422838850775,16.712662435157824,-41.28454618795894,18.23229731446463,-44.81643606158207,19.538338301171848,-48.57725977503037,21.51031936400227,-52.01080075808454,22.614327098252772,-54.54557638399211,24.932569904441607,-57.57854078882923,27.40273044618408,-58.86974362714852,28.930709825379893,-61.9064366191904,30.358134197708296,-63.77149236756412,32.343427702680685,-64.2299451455039,35.46195211891103,-65.8936071502157,36.70888040024727,-65.21694924801182
78.43837565223828,-22.436216776002368,77.19809846012623,-20.17573695498379,66.19051222290204,-18.31685646760951,52.94032734671646,-13.731349446390311,40.66608827058201,-15.479539157156808,33.58738071600857,-18.620606689692863,27.324867745578786,-22.967161940024823,21.473369801522438,-28.554989436347512,17.604670808421645,-32.288779577137404,17.341660848903302,-36.94041148978903,16.657361557426157,-40.548571158172194,18.124214841078583,-44.07749420356163,19.392789990917265,-47.86687492087901,21.267718437599683,-51.29078194168727,22.36616391304699,-53.81157129211812,24.686565949680983,-56.86161489831005,27.159314778580836,-58.17037573079142,28.642752313531787,-61.220318127012206,30.065678882080533,-63.07151816417712,32.044499103927365,-63.5367099821172,35.18649512587888,-65.20563858962481,36.422749378887715,-64.53849872638591
