1,,2,,3,,4,,5,,6,,7,,8,
73.57565511411661,48.76823240844445,78.91800507185127,25.911089551301643,78.37700760777673,-4.317143753854623,81.42011834319521,-24.266425241597744,95.89180050718511,-32.51663656873205,113.87996618765851,-42.99846243517345,129.16314454775997,-55.57665347490291,144.58157227387989,-66.261353390372
73.18598928254937,48.28818990129324,78.36555767424136,26.194153396279546,78.27420635405142,-3.7932729608825753,81.13443618230744,-23.758397067557098,95.26880130465895,-32.211169281424645,113.18213897251874,-42.68710018777591,128.63381401000433,-55.24062652881247,143.9734452386438,-65.92514116776744
72.79621669359997,47.809289147784426,77.8141008363933,26.464434490466033,78.16217640822865,-3.2664573816051643,80.84904347698412,-23.244259081762664,94.65046484861008,-31.89548430165206,112.48722398897513,-42.3704504472459,128.10503715399145,-54.906295574711635,143.36585706248567,-65.58855017475986
72.4063370383943,47.33150187239707,77.26364089039498,26.722028883786038,78.04112688484605,-2.7369447742158286,80.56393864838583,-22.72416221822857,94.03695077132255,-31.569751974300516,111.79525971161132,-42.04854008725539,127.57681459771297,-54.57359611119631,142.75881430224507,-65.25156631813667
72.01635000805811,46.85479979961019,76.71418416833438,26.967032626164666,77.91126689844131,-2.2049828969080636,80.27912011767313,-22.198257410969006,93.42841870508047,-31.234142644256224,111.10628461501096,-41.72139598147646,127.04914695916048,-54.24246363686234,142.15232351476143,-64.91417550468537
71.62625529371726,46.379154653902816,76.16573700229947,27.199541767526966,77.77280556355211,-1.6708195078753079,79.9945863060066,-21.666695593998043,92.82502828216795,-30.888826656405513,110.42033717375762,-41.389045003580975,126.5220348563256,-53.9128336503054,141.54639125687433,-64.57636364119344
71.23605258649758,45.90453815975397,75.61830572437813,27.419652357797872,77.6259519947161,-1.134702365311,79.7103356345468,-21.129627701329923,92.22693913486904,-30.533974355634598,109.73745586243496,-41.051514027241126,125.99547890719995,-53.58464165012151,140.94102408542318,-64.23811663444837
70.8457415775249,45.430922041642674,75.07189666665835,27.62746044690249,77.47091530647097,-0.5968792274086354,79.42636652445427,-20.58720466697872,91.63431089546785,-30.16975608682975,109.05767915562663,-40.70882992612877,125.46947972977514,-53.25782313490629,140.33622855724755,-63.899420391237584
70.45532195792504,44.958278024047985,74.52651616122805,27.82306208476581,77.30790461335437,-0.05759785236165271,79.14267739688961,-20.039577424958622,91.04730319624849,-29.79634219487724,108.3810455279162,-40.36101957391594,124.9440379420428,-52.93231360325575,139.73201122918692,-63.560260818348524
70.06479341882383,44.486577831448926,73.98217054017519,28.006553321312822,77.13712902990397,0.4828940016364527,78.85926667301337,-19.4868969092837,90.46607566949504,-29.413903024663284,107.70759345388737,-40.00810984427471,124.41915416199453,-52.60804855376557,139.12837865808078,-63.22062382256871
69.67415565134706,44.01579318832452,73.43886613558769,28.178030206468634,76.95879767065745,1.0243485763922422,78.57613277398613,-18.92931405396814,89.89078794749159,-29.022608921074152,107.0373614081237,-39.650127610877064,123.89482900762195,-52.28496348503165,138.52533740076862,-62.88049531068566
69.2834083466206,43.5458958191538,72.89660927955353,28.337588790158236,76.7731196501525,1.5665181137122204,78.29327412096848,-18.366979793026132,89.32159966252223,-28.622630228996115,106.3703878652089,-39.28709974739502,123.37106309691669,-51.96299389564979,137.92289401408996,-62.539861189486714
68.8925511957703,43.07685744841581,72.35540630416065,28.485325122306676,76.58030408292672,2.1091548554030055,78.01068913512091,-17.800045060471746,88.75867044687106,-28.214137293315446,105.70671129972652,-38.91905312750049,122.84785704787035,-51.642075284215764,137.3210550548843,-62.19870736575945
68.5015838899219,42.608649800589546,71.81526354149696,28.621335252838946,76.38056008351785,2.652011043271102,77.72837623760407,-17.228660790319168,88.20215993282216,-27.797300458918357,105.04637018626022,-38.54601462486562,122.32521147847453,-51.32214314932554,136.71982707999115,-61.85701974629126
68.11050612020128,42.14124460015407,71.27618732365045,28.745715231680094,76.17409676646355,3.1948389191230717,77.44633384957848,-16.65297791658253,87.65222775265963,-27.372290070691065,104.38940299939361,-38.16801111316232,121.80312700672087,-51.00313298957474,136.11921664624998,-61.51478423786966
67.71931757773427,41.674613571588424,70.73818398270902,28.85856110875511,75.96112324630144,3.737390724765362,77.16456039220472,-16.073147373275958,87.10903353866757,-26.939276473519953,103.73584821371037,-37.78506946606268,121.28160425060099,-50.68498030355937,135.51923031050032,-61.17198674728212
67.32801795364671,41.20872843937161,70.20125985076066,28.959968933989103,75.74184863756926,4.279418702004591,76.88305428664336,-15.489320094413586,86.57273692313007,-26.49843001229118,103.08574430379409,-37.39721655723861,120.76064382810651,-50.367620589875116,134.91987462958164,-60.828613181316086
66.93660693906438,40.743560927982685,69.66542125989326,29.050034757307003,75.51648205480461,4.8206750926473205,76.60181395405493,-14.901647014009598,86.0434975383312,-26.049921031891017,102.43912974422838,-37.00447926036219,120.24024635722901,-50.050989347117934,134.32115616033346,-60.48464944675902
66.54508422511313,40.27908276190061,69.13067454219481,29.12885462863386,75.28523261254523,5.360912138500055,76.32083781560007,-14.31027906607818,85.52147501655509,-25.59391987720568,101.7960430095969,-36.60688444910534,119.72041245596012,-49.7350220738835,133.72308145959528,-60.14008145039844
66.15344950291879,39.81526566560456,68.59702602975324,29.19652459789478,75.04830942532874,5.899882081369299,76.04012429243929,-13.715367184633351,85.00682899008578,-25.13059689312155,101.15652257448326,-36.20445899714019,119.2011427422915,-49.419654268767715,133.12565708420658,-59.7948950990218
65.76170246360718,39.352081363573404,68.06448205465648,29.253140715014695,74.8059216076928,6.43733716306167,75.75967180573318,-13.117062303689295,84.4997190912074,-24.660122424524786,100.52060691347111,-35.79722977813873,118.68243783421468,-49.10482143036643,132.52888959100687,-59.449076299416504
65.36984279830415,38.889501580286264,67.5330489489925,29.29879902991871,74.55827827417511,6.973029625383617,75.47947877664228,-12.515515357260199,84.00030495220406,-24.182666816301662,99.88833450114407,-35.385223665772855,118.16429834972135,-48.79045905727537,131.93278553683567,-59.102610958370065
64.97787019813546,38.42749804022213,67.00273304484921,29.33359559253182,74.30558853931336,7.506711710141758,75.1995436263272,-11.910877279360193,83.50874620535981,-23.69840041333839,99.25974381208579,-34.96846753371466,117.64672490680312,-48.4765026480905,131.33735147853247,-58.75548498267
64.585784354227,37.96604246786012,66.47354067431459,29.357626452779016,74.04806151764515,8.038135659142597,74.91986477594847,-11.303299004003406,83.02520248295875,-23.2074935605213,98.63484172496416,-34.546988255636165,117.12971812345157,-48.1628877014075,130.74259397293676,-58.407684279103705
64.19358495770459,37.505106587679165,65.94547816947656,29.370987660585342,73.78590632370822,8.567053714192696,74.64044064666666,-10.692931465204026,82.54983341728499,-22.710116602736605,98.01206293605344,-34.120812705209346,116.61327861765832,-47.84954971582226,130.14851957688805,-58.059194754458645
63.80127169969401,37.04466212415832,65.4185518624231,29.37377526587585,73.51933207204021,9.093218117098559,74.36126965964237,-10.079925596976125,82.08279864062263,-22.206439884870633,97.39067215713595,-33.68996775610617,116.097407007415,-47.536424189930585,129.55513484722584,-57.71000231552233
63.40884427132116,36.58468080177664,64.8927680852421,29.36608531857553,73.24854787717877,9.616381109666747,74.08235023603612,-9.464432333333832,81.62425778525574,-21.696633751809486,96.77088107649286,-33.254480281998724,115.58210391071322,-47.22344662232837,128.96244634078963,-57.36009286908222
63.01630236371179,36.12513434501312,64.36813317002154,29.348013868609428,72.97376285366161,10.136294933703766,73.80368079700852,-8.846602608291391,81.17437048346838,-21.18086854843955,96.1529013824053,-32.814377156558976,115.06736994554461,-46.91055251161134,128.3704606144189,-57.009452321925835
62.62364566799178,35.66599447834682,63.84465344884933,29.319656965902595,72.69518611602638,10.652711831016234,73.52525976372013,-8.226587355862875,80.73329636754471,-20.65931461964709,95.53694476315445,-32.369685253458954,114.55320572990075,-46.59767735637536,127.77918422495316,-56.65806658084051
62.23087387528693,35.20723292625678,63.32233525381346,29.28111066038008,72.41302677881072,11.165384043410654,73.24708555733147,-7.604537510062414,80.30100249043929,-20.132142310318272,94.9232229070214,-31.92043144637063,114.03961188177331,-46.2847566552162,127.18862372923192,-56.305921552613825
61.83798667672306,34.748821413222004,62.801184917001876,29.232471001966815,72.12749395655237,11.674063812693532,72.96915659900316,-6.980604004904194,79.875759502357,-19.599521965339363,94.3119475022873,-31.466642608966083,113.52658901915387,-45.97172590672977,126.59878568409471,-55.95300314403323
61.44498376342602,34.290731663721544,62.281208770502474,29.173834040587906,71.83879676378893,12.17850338067143,72.69147130989575,-6.3549377744023445,79.45696420674193,-19.061623929596692,93.70333023723333,-31.008345614917175,113.01413776003403,-45.65852060951187,126.00967664638094,-55.59929726188619
61.05186482652164,33.8329354022344,61.761112093683835,29.105295826168287,71.54714431505809,12.678454989150907,72.41402811116978,-5.727689752571052,79.04442198959299,-18.518618547976473,93.0975828001406,-30.545567337896102,112.50225872240546,-45.34507626215827,125.42130317293021,-55.24478981296011
60.6586295571357,33.37540435323962,61.23783395398573,29.02695240863312,71.25274572489755,13.17367087993847,72.13682542398587,-5.099010873424334,78.63793823690901,-17.97067616536492,92.49491687929029,-30.07833465157472,111.99095252425971,-45.031328363264834,124.83367182058197,-54.88946670404255
60.265277646394054,32.918110241216255,60.71162210357639,28.938899837907343,70.95581010784494,13.66390329484068,71.85986166950457,-4.469052070976488,78.2373183346889,-17.417967126648364,91.89554416296352,-29.606674429625116,111.48021978358844,-44.71721241142734,124.2467891461757,-54.53331384192097
59.87180878542256,32.461024790643364,60.1828865989109,28.841234163916,70.65654657843794,14.148904475664096,71.5831352688864,-3.8379642792415325,77.8423676689315,-16.860661776713016,91.29967633944142,-29.130613545719314,110.97006111838326,-44.402663905241695,123.66066170655094,-54.17631713338278
59.478222665347005,32.004119725999885,59.652037496444336,28.73405143658414,70.35261976249436,14.628426664215226,71.30664464329197,-3.205898432233653,77.45289162563569,-16.29893046044515,90.70752509700517,-28.650178873529228,110.46047714663578,-44.08761834330369,123.0752960585472,-53.818462485215434
59.0844642549757,31.54736677176487,59.119484852631786,28.617447705836753,70.03346882526404,15.102222102300573,71.03038821388188,-2.5730054639670357,77.06869559080036,-15.732943522730977,90.11930212393588,-28.165397286726943,109.9514684863376,-43.77201122420905,122.49069875900392,-53.4597358042065
58.69002696724263,31.09073765241743,58.58563872392838,28.49151902159889,69.69843369523414,15.570043031726755,70.75436440181662,-1.939436308455754,76.68958495042435,-15.162871308456829,89.53521910851475,-27.676295658984486,109.44303575548037,-43.455778046553746,121.90687636476065,-53.10012299714339
58.29483006292847,30.634204092436505,58.05090916678918,28.3563614337956,69.34811733379274,16.031641694300333,70.47857162825679,-1.3053418997139943,76.3153650905065,-14.588884162508919,88.95548773902286,-27.18290086397377,108.93517957205569,-43.1388543089335,121.32383543265689,-52.73960997081355
57.89892673397375,30.177737816301203,57.515706237669264,28.212070992351812,68.98312270232793,16.4867703318277,70.20300831436296,-0.6708731717558862,75.94584139704577,-14.011152429773517,88.38031970374138,-26.68523977536688,108.42790055405516,-42.821175509944226,120.74120732472562,-52.378182632004496
57.50237017231896,29.721310548490464,56.980439993023765,28.058743747192693,68.60405276222787,16.93518118611553,69.9276728812957,-0.03618105859561638,75.58081925604094,-13.42984645513684,87.80992669095147,-26.183339266835787,107.92112007966688,-42.50267714818165,120.15862617598458,-52.01582688750369
57.105213569904606,29.2648940134834,56.44552048930771,27.896475748243176,68.21151047488061,17.376626498970325,69.65256375021559,0.5985835057527424,75.22010405349096,-12.845136583485157,87.24452038893423,-25.677226212052517,107.41348323443012,-42.18329472224161,119.57612302546133,-51.65252864409854
56.707510118671166,28.808459935759004,55.91135778297624,27.72536304542831,67.8060988016743,17.81085851219865,69.37767934228316,1.2332695872750037,74.86350117539462,-12.257193159704741,86.68431248597088,-25.166927484689097,106.90461448698363,-41.86296373071997,118.99372894238971,-51.28827380857655
56.30931301055912,28.35198003979633,55.37836193048443,27.545501688673085,67.38842070399699,18.23762946760695,69.103018078659,1.8677262519570945,74.51081600775086,-11.666186528681862,86.12951467034247,-24.652469958417498,106.39466257180786,-41.54161967221256,118.41147499600353,-50.92304828772524
55.91067543750904,27.895426050074377,54.84694298828734,27.356987727902606,66.95907914323678,18.656691607001903,68.8285783805037,2.5018025657847716,74.16185393655849,-11.072287035302736,85.58033863033023,-24.133880506909748,105.88377622338325,-41.219198045315125,117.82939225553659,-50.556837988332006
55.51165059146135,27.438769691072252,54.3175110128401,27.159917213041865,66.51867708078183,19.0677971721899,68.55531658963164,3.135347594743905,73.81642034781643,-10.475665024453633,85.03699605421525,-23.611186003837815,105.37210417619028,-40.89563434862356,117.24751179022269,-50.18962881718437
