1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,
62.597914905607354,-54.43583357900036,48.03606649760502,-46.07291444685063,30.386024232178215,-24.726056176915336,21.34685826993524,-8.879338791736416,12.21752606367994,-1.463165221716622,12.082276697661314,14.428635285468431,28.9208227669767,26.285496373098795,41.92730346576502,42.22238000229004,45.28599605522686,57.956389582453596,54.64074387151311,70.51203906117996,69.02225979149068,83.450895076959
62.53802105733462,-53.889469611188815,48.4317197225987,-45.757434889807655,30.77762001257713,-25.100762867328513,21.816341893052027,-9.242733264136348,12.664017306779272,-1.7333183101706595,12.155660577800688,13.877585178781544,28.511118641260964,25.876031904127274,41.581131910196916,41.77077644656981,45.027511210232205,57.455042127993636,54.28573799693089,70.12576566690706,68.56072422071355,83.14766412564944
62.47820157197987,-53.34314112884613,48.823897521745835,-45.43756768748369,31.173305693616896,-25.46809592128477,22.286563414299565,-9.60227381133808,13.110923020138841,-2.003734854577658,12.237968357307807,13.330337427363986,28.107734888446316,25.462586029321017,41.235888980576135,41.316125012810915,44.76920967998666,56.95260397138344,53.93250545902879,69.73773283625087,68.10120952786104,82.8416403473745
62.41845672706995,-52.79684694280138,49.21247379511436,-45.11336685162337,31.57300402560554,-25.827928859068948,22.757514785451463,-9.958057118282795,13.55824147583371,-2.274381934386554,12.328960671825996,12.78690494673475,27.71072490073385,25.04519628660381,40.89157227921203,40.85852188625944,44.51109402995144,56.44910996673235,53.581059366962165,69.34795496401722,67.64372451238467,82.53284320614216
62.35878680013167,-52.25058586388343,49.597322442772224,-44.78488639397153,31.976637758851382,-26.180135200966333,23.229187958281216,-10.310179869911849,14.005970945938884,-2.5452266290461125,12.428398156998753,12.247300652412946,27.320142070324778,24.623900213899674,40.548179408414,40.398063252161535,44.2531668255877,55.944594968149886,53.23141282988621,68.95644644501203,67.18827797373558,82.22129216596022
62.29919206869175,-51.70435670292136,49.97831736478736,-44.45218032627258,32.38412964366256,-26.524588467262106,23.701574884562376,-10.658738751166538,14.454109702529308,-2.8162360180052133,12.536041448469405,11.711537459917622,26.93603978942025,24.19873534913239,40.2057079704914,39.93484529576341,43.9954306323566,55.439093829745445,52.883578956956285,68.56322167404113,66.73487871136524,81.90700669083674
62.23967281027711,-51.15815827074414,50.35533246122776,-44.11530266027148,32.795402430347224,-26.861162178241216,24.174667516068553,-11.003830446988161,14.902656017680044,-3.0873771807126786,12.651651181881334,11.179628284767944,26.558471450221532,23.76973923022598,39.864155567753585,39.46896420231121,43.73788801571942,54.93264140562849,52.53757085732764,68.16829504591033,66.28353552472487,81.59000624477954
62.18022930241443,-50.61198937818074,50.72824163216126,-43.774307407712854,33.21037886921357,-27.18972985418884,24.648457804573184,-11.345551642318014,15.351608163466096,-3.358617196617331,12.774987992877982,10.651586042482904,26.18749044492978,23.336949395104284,39.52351980250995,39.00051615705104,43.480541541137256,54.425272549908414,52.19340164015557,67.77168095542555,65.83425721326591,81.27031029179659
62.1208618226305,-50.06584883606013,51.09691877765596,-43.42924858034121,33.62898171056975,-27.510165015390044,25.122937701849935,-11.683999022097339,15.800964411962411,-3.629923145167993,12.905812517102731,10.127423648581669,25.823150165746142,22.900403381691206,39.183798277069855,38.52959734522915,43.22339377407127,53.91702211669474,51.85108441459539,67.37339379739257,65.3870525764396,80.94793829589582
62.06157064845223,-49.51973545521139,51.46123779777963,-43.0801801899014,34.05113370472395,-27.822341182130003,25.598099159672245,-12.019269271267547,16.25072303524405,-3.9012621058135437,13.04388539019891,9.60715401858323,25.46550400487189,22.460138727910646,38.84498859374264,38.05630395209158,42.96644727998279,53.407924960096864,51.510632289802345,66.9734479666173,64.94193041369732,80.62290972108508
