1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,
157.70076077768385,-36.776123101093674,153.50803043110727,-26.09142318562448,143.97295012679626,-8.035632822141736,123.34742180896035,10.831653737452427,105.49450549450546,24.897587803386614,101.97802197802207,41.26276109163672,99.88165680473378,55.12582110854288,94.8098055790366,70.07087605359806,86.42434488588344,83.86631138749476,77.90363482671194,96.10637901217785,67.9628064243451,107.33207639172127,59.306846999154686,117.40815416010679,50.31276415891807,127.75473066052956,42.94167371090464,136.3430654027104
156.8692954493738,-36.77091186921774,152.8647341572198,-26.657456212207364,143.69736006864878,-8.59205207298919,123.55795547828893,10.108371106716561,106.01288275871582,24.25847284067777,102.19727358295108,40.49890350235745,99.97998103230896,54.34074678001957,94.99331906421821,69.31815793196608,86.80281922638153,83.17265601370957,78.34936297650336,95.42045775495973,68.494199419898,106.69712432731984,59.922708144982266,116.87647703908857,50.907481773841255,127.156299023467,43.5765186322767,135.8005195296986
156.03783453366293,-36.76517403613292,152.21804139206552,-27.209712359641742,143.41568310197817,-9.154079885301883,123.76647579976611,9.381714901435885,106.52694661533724,23.615923524602124,102.41799886307263,39.73525938357591,100.08181462280754,53.554816480095496,95.17682421385769,68.5639690670231,87.17789046269377,82.47695383295695,78.79251997903884,94.73349908228079,69.02304909789746,106.0614236925743,60.534768426389064,116.3408584131339,51.50068375136698,126.55908426062553,44.20941898347962,135.25712769286372
155.2063781261453,-36.75894200656768,151.56797693345925,-27.748338790850255,143.12800365295777,-9.72145059994665,123.97248150749033,8.651798554553466,107.03652117697061,22.969963744827794,102.64018355438066,38.971835969533856,100.18709658293324,52.76807455772996,95.3603210991414,67.80834460272717,87.54950746955512,81.77922774019686,79.23307501921784,94.04549352932611,69.54933407090107,105.42494752105017,61.14300510702117,115.80132727560897,52.09236517105387,125.96300729184844,44.84036267660417,134.71286349238562
154.37492632241458,-36.75224818525061,150.91456557921572,-28.27348266875555,142.83440614776077,-10.293898557790158,124.17547133556002,7.918735499012314,107.54143055621694,22.320617391022836,102.86381339286913,38.2086404944734,100.29576591938951,51.98056536188221,95.54380979125563,67.05131968303641,87.9176191217008,81.07950063038942,79.67099728193944,93.35643163128083,70.07303295146642,104.78766884631284,61.747395450524664,115.2579126198799,52.68252111246045,125.36798903697922,45.4693376237409,134.16770052844407
153.5434792180647,-36.74512497691029,150.25783212714964,-28.785291156279925,142.5349750125606,-10.871158099699187,124.37494401807373,7.18263916775544,108.04149886567711,21.667908352855306,103.08887411453213,37.44568019263636,100.40776163887983,51.192333241511676,95.72729036138662,66.29292945190889,88.28217429386598,80.37779539849464,80.10625595210286,92.66630392333008,70.59412435215131,104.14956070192795,62.34791672054564,114.71064343931289,53.27114665514546,124.77395041586118,46.09633173698069,133.6216124012189
152.71203690868947,-36.7376047862752,149.59780137507607,-29.283911416346257,142.22979467353025,-11.452963566540518,124.57039828913003,6.44362299372591,108.53655021795237,21.011860519993263,103.3153514553635,36.68296229826473,100.52302274810779,50.403422545577484,95.91076288072065,65.53320905330281,88.64312186078575,79.6741349394726,80.53882021460743,91.9751009406591,71.11258688551322,103.51059612146088,62.9445461807303,114.15954872727417,53.85823687866741,124.18081234833778,46.721332928414085,133.07457271088992
151.8805994898829,-36.72972001807392,148.93449812080962,-29.769490611877075,141.91894955684313,-12.039049299180988,124.76133288282733,5.701800409866735,109.02640872564348,20.352497782104763,103.5432311513573,35.92049404560049,100.64148825377686,49.61387762303906,96.09422742044421,64.7721936311761,89.00041069719532,78.96854214828335,80.96865925435236,91.28281321845293,71.62839916410985,102.87074813847721,63.53726109472461,113.60465747712982,54.44378686258494,123.58849575425234,47.344329110131866,132.52655505763698
151.04916705723872,-36.721503077034924,148.26794716216511,-30.242175905795023,141.60252408867257,-12.629149638487263,124.9472465332642,4.957284849120867,109.51089850135145,19.68984402885792,103.77249893850751,35.15828266888548,100.76309716259061,48.82374282285565,96.27768405174356,64.009918329487,89.35398967782965,78.26103991988685,81.39574225623687,90.58943129189674,72.14153980049878,102.22998978654243,64.12603872617467,113.04599868224608,55.02779168645668,122.99692155344832,47.96530819422469,131.9775330416398
150.21773970635093,-36.71298636788691,147.59817329695738,-30.702114461022518,141.28060269519165,-13.22299892532618,125.12763797453908,4.210189744431375,109.98984365767728,19.023923149920677,104.00314055280808,34.39633540236173,100.88778848125253,48.033062493986506,96.46113284580485,63.24641829219354,89.70380767742404,77.55165114924318,81.82003840516018,89.89494569617574,72.65198740723781,101.58829409922203,64.71085633872667,112.48360133598902,55.61024642984114,122.40601066576909,48.58425809278333,131.42748026307822
149.38631753281322,-36.70420229535836,146.92520132300115,-31.149453440482205,140.95326980257357,-13.820331500564464,125.30200594075052,3.4606285287413243,110.4630683072221,18.35475903496115,104.23514173025296,33.63465948027118,101.01550121646608,47.24188098539105,96.64457387381447,62.48172866325382,90.04981357071358,76.8403987313124,82.24151688602149,89.19934696647505,73.15972059688443,100.94563411008147,65.2916911960267,111.91749443172495,56.19114617229707,121.81568401105795,49.20116671789822,130.87637032213206
148.55490063221953,-36.69518326417784,146.24905603811135,-31.584340007096728,140.62060983699178,-14.420881705068894,125.46984916599695,2.708714634993669,110.93039656258668,17.682375573647448,104.46848820683613,32.87326213685566,101.14617437493484,46.45024264602847,96.82800720695877,61.715884586625975,90.39195623243336,76.12730556105458,82.66014688372013,88.50262563797975,73.66471798199632,100.30198285268631,65.86852056172074,111.34770696281998,56.77048599338309,121.22586250915845,49.816021981660356,130.3241768189812
147.72348910016387,-36.685961679073955,145.5697622401027,-32.00692132378873,140.28270722461946,-15.02438387970625,125.63066638437692,1.9545614961314755,111.39165253637213,17.006796655647577,104.70316571855165,32.11215060635726,101.2797469633623,45.65819182485808,97.01143291642393,60.94892120626804,90.73018453731856,75.41239453342973,83.07589758315532,87.80477224587503,74.16695817513107,99.65731336060202,66.44132169945499,110.77426792264026,57.34826097265773,120.63646707991387,50.42881179616029,129.7708733538053
146.89208303223984,-36.67656994477505,144.88734472678993,-32.417344553480746,139.93964639162982,-15.630572365343255,125.78395632998888,1.1982825450976975,111.84666034117947,16.32804617062959,104.93916000139336,31.351332123017812,101.41615798845214,44.86577287083918,97.19485107339642,60.1808736661381,91.06444736010428,74.69568854339792,83.48873816922628,87.10577732534603,74.6664197888465,99.01159866739414,67.01007187287553,110.19720630455197,57.924466189679606,120.04741864316765,51.03952407348879,129.21643352678427
146.06068252404145,-36.66704046600995,144.20182829598798,-32.8157568590953,139.59151176419618,-16.239181502846748,125.92921773693138,0.4399912148354588,112.29524408960958,15.646148008261605,105.17645679135524,30.590813921079302,101.55534645690761,44.07303013293114,97.3782617490624,59.41177711019435,91.39469357552571,73.97721048591916,83.89863782683233,86.40563141157793,75.16308143570006,98.3648118066281,67.57474834562834,109.61655110192129,58.499096724007245,119.45863811876313,51.64814672573641,128.6608309380979
145.22928767116252,-36.657405647507005,143.51323774551156,-33.202305403555044,139.23838776849163,-16.84994563308345,126.06594933930296,-0.32019906171234425,112.73722789426347,14.961126058211619,105.41504182443146,29.83060323478361,101.69725137543253,43.280007960093144,97.56166501460837,58.64166668239477,91.72087205831781,73.25698325595351,84.30556574087245,85.70432503975582,75.65692172824947,97.71692581186949,68.13532838135973,109.03233130811441,59.0721476551995,118.87004642654375,52.25466766499392,128.10403918792593
144.39789856919708,-36.6476978939948,142.8215978731755,-33.57713734978262,138.8803588306896,-17.462599096920144,126.19364987120207,-1.0821748516025878,113.17243586774225,14.273004210147747,105.65490083661575,29.07070729837278,101.84181175073013,42.48675070128456,97.74506094122034,57.87057752669756,92.04293168321601,72.535029748461,84.7094910962461,85.00184874506488,76.1479192790523,97.06791371668368,68.69178924371568,108.44457591649746,59.64361406281478,118.28156448635286,52.85907480335209,127.5460318764483
143.5665153137387,-36.63794961020193,142.12693347679453,-33.94039986070055,138.5175093769633,-18.07687623522355,126.31181806672714,-1.8458227218922616,113.6006921226467,13.581806353737989,105.89601956390231,28.311133346088695,101.98896658950412,41.693302705464646,97.92844960008495,57.098544787060746,92.36082132495517,71.81137285840168,85.11038307785248,84.29819306269025,76.63605270066626,96.41774855463632,69.24410819634227,107.85331392043668,60.2134910264117,117.69311321803394,53.461356052901465,126.98678260384469
142.73513800038143,-36.62819320085697,141.42926935418348,-34.29224009923138,138.1499238334859,-18.69251138886051,126.41995265997684,-2.6110292396383556,114.02182077157795,12.887556378650459,106.13838374228487,27.551888612173286,102.13865489845807,40.899708321592755,98.1118310623882,56.32560360744242,92.67448985827059,71.08603548073563,85.5082108705908,83.59334852781706,77.12130060564903,95.76640335929284,69.79226250288559,107.2585743132982,60.78177362554902,117.1046135414303,54.061499325732825,126.426264970295
141.90376672471916,-36.6184610706884,140.72863030315727,-34.632805228297855,137.77768662643075,-19.309238898697686,126.5175523850495,-3.3776809718979166,114.43564592713687,12.190278174553157,106.38197910775762,26.792980330868488,102.29081568429524,40.10601189862814,98.29520539931661,55.55178913180072,92.98388615789736,70.3590405104228,85.9029436593604,82.88730567563044,77.6036416065582,95.11385116421872,70.33622942699185,106.66038608844815,61.34845693978525,116.51598637638529,54.65949253393683,125.86445257597899
141.07240158234572,-36.60878562442491,140.02504112153053,-34.9622424108224,137.40088218197104,-19.92679310560203,126.60411597604366,-4.145664485727821,114.8419917019246,11.489995631114255,106.62679139631439,26.034415736416292,102.44538795371943,39.31225778553011,98.47857268205632,54.77713650409373,93.28895909857056,69.63041084242337,86.29455062906027,82.1800550413156,78.08305431595147,94.46006500297949,70.87598623230701,106.05877823925277,61.91353604867902,115.92715264274239,55.25532358960413,125.30131902107644
140.2410426688549,-36.59919926679487,139.3185266071181,-35.28069880972765,137.01959492627998,-20.54490835044004,126.67914216705788,-4.9148663481851145,115.24068220854213,10.786732638001638,106.87280634394926,25.276202063058577,102.60231071343401,38.51849033125791,98.66193298179371,54.00168086827955,93.58965755502538,68.90016937169725,86.68300096458995,81.47158716005765,78.55951734638631,93.80501790914064,71.41151018247717,105.4537797590782,62.47700603178896,115.33803326034496,55.848980404825625,124.73683790576729
139.40969007984063,-36.58973440252686,138.60911155773488,-35.58832158793638,136.63390928553088,-21.163318974078777,126.74212969219059,-5.685173126326731,115.63154155959023,10.080513084883535,107.12000968665609,24.518346545037332,102.76152297014255,37.72475388477096,98.84528636971515,53.225457368316256,93.88593040199703,68.16833899320454,87.06826385084844,80.76189256704168,79.03300931042054,93.14868291626766,71.94277854114853,104.84541964129062,63.03886196867359,114.74854914903642,56.44045089169174,124.1709828302312
138.5783439108967,-36.58042343634958,137.8968207711955,-35.885257908370875,136.24390968589705,-21.781759317384797,126.79257728554035,-6.456471387209717,116.01439386767004,9.371360861427945,107.36838716042905,23.760856416594436,102.92296373054853,36.931092795028405,99.02863291700692,52.44850114816194,94.17772651422047,67.43494260190533,87.45030847273506,80.05096179745294,79.50350882061161,92.49103305792607,72.46976857196717,104.23372687925621,63.59909893889164,114.15862122866014,57.02972296229336,123.60372739464799
137.74700425761705,-36.57129877299138,137.18167904531492,-36.1716549339539,135.8496805535516,-22.39996372122488,126.8299836812057,-7.228647697890949,116.38906324538266,8.65929985730287,107.61792450126188,23.003738911971936,103.08657200135553,36.13755141098966,99.21197269485526,51.67084735177474,94.464994766431,66.70000309275957,87.82910401514903,79.3387853864765,79.97099448951747,91.83204136768137,72.99245753857917,103.6187304663411,64.15771202200165,113.56817041905947,57.61678452872104,123.03504519919761
136.91567121559558,-36.56239281718098,136.46371117790784,-36.447659827608106,135.45130631466793,-23.017666526465916,126.85384761328498,-8.00158862542753,116.75537380532876,7.9443539621764785,107.86860744514865,22.247001265411654,103.25228678926703,35.34417408161397,99.39530577444646,50.89253112311269,94.74768403336361,65.96354336072739,88.20461966298967,78.62535386929756,80.43544492969545,91.17168087909909,73.51082270463053,103.00045939591155,64.71469629756223,112.97711764007784,58.20162350306555,122.46490984405972
136.0843448804261,-36.55373797364683,135.7429419667891,-36.7134197522559,135.04887139541916,-23.634602073974577,126.86366781587685,-8.775180736876337,117.11314966010968,7.226547065716716,108.12042172808344,21.49065071115558,103.42004710098661,34.55100515586065,99.57863222696699,50.11358760613393,95.02574318975348,65.22558630076878,88.57682460115609,77.91065778110118,80.89683875370326,90.50992462574465,74.02484133376743,102.37894266133361,65.27004684513201,112.3853838115586,58.78422779741754,121.89329492941414
135.25302534770242,-36.54536664711753,135.0193962097735,-36.96908187082005,134.6424602219787,-24.25050470461764,126.86316079880487,-9.549310599294358,117.4622149223261,6.505903057591752,108.37335308606009,20.734694483445708,103.58979194321773,33.758088982689,99.7619521236029,49.334051944796556,95.29912111033582,64.48615480784383,88.94568801454761,77.19468765707256,81.35515457409872,89.84674564118359,74.53449068963596,101.75420925597354,65.82375874426975,111.79288985334523,59.3645853238678,121.32017405544076
134.42171271301856,-36.53731124232155,134.2930987046758,-37.21479334622296,134.23215722051964,-24.865108759261886,126.86025255431662,-10.323864779738642,117.80239370457923,5.78244582746953,108.62738725507256,19.979139816523855,103.76146032266388,32.965469911058335,99.94526553554067,48.553959283058646,95.5677666698457,63.745271776912546,89.31117908806345,76.47743403239684,81.81037100343929,89.18211695898145,75.03974803588233,101.12628817319751,66.37582707453373,111.19955668528104,59.942683994506865,120.74552082231935
133.59040707196823,-36.529604163987585,133.56407424931092,-37.4507013413874,133.8180468172152,-25.47814857877421,126.85517452336205,-11.09872984526612,118.13351011946997,5.056199265018222,108.88250997111493,19.22399394463207,103.93499124602863,32.1731922899279,100.12857253396658,47.77334476487829,95.8316287430182,63.00296010293499,89.67326700660294,75.75888744225921,82.26246665428266,88.51601161270366,75.54059063615239,100.49520840637166,66.92624691548292,110.60530522720944,60.51851172142551,120.16930883022968
