1,,2,,3,,4,,5,,6,,7,,8,,9,,10,
102.85714285714289,-16.11910796827948,101.16652578191042,-15.510485821195829,72.08791208791217,-24.436943978423187,59.915469146238365,-32.010908475464646,57.54860524091299,-42.357484975887274,53.49112426035509,-49.66095074089151,43.82079459002534,-57.978786751035216,28.267117497886773,-62.23914178062108,14.404057480980555,-71.63897271891352,7.641589180050687,-83.1351688304942
102.41181783983654,-15.656926940149845,100.74108660341142,-15.049567777917616,72.48686305305,-24.017348025913748,60.23064314460743,-31.47293086407916,57.592056056608044,-41.73403443223006,53.693537435581504,-49.1512286521118,44.21302118687555,-57.51208079403648,28.749372291291763,-61.95568916884986,14.896969185571493,-71.19077002438684,8.035312366484447,-82.69399012154878
101.96541574169152,-15.197806153941343,100.31447451653253,-14.590307022755553,72.87952961386429,-23.58759966698591,60.544032579792315,-30.935878623126996,57.64216826419755,-41.11212417152976,53.893503466682034,-48.63445542842621,44.60169090397386,-57.04179688372767,29.229497397506407,-61.669088955669224,15.38983363432152,-70.74670751546901,8.429627453870069,-82.25218065057399
101.5179394379976,-14.741701896548733,99.88669380056655,-14.132697859497625,73.26566432750468,-23.14796943011666,60.85563108592345,-30.399711329295457,57.69876333219412,-40.49175714630766,54.09097215950294,-48.11085727933465,44.98672508861449,-56.56798425089352,29.707454958111214,-61.379357871446956,15.882650762845799,-70.30667649945983,8.824531637450207,-81.80976696666463
101.06939180404447,-14.2885704548668,99.4577487348061,-13.676734591931762,73.64501975112074,-22.698727843783047,61.16543229713119,-29.864388559271816,57.76166272911047,-39.87293630908496,54.28589331989059,-47.58066041433702,45.36804508809155,-56.09069212631886,30.183207114686525,-61.08651264655089,16.375420506759497,-69.87056828365897,9.220022112467632,-81.36677561891545
100.61977571512193,-13.838368115790331,99.02764359854399,-13.222411523845977,74.01734844186217,-22.240145436462058,61.473429847545844,-29.329869889743406,57.83068792345915,-39.255664612383015,54.47821675369124,-47.04409104293322,45.74557224969914,-55.609969740788415,30.656716008812737,-60.79057001134876,16.868142801677834,-69.43827417536625,9.616096074165057,-80.92323315642119
100.16909404651972,-13.391051166214083,98.59638267107294,-12.769722959028229,74.3824029568786,-21.772492736630653,61.77961737129789,-28.7961148973975,57.90566038375289,-38.639945008723004,54.66789226675127,-46.50137537462311,46.11922792073142,-55.125866325087,31.127943782070304,-60.49154669620842,17.36081758321592,-69.00968548188138,10.012750717785138,-80.4791661282766
99.71734967352756,-12.946575893032872,98.16397023168565,-12.318663201266475,74.73993585331954,-21.296040272765907,62.08398850251763,-28.263083158921404,57.986401578504285,-38.02578045062626,54.85486966491692,-45.952739618906605,46.4889334484825,-54.638431109999374,31.59685257603968,-60.189459431497596,17.853444786988973,-68.58469351050414,10.40998323857059,-80.03460108357646
99.26454547143521,-12.504898583141454,97.73041055967485,-11.8692265543487,75.08969968833475,-20.811058573344752,62.38653687533542,-27.730734251002417,58.07273297622595,-37.41317389061396,55.03909875403457,-45.398409985283564,46.85461018024648,-54.14771332631034,32.06340453230115,-59.88432494758413,18.34602434861216,-68.16318956853425,10.80779083176418,-79.58956457141551
98.81068431553246,-12.065975523434645,97.29570793433328,-11.421407322062862,75.4314470190738,-20.317818166844262,62.687256123881696,-27.199027750327843,58.164476045430604,-36.80212828120747,55.220529339950474,-44.838612683253956,47.21617946331753,-53.65376220480462,32.52756179243528,-59.576159974835804,18.838556203700705,-67.74506496327149,11.206170692608566,-79.14408314088851
98.35576908110897,-11.629763000807174,96.85986663495368,-10.975199808196976,75.76493040268628,-19.81658958174137,62.98613988228675,-26.66792323358493,58.26145225463091,-36.19264657492798,55.39911122851095,-44.27357392231761,47.573562644989806,-53.156626976267034,32.98928649802235,-59.26498124362038,19.331040287869712,-67.33021100201557,11.605120016346518,-78.69818334109021
97.89980264345456,-11.196217302153883,96.42289094082872,-10.530598316538942,76.08990239632186,-19.307643346513146,63.283181784681005,-26.137380277461034,58.36348307233936,-35.58473172429677,55.57479422556236,-43.70351991197441,47.92668107255736,-52.65635687148236,33.448540790642824,-58.950805484305704,19.823476536734404,-66.91851899206631,12.004635998220635,-78.25189172111538
97.4427878778589,-10.765294714369475,95.98478513125116,-10.087597150876803,76.40611555713019,-18.791249989636526,63.578375465194824,-25.607358458643432,58.47038996706874,-34.97838668183513,55.74752813695096,-43.1286768617243,48.27545609331435,-52.15300112123535,33.90528681187709,-58.63364942725954,20.315864885909946,-66.50988024072339,12.404715833473745,-77.80523483005877
96.98472765961185,-10.33695152434882,95.54555348551378,-9.64619061499846,76.7133224422609,-18.267680039588583,63.87171455795857,-25.0778173538194,58.581994407331706,-34.37361440006427,55.917262768523074,-42.54927098106717,48.61980905455499,-51.646608956310786,34.359486703305606,-58.313529802849644,20.808205271011502,-66.10418605528659,12.805356717348502,-77.35823921701513
96.52562486400302,-9.911144018986619,95.10520028290921,-9.206373012691955,77.01127560886351,-17.73720402484625,64.1631926971026,-24.548716539676263,58.69811786164075,-33.77041783150551,56.083947926125006,-41.965528479502865,48.959661303573284,-51.13722960749345,34.81110260650877,-57.99046334144387,21.300497627654295,-65.70132774305566,13.206555845087564,-76.91093143107923
96.06548236632227,-9.487828485177715,94.66372980273019,-8.768138647745218,77.29972761408777,-17.20009247388657,64.45280351675729,-24.020015592901302,58.81858179850866,-33.1687999286801,56.24753341560313,-41.37767556653131,49.29493418766339,-50.62491230556813,35.26009666306703,-57.66446677340997,21.79274189145343,-65.30119661133037,13.608310411933758,-76.4633380213458
95.60430304185928,-9.066961209816839,94.22114632426951,-8.331481823946206,77.5784310150832,-16.656615915186563,64.74054065105304,-23.491674090181817,58.943207686448034,-32.56876364410928,56.40796904280364,-40.785938451652385,49.62554905411952,-50.109706281319575,35.70643101456068,-57.335556829115774,22.28493799802419,-64.90368396741042,14.010617613129682,-76.01548553690967
95.14208976590385,-8.648498479798832,93.7774541268198,-7.896396845082961,77.84713836899954,-16.10704487722319,65.02639773412022,-22.963651608205083,59.07181699397154,-31.970311930314324,56.56520461357297,-40.190543344366006,49.95142725023567,-49.591660765532595,36.15006780257022,-57.003750238929,22.77708588298168,-64.5086811185956,14.413474643918107,-75.5674005268655
94.6788454137457,-8.232396582018424,93.33265748967392,-7.462878014943357,78.10560223298631,-15.551649888473492,65.31036840008915,-22.43590772365843,59.20423118959178,-31.3734477398165,56.71918993375732,-39.59171645417206,50.272490123306056,-49.070824988991944,36.59096916867611,-56.66906373321754,23.269185481941065,-64.11607937218568,14.816878699541746,-75.11910954030807
94.2145728606746,-7.818611803370402,92.88676069212448,-7.030919637315435,78.35357516419322,-14.990701477414433,65.59244628309023,-21.908402013229164,59.34027174182137,-30.778174025137076,56.86987480920311,-38.98968399057043,50.588659020624846,-48.547248182482406,37.029097254458634,-56.33151404234911,23.761236730517624,-63.725770035480366,15.220826975243256,-74.67063912633219
93.7492749819802,-7.407100430749551,92.43976801346423,-6.600516015987154,78.59080971976982,-14.42447017252303,65.87262501725377,-21.381094053604556,59.47976011917302,-30.1844937387973,57.017209045756545,-38.384672163061,50.899855289486084,-48.02097957678876,37.4644142014983,-55.99111789669152,24.253239564326407,-63.33764441577941,15.625316666265405,-74.22201583403256
93.28295465295236,-6.997818751050687,91.99168373298596,-6.1716614547464985,78.81705845686577,-13.853226502276328,66.15089823671025,-20.853943421471882,59.62251779015941,-29.59240983331844,57.16114244926405,-37.776907181143656,51.206000277183875,-47.49206840269579,37.89688215137545,-55.64789202661257,24.745193918982636,-62.951593820382584,16.03034496785091,-73.77326621250398
