1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,
56.40649948342258,-67.2627198999175,54.490466798159105,-66.60901463082769,40.17657556119093,-48.463058023332565,20.046961585423162,-33.54054463928077,10.534422842115077,-29.39289741471049,7.288438057668657,-22.67551223578681,0,-2.0424700642830658,2.8928336620643336,8.364217265481102,16.48539494693324,21.3481564032665,27.147553301399483,31.37915104964577,33.5718981872827,43.61921867432875,37.899877899877794,54.46170951681955,41.25857048933972,66.34111216545307,44.48201371278296,75.80856778675471,47.05175166713619,86.06497804316504,47.93087254625712,96.0058064455319,48.742368742368626,103.91789435761984,50.83873391565692,111.28898480563353
56.66633163334032,-66.52083123589824,54.79239432361456,-65.88731229964452,40.8771722744834,-48.32807027260236,20.819598173076912,-33.524478190230525,11.33095504478041,-29.40250034480107,7.999417346220156,-22.871886373227085,0.5009622900996646,-2.4357860628027197,3.2026069034402838,7.799664731104684,16.373131080109545,20.74699700827344,27.026328795638392,30.712898248520247,33.485748418127,42.91061557279829,37.83646066791019,53.76968392322112,41.21757878352227,65.63733201331914,44.416017984935706,75.11830131213799,47.04961285182486,85.33745577908769,47.92934273818588,95.29079871489608,48.72129396703545,103.22220405752878,50.78569254813431,110.57400153438749
56.92583441249647,-65.77931995625812,55.09398783294796,-65.16609825460012,41.573694716172696,-48.18584626862361,21.59154559578755,-33.513474588918825,12.127522214728373,-29.415496376724377,8.711051240589796,-23.06798663536307,1.0041778308337541,-2.838700703027172,3.516290409673161,7.2301388901589405,16.26684776610074,20.138064209043847,26.903429125155384,30.048789063251036,33.396181544979754,42.20429528506281,37.769323568960004,53.077733979000385,41.172487034933965,64.93313434095438,44.3473707431649,74.42738287966208,47.043256792327895,84.61113085328682,47.92480331868563,94.57611249389655,48.69886479783983,102.52648260373422,50.7324985349226,109.85932669886762
57.18500734328674,-65.03817632564426,55.39523994442072,-64.4453557576162,42.266107096720845,-48.036418910821794,22.362806202233344,-33.50728404752016,12.924124284555234,-29.43176341487407,9.42333740475496,-23.263686045408747,1.5096240621474237,-3.2507973617543087,3.83383009598532,6.655893545672029,16.1663813059551,19.52161732631032,26.778882864333013,29.38675294547096,33.303270763374826,41.5001995611851,37.69855021462328,52.385878693006134,41.123399822578705,64.22855302369709,44.27612254512118,73.73584551420342,47.032774068300796,83.8859915851362,47.917329294826686,93.8617470649011,48.67510738454192,101.83073317269333,50.67915263076023,109.1449537605526
57.44384994810679,-64.29739060870378,55.69614327629429,-63.72506807061461,42.9543736265899,-47.87982109862236,23.1333823410925,-33.50565677820907,13.720761186857345,-29.45117936364403,10.136273502692973,-23.458857626578208,2.017278423985914,-3.671659415782017,4.155171877599088,6.0771825006720235,16.07156800072076,18.897915680805454,26.652718587553778,28.72671934681287,33.20708926884603,40.798270151228024,37.62422421649603,51.69413707408725,41.07042172546031,63.52362193688563,44.20232394845519,73.04372224063835,47.0182552593991,83.16202629400965,47.90699567367932,93.14770171027743,48.650047876901795,101.1349589408633,50.625655590385634,108.43087618092102
57.70236174935229,-63.55695307008369,55.99669044683006,-63.005218455517024,43.638458516241826,-47.716085731450676,23.903276361043282,-33.508342993160284,14.517432854231032,-29.47362212742786,10.849857198381159,-23.653374402085433,2.5271183562944373,-4.100870241908126,4.480261669736819,5.494259558187082,15.98224415144594,18.267218593261816,26.524964869200204,28.06861771890962,33.10771025692722,40.09844880525438,37.54642918617435,51.002528131092504,41.013657322582645,62.818374955858275,44.1260255108175,72.35104608384333,46.999790945278306,82.43922329928091,47.89387746231375,92.43397571239342,48.623712424679695,100.4391630847013,50.57200816853728,107.71708742145162
57.960542269418966,-62.816853974431126,56.29687407428946,-62.285790174245335,44.31832597613874,-47.545245708732295,24.67249061076393,-33.51509290454817,15.314139219272619,-29.498969610619383,11.5640861557969,-23.847109395144457,3.0391212990182055,-4.538013216930551,4.809045387620813,4.907378521245278,15.89824605917886,17.629785384412003,26.395650283654845,27.412377513393977,33.0052069231522,39.400677273327034,37.46524873525419,50.311070872870715,40.953211192949595,62.11284595595336,44.047277789858754,71.65785006869467,46.977471705593985,81.7175709203238,47.8780496678003,91.72056835361678,48.59612717763571,99.74334878066458,50.518211119953605,107.00358094362306
58.21839103070249,-62.0770835863932,56.59668677693392,-61.56676648872127,44.99394021674263,-47.367333929892595,25.44102743893265,-33.525656724547446,16.1108802145784,-29.527099717612316,12.278958038917523,-24.03993562896926,3.5532646921024025,-4.982671717647179,5.141468946473424,4.316793192874741,15.81941002496768,16.98587537498861,26.264803405300228,26.757928181898848,32.89965246305485,38.70489730550881,37.380766475331654,49.619784308270766,40.889187915565,61.40706881250918,43.96613134322956,70.96416722006884,46.95138812000161,80.99705747651208,47.8595872972092,91.00747891631528,48.56731828553001,99.04751920521025,50.46426519937302,106.29035020891399
58.475907555598525,-61.337632170616985,56.89612117302488,-60.84813066086656,45.66526544851553,-47.18238329435701,26.208889194227737,-33.53978466533266,16.907655772744732,-29.557890352800428,12.994470511720351,-24.23172612677388,4.069525975492269,-5.434429120855896,5.477478261517007,3.7227573761036012,15.745572349860652,16.335747885724203,26.132452808518877,26.105199176057027,32.79112007216898,38.01105065186255,37.29306601800272,48.928687446141424,40.82169206943274,60.70107740086405,43.882636728580536,70.27003056284218,46.92163076815672,80.27767128721959,47.838565357610776,90.29470668285674,48.53731189812274,98.35167753479556,50.41017116153398,105.57738867880309
58.73309136650283,-60.598489991749545,57.19516988082373,-60.1298659526031,46.33226588191948,-46.99042670155103,26.976078225327427,-33.55722693907836,17.704465826367908,-29.59121942057743,13.710621238182739,-24.422353911772348,4.587882589133017,-5.892868803354531,5.81701924797386,3.1255248739599892,15.676569334905935,15.67966223735138,25.998627067693292,25.45411994750137,32.679682946028436,37.31907906245107,37.202230974863454,48.23779929533154,40.75082823355669,59.99490559635632,43.79684450356231,69.57547312189112,46.88829022971484,79.55940067182004,47.81505885607524,89.58225093560893,48.506134165174046,97.65582694587766,50.355929761174934,104.86468981476901
