1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,
48.847562693716554,73.56570952423237,54.46041138348835,65.31549819709801,58.450267681037076,46.56091944251915,66.06931530008433,29.632207129191613,50.1098901098901,14.687152184136494,38.63623555931247,4.115160073682887,28.222034375880526,-13.33200814271595,25.3817976894901,-26.4061135245139,23.330515638207885,-49.46613043068453,25.043674274443447,-66.50755054902754,28.35728374189921,-84.13505125345137,43.77571146801915,-96.30749419512517,62.66553958861664,-93.53488219174392,74.86052409129343,-86.61462296379239,88.98656898656907,-84.30786988780858,95.57621865314172,-76.3807542683852
49.38685913575216,73.55961292759753,54.93724723621244,65.64336806339043,58.61178434612464,46.86792372838261,66.09806684230784,30.12354363241542,50.53164814478487,15.050998888687332,39.03399082112969,4.452907936802717,28.517815451096453,-12.849758230799125,25.50540868321127,-25.89367602761297,23.439848873624328,-48.96274120757221,25.069258135737414,-65.95312256614466,28.2290494715088,-83.58108763895302,43.30563170294624,-96.00740931977498,62.05049026032725,-93.51234455154099,74.26940178245115,-86.67261684940866,88.49043341619074,-84.40226676209227,95.13866016816792,-76.69382218012777
49.92579632925708,73.54856598312216,55.414195385260086,65.9597207449354,58.77743874813541,47.18721161276579,66.12766204045488,30.616897861740256,50.95065134368144,15.418347169886033,39.430373164452476,4.791471939544408,28.814899155501962,-12.370102890489761,25.63258038524964,-25.38381114776132,23.549297181739576,-48.45837362989721,25.094799259481306,-65.39891997251243,28.101002643149286,-83.02727902484503,42.83938780205824,-95.70217686024932,61.43758678776044,-93.48721594030394,73.67805967321192,-86.73589174531594,87.99410197829661,-84.4986513279141,94.70001855845157,-77.00529840132697
50.46437432822472,73.53265218700636,55.891255466197435,66.26468875671355,58.947161019960845,47.51835061627821,66.15808798825753,31.11221165025404,51.36676995256039,15.789165098614376,39.82535775786948,5.130864120991987,29.113288669408234,-11.89299995542899,25.763265599602846,-24.876499883397173,23.658860001288986,-47.95305039259438,25.120297080009095,-64.84493799352242,27.97322623728587,-82.4736200949302,42.37703869393147,-95.39185355589598,60.82684637386467,-93.4594242576087,73.08649938070505,-86.80421384310375,87.49757562833327,-84.59696755641778,94.26029906321719,-77.31516723668483
51.002593186648596,73.51195503545028,56.368427114590304,66.55840461370542,59.12088129449273,47.86090825952931,66.18933177944825,31.609426831044402,51.77987421740215,16.16342074575448,40.2189197699696,5.47109652022948,29.412987173126226,-11.418407259258174,25.897417130267968,-24.371723232959084,23.768536771007803,-47.44679419059878,25.145751031654868,-64.29117185456619,27.84580323438422,-81.92010553301122,41.9186433071427,-95.07649614606237,60.218286221588414,-93.42889740303099,72.49472252205999,-86.87734933436116,87.0008553217474,-84.69715941874676,93.8195069216896,-77.62341299090326
51.54045295852177,73.48655802465413,56.84570996600473,66.84100083089163,59.29852970462241,48.21445206312853,66.22138050775914,32.10848523719926,52.18983438418718,16.541082182188347,40.61103436934172,5.812181176340914,29.71399784696723,-10.946282635618331,26.03498778124242,-23.869462194885273,23.878326929631385,-46.939627718845486,25.171160548752596,-63.73761678103551,27.718816614909656,-81.36673002289092,41.46426057026838,-94.75616137009604,59.611923533880145,-93.39556327614673,71.90273071440606,-86.95506441067766,86.50394201398558,-84.79917088604452,93.3776473730934,-77.93001996868452
52.07795369783787,73.45654465081793,57.32310365600665,67.11260992325265,59.480036383241554,48.578549547685384,66.25422126692263,32.60932870180636,52.59652069889603,16.9221174787981,41.00167672457462,6.154130128410202,30.016323871242435,-10.476583918150936,26.175930356523736,-23.36969776761407,23.98822991589509,-46.431573672269224,25.19652506563625,-63.18426799832196,27.5923493593275,-80.81348824837221,41.01394941188505,-94.43090596734453,59.007775513688216,-93.35934977653164,71.31052557487271,-87.03712526364222,86.00683666049451,-84.90294592945463,92.9347256566532,-78.23497247473028
52.61509545859019,73.42199841014184,57.800607820161986,67.37336440576911,59.66533146324173,48.95276823380925,66.28784115067106,33.111899057953394,52.99980340750915,17.30649470646574,41.3908220042573,6.49695541552137,30.319968426263017,-10.009268940497122,26.320197660109102,-22.872410949583923,24.098245168534277,-45.92265474580529,25.221844016639807,-62.63112073181719,27.466484448103415,-80.26037489325779,40.56776876056915,-94.1007866771555,58.405859363961326,-93.32018480376166,70.71810872058938,-87.12329808484446,85.50954021672067,-85.00842852012067,92.49074701159395,-78.5382548137427
53.15187829477202,73.38300279882611,58.27822209403678,67.62339679342159,59.85434507751438,49.33667564210975,66.32222725273652,33.616138138728274,53.3995527560071,17.694181936073164,41.778445376978425,6.840669076758331,30.624934692340048,-9.544295536298023,26.467742495995935,-22.377582739233162,24.208372126284303,-45.412893634388524,25.24711683609746,-62.07817020691277,27.341304861702724,-79.70738464135059,40.12577754489746,-93.76586023887637,57.806192287647605,-93.27799625741238,70.1254817686854,-87.21334906587344,85.01205363811073,-85.115562629186,92.04571667714004,-78.8398512904239
53.68830226037676,73.33964131307079,58.755946113196956,67.86283960119061,60.04700735895119,49.72983929319622,66.35736666685136,34.12198777721869,53.79563899037021,18.085147238502486,42.16452201132688,7.185283151205226,30.93122584978471,-9.081621539194884,26.618517668181653,-21.88519413500012,24.318610227880413,-44.90231303295377,25.27234295834296,-61.52541164900026,27.216893580590863,-79.15451217645318,39.6880346934463,-93.42618339185469,57.20879148769575,-93.23271203705974,69.5326463362901,-87.30704439831845,84.5143778801114,-85.2242922277942,91.59963989251628,-79.13974620947556
54.224367409397814,73.29199744907606,59.23377951320845,68.09182534405682,60.24324844044372,50.13182670767816,66.39324648674801,34.629389806512506,54.18793235657904,18.479358684635713,42.54902707589167,7.530809677945854,31.238845078908184,-8.621204782829068,26.772475980663557,-21.39522613532324,24.42895891205808,-44.390935636436325,25.297521817710503,-60.97284028347144,27.09333358523338,-78.6017521823685,39.254599134792215,-93.08181287543812,56.613674167054114,-93.18426004227956,68.93960404053303,-87.40415027376889,84.01651389816925,-85.33456128708872,91.1525218969474,-79.43792387560006
54.760073795828475,73.24015470304198,59.71172192963729,68.31048653700077,60.44299845488342,50.54220540616501,66.42985380615858,35.13828605969741,54.576303100614155,18.87678434535485,42.93193573926146,7.877260696064468,31.547795560021655,-8.16300310084182,26.929570237438952,-20.907659738640746,24.539417617552658,-43.878784139770914,25.322652848534062,-60.42045133571787,26.970707856095487,-78.04909934289924,38.82552979751188,-92.73280542897407,56.02085752867117,-93.13256817264755,68.3463564985434,-87.50443288381393,83.51846264773098,-85.44631377821327,90.70436792965802,-79.73436859349908
55.295421473662145,73.1841965711688,60.18977299804942,68.51895569500294,60.64618753516186,50.96054290926634,66.46717571881538,35.6486183698612,54.960621468455884,19.2773922915419,43.31322317002525,8.224648244644868,31.858080473436303,-7.70697432687416,27.089753242505367,-20.42247594339119,24.649985783099396,-43.36588123789272,25.34773548514761,-59.86824003113122,26.84909937364273,-77.49654834184832,38.40088561018183,-92.37921779181022,55.430358775495506,-93.07756432773965,67.75290532745078,-87.60765842004287,83.02022508424307,-85.5594936723113,90.25518322987273,-80.02906466787476
55.830410496892114,73.1242065496566,60.66793235401087,68.71736533304403,60.8527458141707,51.38640673759153,66.50519931845076,36.160328570091735,55.34075770608467,19.6811505940791,43.69286453677171,8.57298436277108,32.1697029994632,-7.25307629456745,27.252977799860105,-19.939655748012683,24.76066284743365,-42.852249625736476,25.372769161885117,-59.31620159510294,26.72859111834066,-76.94409386301857,37.980725501378515,-92.0211067032941,54.842195110475245,-93.01917640713145,67.15925214438437,-87.7135930740451,82.52180216315219,-85.67404494052619,89.80497303681636,-80.32199640342913
56.365040919511785,73.06026813470555,61.14619963308735,68.90584796610449,61.06260342480141,51.81936441175003,66.54391169879705,36.67335849347671,55.7165820594812,20.08802732384811,44.07083500808983,8.922281089527132,32.48266631841352,-6.801266837562935,27.419196713500355,-19.459180150943894,24.87144824929078,-42.33791199823747,25.39775331308067,-58.76433125302492,26.6092660706546,-76.39173059021255,37.56510839967848,-91.65852890277313,54.2563837365592,-92.95733231039912,66.56539856647373,-87.82200303740967,82.02319483990505,-85.7899115540016,89.35374258971353,-80.6131481048642
56.89931279551456,72.99246482251579,61.62457447084512,69.08453610916501,61.27569049994554,52.2589834523514,66.58329995358633,37.18764997310399,56.0879647746259,20.497990551731277,44.447109752568394,9.27255046399705,32.79697361059846,-6.3515037895017485,27.588362787423648,-18.981030150622814,24.982341427406254,-41.82289105033044,25.422687373068356,-58.21262423028861,26.491207211049982,-75.8394532072333,37.15409323365839,-91.29154112959498,53.672941856695616,-92.89195993711814,65.9713462108482,-87.93265450172612,81.52440406994822,-85.90703748388103,88.90149712778896,-80.90250407688188
57.43322617889373,72.9208801092874,62.103056502849995,69.25356227720607,61.49193717249477,52.704831380004975,66.62335117655107,37.703144842061306,56.45477609749912,20.911008348610494,44.82166393879629,9.623804525264745,33.1126280563293,-5.903744984025252,27.7604288256274,-18.505186745488118,25.093341820515207,-41.30720947695056,25.44757077618192,-57.66107575228568,26.374497519992246,-75.28725639788354,36.74773893189456,-90.92020012310707,53.09188667383296,-92.82298718686434,65.3770966946372,-88.0453136585835,81.02543080872829,-86.02536670130792,88.44824189026724,-81.1900486241841
57.96678112364282,72.84559749122059,62.58164536466802,69.41305898520824,61.711273575340556,53.15647571532037,66.66405246142347,38.219784933436415,56.816886274081526,21.327048785367765,45.1944727353623,9.976055312414246,33.42963283591689,-5.457948254774692,27.9353476321088,-18.031630933978022,25.204448867352994,-40.79088997303268,25.47240295675556,-57.109681044407694,26.259219977946827,-74.73513484596606,36.346104422963776,-90.54456262265717,52.51323539091982,-92.75034195921376,64.78265163497008,-88.15974669957131,80.52627601169195,-86.14484317742586,87.9939821163731,-81.4757660514731
58.49997768375488,72.76670046451551,63.06034069186501,69.56315874815215,61.933629841374454,53.61348397890697,66.70539090193586,38.73751208031712,57.17416555035334,21.74607993288521,45.5655113108553,10.329314864529579,33.747991129672755,-5.014071435391088,28.11307201086538,-17.56034371453086,25.31566200665509,-40.273955233511856,25.497183349123247,-56.55843533204643,26.145457565379274,-74.18308323528356,35.94924863544236,-90.1646853675926,51.937005210904545,-92.673952153742,64.18801264897616,-88.27571981627864,80.02694063428578,-86.26541088337831,87.53872304533127,-81.75964066345068
59.032815913223544,72.68427252537225,63.539142120007,69.70399408101832,62.15893610348792,54.075423691374226,66.74735359182046,39.256268115791215,57.52648417229534,22.16806986204466,45.934754833864304,10.68359522069477,34.067706117907846,-4.572072359515801,28.29355476589444,-17.091306085585074,25.42698067715685,-39.756427953323055,25.52191138761907,-56.007333840593446,26.03329326275491,-73.63109624963897,35.557230497907085,-89.78062509726101,51.3632133367355,-92.59374567002499,63.59318135378487,-88.39299920029475,79.52742563195648,-86.38701379030886,87.08246991636645,-82.04165676481898
59.565295866042106,72.59839716999096,64.01804928466004,69.8356974987874,62.387122494572736,54.54186237333164,66.7899276248097,39.77599487294651,57.87371238588776,22.592986643728295,46.30217847297786,11.038908419993732,34.388780980933234,-4.131908860790077,28.476748701193287,-16.624499045579,25.538404317593518,-39.23833082740123,25.546586506576887,-55.456371795440305,25.922810050539056,-73.07916857283499,35.17010893893428,-89.39243855101006,50.791876971361376,-92.50965040763845,62.99815936652578,-88.51135104320917,79.02773196015062,-86.50959586936096,86.62522796870314,-82.32179866027991
60.097417596203854,72.50915789457179,64.49706182139005,69.95840151643984,62.61811914752036,55.012367545388656,66.8331000946356,40.296634184870754,58.21572043711126,23.020798348818175,46.667757396784964,11.395266501510378,34.71121889906033,-3.693538772855163,28.66260662075922,-16.15990359295097,25.649932366700455,-38.719686550681445,25.571208140330782,-54.905544421978675,25.81409090919749,-72.52729488867453,34.7879428871006,-89.00018246818706,50.22301331773042,-92.4215942661582,62.402948304328106,-88.63054153661096,78.52786057431479,-86.63310109167821,86.16700244156618,-82.6000506545355
60.62918115770219,72.41663819531487,64.97617936576296,70.07223864895627,62.851856195222354,55.48650672815478,66.87685809503068,40.81812788465169,58.55237857194629,23.451473048196192,47.03146677387451,11.752681504328848,35.035023052600195,-3.2569199293521933,28.85108132858977,-15.697500726139424,25.761564263213018,-38.20051781809855,25.595775723214842,-54.35484694560023,25.707218819195305,-71.9754698809603,34.4107912709826,-88.60391358813968,49.656639578791214,-92.32950514516006,61.80754978432117,-88.7503368720894,78.02781242989556,-86.75747342840418,85.70779857418029,-82.87639705228764
61.16058660453041,72.32092156842037,65.4554015533447,70.17734141131729,63.088263770570165,55.963847442239455,66.92118871972718,41.34041780537717,58.88355703637319,23.884978812744464,47.393281772835394,12.11116546753317,35.360196621863906,-2.8220101639225277,29.042125628682243,-15.237271443582586,25.873299445866564,-37.68084732458772,25.620288689562926,-53.804274591696526,25.602276760998052,-71.42368823349511,34.03871301915672,-88.20368865021555,49.092772957492116,-92.23331094421985,61.21196542363464,-88.8705032412339,77.52758848233975,-86.88265685068211,85.24762160576995,-83.15082215823861
61.69163399068202,72.22209151008838,65.93472801970142,70.27384231850345,63.32727200645559,56.44395720825213,66.96607906245731,41.86344578013495,59.20912607637263,24.32128371334494,47.75317756225627,12.470730430207254,35.68674278716264,-2.3887673102072995,29.23569232503405,-14.779196743718899,25.985137353396453,-37.160697765083796,25.644746473709006,-53.253822585659236,25.49934771507128,-70.87194463008177,33.67176706019961,-87.79956439376201,48.531430656781595,-92.1329395629133,60.61619683939762,-88.99080683563363,77.02718968709382,-87.0085953296558,84.78647677556,-83.42331027709008
