1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,
91.96454807459364,-27.25389068243578,82.22659372125449,-21.843916041691955,67.14628941018114,-9.73909778302749,42.801403526833525,6.896574237260097,29.27646692497396,-8.995226269925183,21.161504963858107,-20.626671747524483,18.591767009504622,-39.96733108818387,24.069366333257932,-51.86927529782031,27.112477068676327,-62.41872584727105,32.65770107543895,-74.05017132487023,36.377058640950196,-85.20824402140443,43.20715162488935,-94.20232686164121,54.90622178549805,-98.32743252520845
91.90215796411817,-26.586506884492223,82.6131724347077,-21.32916902713339,67.77628915813833,-9.745766836642645,43.42873888347461,6.9353960956077,29.67894559330776,-8.475106087775544,21.46147015747357,-20.11132866237716,18.63494199604915,-39.41108016218783,23.920567441229252,-51.277952367008595,27.045483783914477,-61.74673345026173,32.51271985979096,-73.3727041738046,36.24852083577642,-84.56735605108321,42.99222478169233,-93.62916115098807,54.46949575479809,-97.83037946768303
91.84008746350818,-25.918889758245257,82.99847430030124,-20.810773509814226,68.40217084224608,-9.742379788021367,44.0561591368631,6.965764383167141,30.085776757990715,-7.963946616471162,21.76607300288802,-19.59548206052051,18.685196688655907,-38.84888490526504,23.773657419435864,-50.683314665620685,26.974802157351093,-61.07886456447267,32.36531686767776,-72.6987273012113,36.117507082966625,-83.92593634472519,42.776499115263704,-93.05564046233212,54.03402495884856,-97.33513181323667
91.77837767089076,-25.251044130348077,83.38205858785605,-20.288785231747966,69.02386987145283,-9.72902164820448,44.6836641766092,6.987929056832286,30.496917788399884,-7.461703065429276,22.075263593589,-19.07926196020071,18.742371216749348,-38.280951273571986,23.62876531071052,-50.08545464265262,26.900511119167305,-60.41501134406985,32.21552488993572,-72.02816553573416,35.98404738689064,-83.28401622748834,42.55997808572525,-92.48177915979352,53.599805550903085,-96.841617809382
91.71706968439284,-24.58297482745411,83.76348456719293,-19.763259934947882,69.64132165470696,-9.70577742823275,45.31125389232315,7.002140073496889,30.912326053912096,-6.968330644067066,22.388992023063963,-18.562798379664116,18.806305709753957,-37.70748522326511,23.486020157886003,-49.484464747100446,26.82268959954419,-59.755065943219336,32.06337671740127,-71.36094370601683,35.848171751918045,-82.64162702453058,42.34266515319885,-91.90759160749258,53.16683368421499,-96.34976570363136
91.65620460214163,-23.91468667621649,84.14231150813285,-19.234253361427534,70.254461600957,-9.672732139147001,45.938928173615096,7.008647390054648,31.331958923904295,-6.483784561801599,22.707208384800424,-18.04622133715702,18.876840297094247,-37.1286927105009,23.345551003795066,-48.88043742796032,26.74141652866294,-59.09892051608705,31.90890514091066,-70.69698664070307,35.70991018241867,-81.99880006100977,42.12456377780629,-91.33309216954945,52.73510551203779,-95.85950374349738
91.59582352226411,-23.246184503288532,84.51809868049665,-18.701821253200194,70.86322511915128,-9.629970791988,46.56668691009534,7.0077009633993725,31.75577376775348,-6.008020028050112,23.029862772285895,-17.529660850925723,18.953815108194675,-36.54477969143579,23.207486891270463,-48.273465134228275,26.65677083670468,-58.44646721683915,31.75214295130027,-70.03621916843679,35.56929268276215,-81.3555666620839,41.905677419669445,-90.75829521008438,52.30461718762504,-95.37076017649241
91.53596754288733,-22.577473135323544,84.89040535410535,-18.166019352279363,71.46754761823823,-9.577578397796572,47.19452999137391,6.999550750424817,32.18372795483654,-5.540992252229785,23.35690527900789,-17.01324693921657,19.037070272479752,-35.95595212222622,23.071956863145004,-47.66364031490036,26.56883145385055,-57.797598199641584,31.593122939406527,-69.37856611786151,35.42634925731821,-80.71195815291088,41.686009538910156,-90.18321509321754,51.875364864230136,-94.88346325012907
91.4766777621384,-21.908557398974835,85.25879079877981,-17.626903400678373,72.06736450716633,-9.515639967613481,47.82245730706117,6.984446708024734,32.61577885453042,-5.082656443757685,23.688285998453864,-16.497109620275808,19.126445919373936,-35.36241595902874,22.939089962251415,-47.05105541897274,26.477677310281678,-57.15220561866033,31.431877896065743,-68.72395231762118,35.281109910456536,-80.06800585864863,41.465563595650195,-89.60786618306918,51.44734469510658,-94.3975412119197
91.41799527814439,-21.239442120895603,85.62281428434088,-17.08452914041078,72.66261119488397,-9.444240512479496,48.4504687467672,6.962638793092879,33.051883836212,-4.632967812051049,24.02395502411136,-15.981378912349783,19.221782178301737,-34.76437715799972,22.809015231422478,-46.43580289544144,26.383387336179254,-56.5101816280615,31.268440612114233,-68.07230259635946,35.1336046465469,-79.42374110445508,41.244343050011395,-89.03226284375944,51.02055283350782,-93.91292230937688
91.3599611890323,-20.570132127739157,85.98203508060956,-16.5389523134898,73.25322309033962,-9.36346504343544,49.07856420010225,6.934376962523004,33.492000269258284,-4.191881566527059,24.36386244946786,-15.466184833684736,19.322919178687613,-34.16204167529571,22.681861713491003,-45.81797519330257,26.286040461724355,-55.871418382011086,31.102843878388427,-67.42354178272018,34.98386346995895,-78.77919521548813,41.022351362115586,-88.45641943940859,50.59498543268742,-93.42953479001312
91.30261659292918,-19.900632246158807,86.33601245740667,-15.990228661928995,73.8391356024816,-9.273398571522137,49.706743556676514,6.8999111732089204,33.936085523046216,-3.759352916602836,24.70795836801088,-14.951657402526962,19.429697049956076,-33.55561546707304,22.557758451289686,-45.19766476155223,26.18571561709811,-55.235808034675074,30.935120485724696,-66.77759470534698,34.831916385062385,-78.13439951690572,40.79959199208466,-87.88035033413689,50.17063864589878,-92.94730690134088
91.24600258796218,-19.23094730280775,86.68430568455315,-15.438413927741749,74.42028414025842,-9.174126107780296,50.33500670610019,6.859491382044382,34.38409696695268,-3.3353370716955624,25.0561928732279,-14.437926637122871,19.54195592153158,-32.94530448948831,22.436834487651367,-44.57496404918646,26.082491732481714,-54.603242740219514,30.765303224959297,-66.13438619288365,34.677793396226974,-77.48938533386576,40.576068400040384,-87.30406989206443,49.74750862639539,-92.46616689087261
91.19016027225834,-18.56108212433935,87.02647403186992,-14.883563852941393,74.99660411261854,-9.065732663250742,50.963353537983465,6.813367545923086,34.83599197035463,-2.919789241222361,25.40851605860641,-13.925122555718644,19.659535922838614,-32.331314698697895,22.31921886540877,-43.94996550520136,25.976447738056294,-53.9736146528104,30.59342488692866,-65.49384107397401,34.52152450782236,-76.84418399152617,40.3517840461046,-86.72759247731153,49.32559152743076,-91.98604300612078
91.13513074394464,-17.891041537406807,87.36207676917789,-14.325734179541428,75.5680309285103,-8.948303248974298,51.591783941936484,6.761789621738842,35.29172790262899,-2.5126646346004122,25.764878017633947,-13.413375176560692,19.782277183301716,-31.713852050858236,22.20504062739468,-43.322761578592974,25.867662564002927,-53.34681592661377,30.419518262469097,-64.85588417726177,34.363139724218314,-76.19882681504487,40.12674239039907,-86.1509324539984,48.904883502258286,-91.50686349459801
91.08095510114819,-17.220830368663485,87.69067316629796,-13.764980649555184,76.13449999688217,-8.821922875991731,52.22029780756955,6.705007566385461,35.751262133152665,-2.1139184612468966,26.125228843798055,-12.902814517895251,19.910019832345284,-31.09312250212588,22.094428816441848,-42.693444718357455,25.756215140502803,-52.722738715795685,30.24361614241704,-64.2204403313907,34.202669049784475,-75.55334512957984,39.900946893045756,-85.57410418624511,48.485380704131586,-91.02855660381664
91.02767444199608,-16.55045344476258,88.01182249305097,-13.201359004996164,76.69594672668259,-8.686676555343865,52.848895024492805,6.643271336756641,36.2145520313027,-1.7235059305789946,26.489518630586105,-12.393570597968562,20.04260399939389,-30.46933200865726,21.987512475383085,-42.06210737349079,25.642184397737054,-52.10127517452213,30.0657513176088,-63.587434365004526,34.040142488890666,-74.90777026028894,39.67440101416642,-84.99712203817205,48.06707928630399,-90.55105058128919
90.9753298646153,-15.879915592357406,88.3250840192579,-12.634924987877696,77.25230652685994,-8.54264929807141,53.47757548231644,6.576830889746134,36.68155496645588,-1.3413822520138297,26.857697471485693,-11.885773435027033,20.17986981387193,-29.84268652660876,21.884420647051115,-41.42884199298919,25.525649265886813,-51.482317456959095,29.88595657888075,-62.95679110674706,33.87559004590648,-74.26213353233015,39.44710821388284,-84.42000037389931,47.64997540202907,-90.07427367452823
90.92396246713301,-15.209221638101269,88.63001701473965,-12.065734340213282,77.80351480636264,-8.389926115215246,54.106339070650705,6.505936182247694,37.15222830798925,-0.9675026349685822,27.229715459984305,-11.37955304731696,20.32165740520398,-29.21339201213698,21.785282374278722,-40.79374102584865,25.406688675133267,-50.865757717272686,29.704264717069208,-62.32843538526197,33.70904172520167,-73.61646627086134,39.219071952316966,-83.84275355754716,47.23406520456021,-89.59815413104616
90.87361334767618,-14.538376408647423,88.92618074931713,-11.493842804016197,78.34950697413919,-8.22859201781614,54.73518567910574,6.43083717115519,37.626529425279756,-0.6018222888604328,27.60552268956937,-10.875039453084582,20.46780690281446,-28.58165442139824,21.690226699898687,-40.156896921065254,25.285381555657494,-50.25148810962884,29.52070852301054,-61.702292029193075,33.5405275311459,-72.97079980104047,38.990295689590454,-83.26539595323584,46.81934484715103,-89.12262019835549
