1,,2,,3,,4,,5,,6,,7,
0,-36.63652335872783,12.104818258664409,-33.66103730631863,35.09721048182581,-39.679634094146394,43.21217244294172,-52.325449816885026,39.28994082840228,-69.50211930124689,40.71005917159761,-84.71767297833904,47.134404057480936,-99.52747855737536
0.3780906890090705,-36.05368703612905,12.135599415483341,-32.98914063623357,34.67643671441709,-39.157515667999974,42.99888782465672,-51.62723602062147,39.28789339561888,-68.77954363490122,40.6471038443546,-84.11847814408165,46.88024118796045,-98.87864485146483
0.756291226285839,-35.47155592639939,12.174204712876076,-32.319011970943535,34.260259340304685,-38.633278690996065,42.782978825597354,-50.93315538674719,39.28183714527165,-68.05507769796284,40.58451347699935,-83.51760053589138,46.62760456031731,-98.22830900751032
1.134601651552714,-34.89012118969231,12.220446612676142,-31.65066409337618,33.848728661171094,-38.10692310229297,42.564473508801484,-50.24311640955841,39.27190114936508,-67.3287979870581,40.52229071036106,-82.91507577943375,46.376650761842996,-97.57649455478966
1.513022004532047,-34.30937398616132,12.274137576716953,-30.9841097864591,33.44189497869871,-37.57844884104895,42.34339993730697,-49.557027583351356,39.25821447990353,-66.6007809988134,40.4604381852688,-82.31093950037425,46.12753637982922,-96.92322502258085
1.8915523249463035,-33.729305475959904,12.335090066832038,-30.319361833119984,33.03980859456999,-37.04785584642235,42.11978617415156,-48.874797402422274,39.240906208891545,-65.8711032298551,40.398958542551895,-81.70522732437857,45.880418001567534,-96.26852394016166
2.270192652517892,-33.14990681924161,12.403116544854754,-29.656433016286456,32.64251981046749,-36.51514405757146,41.89366028237316,-48.19633436106736,39.22010540833355,-65.13984117680965,40.33785442303946,-81.09797487711225,45.63545221434953,-95.61241483681007
2.6489430269692207,-32.57116917615991,12.47802947261863,-28.995336118886172,32.25007892807355,-35.980313413654585,41.66505032500959,-47.521546953582884,39.19594115023392,-64.40707133630335,40.277128467560715,-80.48921778424088,45.39279560546686,-94.95492124180393
3.0278034880226414,-31.993083706868305,12.559641311957193,-28.33608392384673,31.86253624907073,-35.44336385382999,41.43398436509864,-46.85034367426502,39.16854250659725,-63.67287020496255,40.216783316944884,-79.87899167142993,45.15260476221101,-94.29606668442116
3.4067740754006763,-31.415641571520297,12.647764524703803,-27.67868921409581,31.479942075141423,-34.90429531725604,41.200490465678115,-46.18263301741004,39.13803854942785,-62.937314279413755,40.156821612021076,-79.2673321643451,44.91503627187359,-93.63587469393966
3.785854828825677,-30.838833930269374,12.742211572691929,-27.023164772561017,31.102346707968138,-34.36310774309101,40.964596689785935,-45.51832347731417,39.10455835073026,-62.20048005628328,40.097245993618515,-78.65427488865188,44.6802467217463,-92.97436879963723
4.165045788020109,-30.26265194326902,12.8427949177551,-26.36952338217003,30.729800449233267,-33.819801070493185,40.726331100459845,-44.8573235482736,39.06823098250891,-61.46244403219751,40.03805910256642,-78.03985547001585,44.44839269912063,-92.31157253079189
4.5443469927062665,-29.687086770672778,12.949327021726731,-25.717777825850447,30.36235360061937,-33.274375238620905,40.48572176073776,-44.199541724584606,39.02918551676822,-60.723282703782814,39.97926357969402,-77.42410953410254,44.21963079128824,-91.64750941668146
4.923758482606672,-29.11212957263413,13.06162034644035,-25.067940886529954,30.00005646380879,-32.72683018663244,40.24279673365737,-43.544886500543384,38.98755102551269,-59.98307256766557,39.92086206583036,-76.80707270657766,43.99411758554072,-90.98220298658381
5.3032802974437345,-28.537771509306594,13.179487353729371,-24.420025347136146,29.642959340484083,-32.17716585368609,39.99758408225665,-42.893266370446156,38.94345658074673,-59.24189012047222,39.862857201804786,-76.18878061310662,43.77200966916956,-90.31567676977684
