1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,
98.25604696446038,-50.57255000032194,83.10811797037735,-42.86333613726197,59.57472828314138,-35.28937164022062,44.223925240030894,-34.07212734605315,34.21547215465455,-42.79571145425274,34.75646961872894,-50.57255000032205,33.60685000757104,-58.68751196143785,34.01259810562675,-64.02986191917228,36.78521010900789,-68.5607156807954,42.73618221382611,-70.92757958612083,45.508794217207424,-72.95632007639966,49.36340114873758,-74.91743588366938,52.068388469109436,-77.48717383802278,54.638126423462666,-76.94617637394828,56.66686691374173,-78.43391940015289,59.84522701517875,-80.86840798848749,60.99484662633682,-82.4237756977015,63.83508331272736,-82.01802759964568,65.39045102194126,-82.55902506372007,67.62206556124801,-83.57339530885957
98.1884989175864,-49.69323333503718,83.57001516844315,-42.12009856668408,60.31839574295344,-34.76168843786263,44.92089415204424,-33.32279666287104,34.76685879657293,-42.117320212455354,34.834139478488,-49.66944586591319,33.61119493202193,-57.85728275153082,33.9567000118343,-63.228591218234214,36.6176031639294,-67.7235908581622,42.34812584242172,-70.14166835464528,45.07757552518319,-72.17917046224318,48.87124135018411,-74.1913211561689,51.53266999338359,-76.7482358575495,54.120085935560724,-76.18610813501562,56.14076502374883,-77.6399958318288,59.33509284207287,-80.15394868432935,60.57230305744298,-81.61267097861725,63.308529383133134,-81.29563674830467,64.85477390738555,-81.92693804005313,67.14177595144173,-82.84105991520318
98.11953575564422,-48.81323044692823,84.03000524137627,-41.37198338768121,61.058216650920315,-34.23423632373516,45.6190863331899,-32.59076818787048,35.32172450025462,-41.43374246370382,34.92903607872387,-48.76850146637878,33.62396506601971,-57.02313862420874,33.9045514033553,-62.42032317030288,36.45210079732141,-66.88619693014482,41.96350535053614,-69.35606964790628,44.648074254507264,-71.40602422584186,48.380708053528565,-73.4663251246289,50.99878797458666,-76.00946810572077,53.602108309085,-75.4315144274945,55.613951158630414,-76.85372393641762,58.82353124996996,-79.43945088447435,60.14471349025922,-80.8092356834191,62.78022170805883,-80.57613458192691,64.31803751129286,-81.28971493218125,66.65836427868777,-82.11066494253004
98.04917442230027,-47.93256500051149,84.48726617569122,-40.61908968669553,61.79413458874109,-33.70686132192611,46.31849935228399,-31.875587417265592,35.88003700302431,-40.74532657391495,35.04023457181165,-47.869870198844865,33.644763450531855,-56.1853122499424,33.85603720540246,-61.6053642726784,36.288796007548626,-66.04853188024993,41.58241249508791,-68.57071231673234,44.22032101760141,-70.63666840427692,47.89186729624163,-72.74234524749005,50.46675046436809,-75.27082404909345,53.0841934341683,-74.68221277656289,55.08642929709612,-76.07488970541675,58.31051264044902,-78.72496700598288,59.71210817109949,-80.013319758112,62.25015588030038,-79.85948121788755,63.78024828543124,-80.64758596944893,66.17181958549048,-81.38223928554947
97.97743186122062,-47.0512606603034,84.94097595790271,-39.861516550169426,62.52609313811496,-33.179409456523274,47.01913077814254,-31.176799847270672,36.44176404220656,-40.05242090900555,35.16681011012639,-46.97370546043754,33.673193126525916,-55.344036299202514,33.81104234318872,-60.78402102266119,36.127781792975725,-65.21059369198412,41.20493903299564,-67.78552521195178,43.79434642688733,-69.87089003462933,47.4047851157938,-72.01927898319309,49.93656551437738,-74.53225715422423,52.56634120094361,-73.93802070739872,54.558203417855395,-75.30327913032363,57.79600741508909,-78.01054946591546,59.274517346278344,-79.22477314870082,61.71832749265394,-79.14563677356165,63.24141268156865,-80.00078138120057,65.68213091435422,-80.65581183897064
97.9043250160716,-46.16934109082041,85.39031257452513,-39.09936306454506,63.25403588074113,-32.65172675161455,47.72097817958172,-30.493950974100017,37.00687335512589,-39.35537383489242,35.3078378460433,-46.08016064828297,33.708857134969435,-54.49954344245981,33.7694517419269,-59.95659991755144,35.969151151967424,-64.37238034885394,40.83117672117794,-67.00043718439315,43.370181094786915,-69.10847615398023,46.9195275496557,-71.29702379017874,49.40824117626386,-73.79372088766985,52.04855149954386,-73.19875574517977,54.02927749961805,-74.53867820263571,57.27998597546923,-77.29625068133254,58.83197126210979,-78.44344580119042,61.18473213791589,-78.43456136632426,62.70153715147325,-79.34953139678078,65.1892873077831,-79.93141149750272
97.8298708305195,-45.286829956578856,85.8344540120732,-38.332728316264706,63.97790639831868,-32.123659231287775,48.42403912541755,-29.82658629396775,37.575332679106964,-38.65453371749231,35.4623929319373,-45.18938915950724,33.751358516829896,-53.65206635018495,33.731150326829834,-59.12340745464945,35.8129970828885,-63.53388983436611,40.4612173165533,-66.21537708488478,42.947855633721815,-68.34921379941068,46.436160635297995,-70.57547712688773,48.881785501677086,-73.05516871598718,51.53082422010192,-72.46423541508409,53.49965552109353,-73.78087291385043,56.76241872316848,-76.58212306929454,58.38450016490822,-77.66918766158568,60.64936540888203,-77.72621511355061,62.160628146912984,-78.69406624553403,64.69327780828161,-79.20906715585488
97.75408624823052,-44.403750922095185,86.27257825706141,-37.56171139177064,64.69764827254681,-31.595052919630803,49.12831118446621,-29.174251303088226,38.14710975147432,-37.950248922722096,35.629550520183614,-44.30154439123635,33.8003003130749,-52.80183769284878,33.6960230231104,-58.284750131255464,35.65941258410356,-62.695120132027114,40.09515257604039,-65.43027376425516,42.52740065611391,-67.59289000800175,45.954750410191195,-69.8545364517608,48.35720654226634,-72.3165541057329,51.013159252750825,-71.73427724228952,52.969341460991586,-73.02964925546519,56.24327605976589,-75.86821904686195,57.93213430098774,-76.90184867589153,60.11222289834876,-77.02055813261569,61.61869211965603,-78.03461615680482,64.19409145835385,-78.48880770873632
97.67698821287098,-43.5201276518859,86.70386329600439,-36.7864113775052,65.41320508512473,-31.065753840731418,49.83379192554372,-28.53649149767557,38.72217230955255,-37.242867816498574,35.808385763157276,-43.416779740596496,33.85528556467193,-51.94909014092201,33.66395475598142,-57.44093444466972,35.50849065397733,-61.856069225343674,39.73307425655776,-64.64505607333274,42.10884677438486,-66.83929181683453,45.47536291180592,-69.13409922323865,47.83451234968118,-71.57783052346383,50.49555648762339,-71.00869875197395,52.438339298021674,-72.28479321897754,55.72252838684051,-75.15459103109526,57.4749039166627,-76.14127879011284,59.57330019911211,-76.31755054089467,61.075735521470335,-77.37141135993761,63.69171730050442,-77.77066205085623
97.5985936681073,-42.63598381046728,87.12748711541673,-36.00692735991049,66.12452041775151,-30.53560801867752,50.54047891746626,-27.912852373944133,39.30048809066625,-36.5327387647385,35.99797381323333,-42.53524860471373,33.915917312588476,-51.094056364875314,33.63483045065573,-56.59226689219258,35.36032429087453,-61.016735097822334,39.37507411502395,-63.85965286294589,41.69222460095642,-66.08820626299007,44.99806417761283,-68.41406289976203,47.31371097557093,-70.83895143573665,49.97801581485254,-70.28731746931533,51.906653010893535,-71.54609079588482,55.20014610597133,-74.44129143905491,57.012839258247254,-75.38732795025453,59.03259290396818,-75.61715245576261,60.53176480412418,-76.70468208427695,63.186144377237326,-77.05465907692383
