1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,
98.52916314454774,-41.01120938785141,101.57227387996613,-34.316365769930826,109.68723584108193,-10.444852667648547,106.30600169061711,10.924547163289844,95.95942519019434,14.846778777829059,82.50211327134411,18.836635075377785,73.3727810650887,23.50273820301925,54.97886728655942,29.521334990846867,44.97041420118336,28.57458942871665,32.3245984784445,27.89834259862357,21.43702451394745,27.763093232605,15.418427726120058,26.140100840381933,7.438715131022775,27.763093232605,4.666103127641691,24.314234399130896,0,24.517108448158865
99.26679414727619,-40.815327338636735,102.31378058455925,-34.33965040121325,110.19577107960572,-10.910306264494238,106.80111891608374,10.351705300875778,96.7331683483643,14.668009893154931,83.26135132222453,18.60593479204158,74.04757636876286,23.219838080081388,55.67061961562217,29.167701952849086,45.71063202715408,28.367511928611123,33.0999013007866,27.82928135408872,22.228424005195052,27.632546078106714,16.187364472421677,26.065032939454284,8.179097096271505,27.589910018201692,5.416535781359187,24.31425709597778,0.738179482264286,24.390693810127118
100.00436313843852,-40.619698863738336,103.05493526512635,-34.359634104791326,110.70701077586068,-11.378565760139168,107.29554632928557,9.776983853141928,97.50206738297652,14.478895644875934,84.01800170162551,18.374884096591472,74.72251036769092,22.94081247072768,56.363396464789844,28.82355096122177,46.45109649423841,28.165583687116623,33.8751813852557,27.76235142548461,23.01988930972243,27.50629451007967,16.956320302373115,25.99134506675864,8.919874182450144,27.418991626040906,6.166976784727694,24.31054647176802,1.4764978881348156,24.26554005548644
100.74187005708097,-40.42431504251954,103.79573284667731,-34.37632855026561,111.22092042005147,-11.849410244317937,107.78928175767646,9.200431564138853,98.2660853778525,14.279543027041996,84.77207219850027,18.14338301758346,75.39758188609915,22.665534815118917,57.057210960918724,28.488654134877265,47.19180607125912,27.96868168606784,34.650438697577954,27.697481826754085,23.811420691503884,27.38427782238398,17.725295313552238,25.91906252128581,9.661047251794287,27.250408380596866,6.917426110777001,24.303299422076464,2.214955061188107,24.141741010950682
101.47931484225,-40.22916695434401,104.53616825422148,-34.389745407236546,111.73746550238263,-12.322618806765036,108.28232302871004,8.62209717791734,99.02518541681388,14.070059033703501,85.52357060180259,17.91133158357377,76.07278974821406,22.393878553416016,57.752076230864986,28.162783592727862,47.93275922703896,27.77668290729963,35.42567320347939,27.634601571839937,24.60301841451377,27.26643530887975,18.494289603537084,25.848210602026484,10.402617166539642,27.084230606343567,7.667883732537007,24.292712842477954,2.953550845000791,24.01939050323358
102.21669743299196,-40.03424567857519,105.27623641276887,-34.39989634530468,112.25661151305849,-12.797970537215178,108.77466796983992,8.04202943852772,99.7793305836824,13.850550658910606,86.2725047004858,17.678629823118513,76.7481327782624,22.12571712577983,58.44800540148481,27.845711453685908,48.67395443040061,27.589464332646685,36.20088486868616,27.573639674684955,25.39468274272656,27.152706263427092,19.263303269905578,25.778814607971526,11.144584788921804,26.920528627755118,8.4183496230375,24.27898362854728,3.6922850831492724,23.898582359048817
102.9540177683532,-39.83954229457663,106.01593224732903,-34.40679303407023,112.77832394228369,-13.275244525402854,109.26631440851986,7.460277090020895,100.52848396227978,13.621124896713468,87.01888228350344,17.445177764773916,77.42360980047044,21.86092397237121,59.14501159963436,27.53720983666375,49.41539015016701,27.406902943943862,36.97607365892435,27.51452514923193,26.186413940116495,27.043029979886114,20.0323364102357,25.710899838111743,11.88695098117654,26.759372769305685,9.168823755308381,24.262308675859288,4.431157619210126,23.77941040511024
103.69127578738005,-39.64504788171189,106.75525068291165,-34.41044714313375,113.30256828026268,-13.75421986106278,109.75726017220359,6.87688887644731,101.27260863642755,13.38188874116247,87.7627111398092,17.21087543709598,78.09921963906481,21.599372533351016,59.84310795216993,27.237050860573675,50.1570648551608,27.228875723025965,37.75123953992005,27.457187009423762,26.97821227065799,26.937345752116983,20.801389122105434,25.644491591437884,12.629716605539386,26.600833355469263,9.919306102379437,24.242884879988935,5.170168296759925,23.66196846813159
104.42847142911899,-39.45075351934429,107.49418664452651,-34.41087034209579,113.82931001719999,-14.234675633929442,110.24750308834484,6.291913541857639,102.01166768994756,13.132949186307656,88.50399905835638,16.975622868640926,78.77496111827202,21.34093624888021,60.54230758594758,26.94500664432809,50.89897701420472,27.05525965172768,38.52638247739935,27.40155426920319,27.770077998325462,26.835592873979806,21.5704615030927,25.579615166940755,13.372882524246108,26.444980710720017,10.66979663728057,24.220909136510897,5.909316959375133,23.54635037482666
105.16560463261624,-39.25665028683761,108.23273505718316,-34.408074300556564,114.35851464330017,-14.716390933737557,110.73704098439725,5.705399830302554,102.7456242066612,12.874413226199295,89.24275382809856,16.739320087964757,79.45083306231845,21.08548855911954,61.24262362782383,26.660849306839282,51.64112509612164,26.885931711883813,39.301502437088345,27.347555942513054,28.562011387093207,26.737710639334637,22.339553650775485,25.516295863611163,14.116449599532302,26.291885159532,11.420295333041565,24.196578341000134,6.648603450632322,23.432649951909127
105.90267533691815,-39.06272926355507,108.9708908458914,-34.40207068811674,114.89014764876765,-15.199144850221614,111.22587168781467,5.117396485832501,103.47444127039034,12.606387854887657,89.97898323798927,16.50186712362381,80.12683429543063,20.832902904229854,61.944069204654625,26.3843509670196,52.38350756973426,26.720768885329107,40.07659938471318,27.295121043296092,29.354012700935584,26.64363834204164,23.108665662731767,25.454558980439856,14.86041869363362,26.141617026379322,12.170802162692326,24.17008938903149,7.388027614108012,23.320961026092846
