1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,
127.47252747252736,-9.166836606052811,116.31445477599317,-5.582728406559852,90.41420118343189,-5.650353089569251,65.32544378698202,-2.674867037160027,45.84953508030418,-13.562441001657078,47.33727810650868,-33.51172248940014,53.08537616229893,-51.770386901910626,65.59594251901927,-68.60893297122601,76.75401521555347,-80.17275376581614,84.80135249366009,-88.08484167790397,96.70329670329664,-92.14232265846186,105.69737954353326,-93.35956695262911,116.0439560439558,-92.95381885457351,123.55029585798803,-89.84308343614583,131.3271344040574,-86.93522206674578,136.46661031276398,-81.99862020706718,142.0118343195266,-81.11949932794613
127.09212666661409,-8.347118120417122,116.29014841221459,-4.717677113079503,91.06883707286278,-5.099220537432984,66.10513794442079,-2.306338600006029,46.46297524677357,-12.871880469467783,47.34659170103566,-32.61917005968968,52.77704723170001,-50.96950858086444,64.97029072095381,-67.9433858151944,76.08214765878881,-79.50322819667446,84.18531034953844,-87.39315990452627,96.00717326154478,-91.5016294334826,105.06333029537774,-92.65151363741103,115.322021982894,-92.44529747682674,122.8129683834863,-89.35220381776281,130.54137172770976,-86.52099262904943,135.63400379018816,-81.87030444844964,141.2439824541679,-80.510663830684
126.71162882443997,-7.525684359640081,116.25858446011983,-3.8520422587255894,91.71757120126205,-4.539078530741676,66.88198941528185,-1.9383643702988707,47.08104063298657,-12.188117908848596,47.37403052362572,-31.728645058556765,52.478132774902804,-50.16307123230797,64.35132856363634,-67.27097025704262,75.4136996263457,-78.82904675513231,83.56932263181602,-86.70083387378105,95.31076421618371,-90.8655346617474,104.42567239165902,-91.95515731012534,114.59793352328546,-91.93713810538537,122.07369202361457,-88.86761063739772,129.7531669781726,-86.10768128023386,134.80091166100607,-81.72128863716313,140.47329265856803,-79.92008214875437
126.33103441572524,-6.702584839516987,116.21995739820744,-2.9858792476692884,92.35995647525687,-3.9700695694771753,67.65595421408847,-1.5707851696406578,47.70371823256676,-11.511110930606037,47.418841632792464,-30.84030616339186,52.18870314680555,-49.35127834154065,63.73948507914622,-66.59177839028854,74.74878004049867,-78.15027876938183,82.95338928367545,-86.00788735833515,94.61406957083517,-90.23390873919806,103.7844166766094,-91.27027009349268,113.87169593432515,-91.42946299763861,121.33245398506409,-88.38926971171855,128.96253869934293,-85.69551948756674,133.96733860896546,-81.55261180921974,139.69976889982473,-79.34757535946386
125.95034391018993,-5.877869075842966,116.17446170497607,-2.119243484081892,92.9955458014743,-3.392336153621443,68.42698835536396,-1.203441819633781,48.330995039137576,-10.84081714554668,47.48027208704963,-29.95431205158519,51.90882870230672,-48.53433339386197,63.13518929956297,-65.90590230844992,74.08749782352209,-77.46699356761513,82.33751024829934,-85.31434413085543,93.91708932912098,-89.60662206177636,103.13957399446184,-90.59662411023334,113.14331448520778,-90.92239441097564,120.58924147452586,-87.91714685739345,128.1695054351183,-85.28473871831562,133.1332893178141,-81.3653130006316,138.92341514503602,-78.79296454011882
125.56955777755451,-5.051586584413258,116.12229185892414,-1.2521903721345211,93.62389208654128,-2.806020783156441,69.19504785363165,-0.8361751418803465,48.962858046322594,-10.17719416447693,47.55756894491083,-29.070821400527166,51.63857979630461,-47.71243987457132,62.53887025696582,-65.21343410504443,73.42996189769053,-76.77926047802458,81.7216854688703,-84.62022796400873,93.21982349466299,-88.98354502542378,102.49115518944865,-89.93399148306804,112.41279444512821,-90.41605460278566,119.84404169869077,-87.45120789109018,127.37408572939586,-84.87557043974829,132.29876847129998,-81.16043124741094,138.14423536129965,-78.25607076802584
125.18867648753877,-4.223786881023159,116.06364233855044,-0.38477531599852455,94.2445482370851,-2.211265958064075,69.96008872341474,-0.468825957982574,49.59929424774532,-9.520199598203362,47.64997926488974,-28.189992887608128,51.378026783697635,-46.88580126896812,61.95095698343425,-64.51446587358987,72.77628118527832,-76.0871488288023,81.10591488857102,-83.9255626304618,92.52227207108302,-88.36454802608222,101.83917110580256,-89.28214433471732,111.68014108328117,-89.91056583045798,119.09684186424982,-86.9914186294771,126.5762981260728,-84.46824611913217,131.46378075317097,-80.93900558556965,137.36223351571374,-77.7367151204914
124.8077005098632,-3.394519481467796,115.99870762235349,0.48294628015497665,94.85706715973271,-1.60821417832625,70.7220669792365,-0.10123508954279714,50.24029063702926,-8.869791057532495,47.756750105499975,-27.311985190218365,51.127240019384146,-46.054621062351885,61.37187851104761,-63.80908970760413,72.12656460855993,-75.39072794814041,80.4901984505841,-83.23037190288147,91.8244350620028,-87.74950145969336,101.18363258775634,-88.64085478790167,110.94535966886161,-89.40605035138191,118.34762917789413,-86.53774488922198,125.77616116904647,-84.06299722373495,130.6283308471747,-80.70207505112006,136.57741357537617,-77.23471867482198
124.42663031424769,-2.5638339015424094,115.92768218883185,1.3509190121546908,95.46100176111116,-0.9970079439249844,71.4809386356203,0.2667566418367642,50.88583420779793,-8.225926153270791,47.87712852525527,-26.436956985748225,50.88628985826256,-45.21910274002198,60.80206387188531,-63.09739770060497,71.4809210898099,-74.69006716423104,79.87453609809216,-82.53467955393461,91.1263124710444,-87.13827572219878,100.52455047954237,-88.00989496534152,110.20845547106427,-88.90263042294663,117.59639084631459,-86.09015248699296,124.97369340221422,-83.6600552208244,129.79242343705909,-80.45067868007408,135.7897795073847,-76.74990250832417
124.04546637041261,-1.7317796570422388,115.85076051648417,2.219087475829383,96.05590494784764,-0.37778975484218336,72.23665970708942,0.6353084145540038,51.53591195367483,-7.5885624962247675,48.01036158266919,-25.56506695158805,50.65524665523111,-44.37944978727785,60.2419420980267,-62.379481946110104,70.83945955130258,-73.98523580526654,79.25892777427794,-81.83850935628794,90.4279043018293,-86.53074120954017,99.86193562539341,-87.38903698975759,109.46943375908387,-88.40042830254134,116.84311407620231,-85.64860723945816,124.16891336947327,-83.25965157766797,128.95606320657208,-80.18585550844404,134.99933527883746,-76.28208769830434
