points,Image,X,Y
1,206_fs1-00001.jpg,101.106414952569,-17.2948344629901
2,206_fs1-00001.jpg,100.584507008571,-17.3239755529656
3,206_fs1-00001.jpg,100.062669041652,-17.3505797604538
4,206_fs1-00001.jpg,99.5409005062722,-17.374682471791
5,206_fs1-00001.jpg,99.0192008568943,-17.3963190733137
6,206_fs1-00001.jpg,98.4975695479795,-17.4155249513585
7,206_fs1-00001.jpg,97.9760060339894,-17.4323354922618
8,206_fs1-00001.jpg,97.4545097693856,-17.4467860823602
9,206_fs1-00001.jpg,96.9330802086297,-17.4589121079901
10,206_fs1-00001.jpg,96.4117168061832,-17.468748955488
11,206_fs1-00001.jpg,95.8904190165076,-17.4763320111904
12,206_fs1-00001.jpg,95.3691862940647,-17.4816966614338
13,206_fs1-00001.jpg,94.8480180933159,-17.4848782925548
14,206_fs1-00001.jpg,94.3269138687228,-17.4859122908897
15,206_fs1-00001.jpg,93.8058730747471,-17.4848340427752
16,206_fs1-00001.jpg,93.2848951658502,-17.4816789345476
17,206_fs1-00001.jpg,92.7639795964937,-17.4764823525435
18,206_fs1-00001.jpg,92.2431258211393,-17.4692796830994
19,206_fs1-00001.jpg,91.7223332942485,-17.4601063125518
20,206_fs1-00001.jpg,91.2016014702829,-17.4489976272372
21,206_fs1-00001.jpg,90.680929803704,-17.435989013492
22,206_fs1-00001.jpg,90.1603177489735,-17.4211158576528
23,206_fs1-00001.jpg,89.6397647605528,-17.4044135460561
24,206_fs1-00001.jpg,89.1192702929036,-17.3859174650383
25,206_fs1-00001.jpg,88.5988338004876,-17.365663000936
26,206_fs1-00001.jpg,88.0784547377661,-17.3436855400856
27,206_fs1-00001.jpg,87.5581325592008,-17.3200204688237
28,206_fs1-00001.jpg,87.0378667172789,-17.2947031734867
29,206_fs1-00001.jpg,86.5175819695808,-17.2677690404111
30,206_fs1-00001.jpg,85.9972215773631,-17.2392534559334
31,206_fs1-00001.jpg,85.4768104023386,-17.2091918063902
32,206_fs1-00001.jpg,84.9563733062196,-17.1776194781179
33,206_fs1-00001.jpg,84.4359351507187,-17.144571857453
34,206_fs1-00001.jpg,83.9155207975484,-17.110084330732
