 ,Image,X (cm),Y (cm)
121,207_fs1-00001.jpg,622.459,292.459
122,207_fs1-00001.jpg,622.847,293.180
123,207_fs1-00001.jpg,623.234,293.901
124,207_fs1-00001.jpg,623.833,294.459
125,207_fs1-00001.jpg,624.194,295.194
126,207_fs1-00001.jpg,624.915,295.582
127,207_fs1-00001.jpg,625.494,296.160
128,207_fs1-00001.jpg,625.633,296.967
129,207_fs1-00001.jpg,626.212,297.546
130,207_fs1-00001.jpg,626.791,298.124
131,207_fs1-00001.jpg,627.200,298.833
132,207_fs1-00001.jpg,627.833,299.352
133,207_fs1-00001.jpg,628.167,300.099
134,207_fs1-00001.jpg,628.711,300.711
135,207_fs1-00001.jpg,629.167,301.390
136,207_fs1-00001.jpg,629.500,302.138
137,207_fs1-00001.jpg,630.064,302.731
138,207_fs1-00001.jpg,630.471,303.441
139,207_fs1-00001.jpg,630.833,304.175
140,207_fs1-00001.jpg,631.320,304.833
141,207_fs1-00001.jpg,631.833,305.471
142,207_fs1-00001.jpg,632.167,306.218
143,207_fs1-00001.jpg,632.587,306.921
144,207_fs1-00001.jpg,633.166,307.499
145,207_fs1-00001.jpg,633.500,308.247
146,207_fs1-00001.jpg,633.938,308.938
147,207_fs1-00001.jpg,634.326,309.659
148,207_fs1-00001.jpg,634.833,310.301
149,207_fs1-00001.jpg,635.081,311.081
150,207_fs1-00001.jpg,635.660,311.660
151,207_fs1-00001.jpg,636.167,312.302
152,207_fs1-00001.jpg,636.167,313.121
153,207_fs1-00001.jpg,636.722,313.722
154,207_fs1-00001.jpg,637.167,314.409
155,207_fs1-00001.jpg,637.500,315.157
156,207_fs1-00001.jpg,637.881,315.881
157,207_fs1-00001.jpg,638.269,316.602
158,207_fs1-00001.jpg,638.833,317.195
159,207_fs1-00001.jpg,638.833,318.013
160,207_fs1-00001.jpg,639.167,318.761
161,207_fs1-00001.jpg,639.500,319.508
162,207_fs1-00001.jpg,639.833,320.256
163,207_fs1-00001.jpg,640.046,321.046
164,207_fs1-00001.jpg,640.167,321.856
165,207_fs1-00001.jpg,640.167,322.674
166,207_fs1-00001.jpg,640.500,323.422
167,207_fs1-00001.jpg,640.833,324.169
168,207_fs1-00001.jpg,641.167,324.917
169,207_fs1-00001.jpg,641.500,325.665
170,207_fs1-00001.jpg,641.500,326.483
171,207_fs1-00001.jpg,641.833,327.231
172,207_fs1-00001.jpg,642.167,327.978
173,207_fs1-00001.jpg,642.500,328.726
174,207_fs1-00001.jpg,642.833,329.473
175,207_fs1-00001.jpg,643.167,330.221
176,207_fs1-00001.jpg,643.500,330.968
177,207_fs1-00001.jpg,643.833,331.716
178,207_fs1-00001.jpg,644.141,332.474
179,207_fs1-00001.jpg,644.167,333.292
180,207_fs1-00001.jpg,644.613,332.607
181,207_fs1-00002.jpg,579.500,212.500
182,207_fs1-00002.jpg,579.256,213.293
183,207_fs1-00002.jpg,579.012,214.087
184,207_fs1-00002.jpg,578.768,214.880
185,207_fs1-00002.jpg,578.524,215.674
186,207_fs1-00002.jpg,578.279,216.467
187,207_fs1-00002.jpg,578.167,217.289
188,207_fs1-00002.jpg,578.167,218.119
189,207_fs1-00002.jpg,577.833,218.880
190,207_fs1-00002.jpg,577.833,219.710
191,207_fs1-00002.jpg,577.833,220.540
192,207_fs1-00002.jpg,577.833,221.370
193,207_fs1-00002.jpg,577.833,222.200
194,207_fs1-00002.jpg,577.833,223.030
195,207_fs1-00002.jpg,577.833,223.860
196,207_fs1-00002.jpg,577.833,224.690
197,207_fs1-00002.jpg,577.833,225.520
198,207_fs1-00002.jpg,577.833,226.351
199,207_fs1-00002.jpg,577.833,227.181
200,207_fs1-00002.jpg,577.833,228.011
201,207_fs1-00002.jpg,577.833,228.841
202,207_fs1-00002.jpg,578.068,229.637
203,207_fs1-00002.jpg,578.167,230.461
204,207_fs1-00002.jpg,578.167,231.291
205,207_fs1-00002.jpg,578.416,232.083
206,207_fs1-00002.jpg,578.500,232.909
207,207_fs1-00002.jpg,578.500,233.739
208,207_fs1-00002.jpg,578.500,234.569
209,207_fs1-00002.jpg,578.500,235.399
210,207_fs1-00002.jpg,578.833,236.159
211,207_fs1-00002.jpg,578.833,236.990
212,207_fs1-00002.jpg,578.833,237.820
213,207_fs1-00002.jpg,578.833,238.650
214,207_fs1-00002.jpg,578.833,239.480
