 ,X (cm),Y (cm)
1,450.750,262.000
2,460.740,263.000
3,470.617,264.808
4,480.595,265.922
5,490.635,266.000
6,500.625,267.000
7,510.464,269.000
8,520.426,270.250
9,530.417,271.250
10,540.399,272.325
11,550.322,273.857
12,560.297,275.000
13,570.309,275.750
14,580.300,276.750
15,590.312,277.500
16,461.500,247.250
17,467.733,255.233
18,474.929,262.358
19,482.881,268.631
20,491.704,273.602
21,501.767,274.750
22,511.866,275.500
23,521.917,274.250
24,531.590,271.250
25,541.464,269.000
26,551.273,266.477
27,561.389,266.000
28,571.456,267.103
29,580.660,271.330
30,588.382,277.882
31,471.500,223.750
32,473.017,232.832
33,475.084,241.805
34,477.747,250.619
35,481.410,259.066
36,485.915,267.097
37,491.308,274.560
38,498.497,280.313
39,507.112,283.563
40,516.299,284.184
41,525.095,281.462
42,533.287,277.256
43,540.497,271.530
44,547.490,265.540
45,555.895,261.781
46,468.500,214.500
47,473.267,222.679
48,477.303,231.243
49,480.010,240.315
50,482.413,249.472
51,485.151,258.534
52,488.090,267.533
53,491.130,276.499
54,495.680,284.801
55,502.698,291.154
56,511.649,294.237
57,521.016,292.862
58,529.545,288.753
59,536.759,282.623
60,541.993,274.734
61,457.000,201.500
62,463.067,208.649
63,469.033,215.882
64,474.549,223.464
65,479.688,231.306
66,483.858,239.704
67,486.417,248.724
68,488.151,257.939
69,489.884,267.154
70,491.550,276.381
71,495.210,285.013
72,501.320,292.125
73,509.558,296.604
74,518.788,298.250
75,528.123,297.372
76,447.500,185.000
77,452.326,192.053
78,457.633,198.752
79,462.683,205.647
80,467.679,212.580
81,472.471,219.656
82,476.699,227.083
83,480.629,234.672
84,484.543,242.269
85,487.376,250.332
86,489.786,258.531
87,491.785,266.840
88,493.456,275.221
89,494.973,283.632
90,496.774,291.986
91,446.000,166.500
92,448.600,174.942
93,451.601,183.249
94,455.411,191.219
95,459.389,199.105
96,463.880,206.711
97,469.400,213.607
98,475.198,220.271
99,480.995,226.936
100,485.997,234.216
101,490.081,242.049
102,494.082,249.923
103,497.624,258.015
104,499.919,266.545
105,500.480,275.360
106,448.250,145.500
107,447.250,156.008
108,447.250,166.563
109,448.750,177.012
110,451.500,187.202
111,457.000,196.212
112,461.507,205.757
113,468.000,214.079
114,474.976,222.000
115,482.600,229.300
116,490.286,236.536
117,496.154,245.309
118,501.000,254.686
119,503.250,264.999
120,503.000,275.552
121,449.750,135.000
122,446.712,143.454
123,445.880,152.399
124,445.750,161.382
125,446.241,170.352
126,447.800,179.199
127,450.853,187.648
128,455.427,195.380
129,460.602,202.723
130,466.992,209.038
131,473.630,215.091
132,480.549,220.820
133,486.917,227.156
134,492.097,234.497
135,496.226,242.475
136,454.000,120.500
137,449.170,127.930
138,445.903,136.169
139,443.790,144.776
140,442.292,153.510
141,441.671,162.351
142,442.483,171.176
143,444.620,179.777
144,448.274,187.851
145,451.347,196.164
146,457.157,202.856
147,463.847,208.669
148,470.774,214.196
149,477.959,219.385
150,485.255,224.415
151,464.000,112.000
152,457.675,118.325
153,451.785,125.057
154,447.524,132.922
155,444.417,141.310
156,442.231,149.984
157,441.090,158.856
158,440.742,167.794
159,443.230,176.386
160,446.359,184.766
161,450.524,192.682
162,456.084,199.690
163,462.140,206.272
164,468.130,212.916
165,474.446,219.249
166,474.000,103.750
167,465.425,109.167
168,457.824,115.883
169,450.488,122.887
170,444.106,130.769
171,438.978,139.521
172,435.233,148.947
173,434.021,159.017
174,434.238,169.157
175,437.697,178.692
176,442.396,187.680
177,448.798,195.548
178,456.373,202.292
179,464.821,207.905
180,474.066,212.076
