 ,X (cm),Y (cm)
1,226.500,416.500
2,233.970,415.667
3,241.395,416.833
4,248.684,418.667
5,255.987,420.440
6,263.410,421.622
7,270.593,423.833
8,277.877,425.688
9,284.972,428.167
10,291.863,431.167
11,298.424,434.833
12,304.616,439.094
13,310.825,443.329
14,317.483,446.817
15,323.667,451.089
16,230.833,424.000
17,237.490,421.500
18,244.505,420.333
19,251.520,419.167
20,258.623,418.833
21,265.716,419.333
22,272.667,420.833
23,279.440,423.000
24,285.845,426.089
25,292.085,429.500
26,297.979,433.479
27,302.949,438.564
28,307.464,444.058
29,312.019,449.519
30,316.877,454.711
31,238.500,437.667
32,243.202,431.965
33,246.833,425.529
34,252.140,420.386
35,258.197,416.151
36,265.316,414.167
37,272.699,413.833
38,279.925,415.379
39,285.968,419.634
40,290.123,425.746
41,292.048,432.881
42,294.833,439.726
43,297.500,446.618
44,303.570,450.833
45,310.930,451.500
46,253.833,454.000
47,252.167,445.899
48,251.167,437.688
49,251.500,429.424
50,252.500,421.213
51,254.956,413.315
52,259.992,406.754
53,267.104,402.531
54,275.375,402.500
55,282.789,406.167
56,286.000,413.789
57,287.000,421.999
58,287.381,430.262
59,290.000,438.107
60,297.006,442.503
61,253.833,468.167
62,255.229,460.604
63,256.500,453.019
64,256.011,445.344
65,254.167,437.878
66,252.167,430.452
67,250.833,422.878
68,250.833,415.187
69,253.500,407.973
70,258.167,401.861
71,265.163,398.667
72,272.825,399.325
73,280.153,401.660
74,284.314,408.127
75,286.833,415.394
76,254.500,475.500
77,256.000,469.282
78,256.500,462.906
79,256.667,456.512
80,256.833,450.117
81,256.667,443.723
82,256.500,437.329
83,256.500,430.933
84,256.000,424.557
85,254.833,418.268
86,253.167,412.092
87,252.333,405.751
88,252.167,399.357
89,255.355,393.812
90,260.491,390.000
91,258.667,493.000
92,258.333,486.190
93,258.167,479.373
94,258.000,472.557
95,258.167,465.741
96,258.167,458.922
97,258.333,452.106
98,258.167,445.290
99,257.667,438.490
100,257.500,431.673
101,256.833,424.887
102,254.167,418.612
103,252.500,412.001
104,251.500,405.256
105,252.775,398.558
106,272.500,500.500
107,266.413,495.746
108,262.143,489.310
109,258.500,482.500
110,256.936,474.936
111,256.333,467.236
112,256.167,459.514
113,256.333,451.792
114,257.033,444.100
115,258.500,436.517
116,259.833,428.910
117,260.167,421.193
118,259.500,413.499
119,256.167,406.531
120,250.833,400.945
121,284.667,501.833
122,278.779,498.401
123,272.990,494.806
124,267.353,490.975
125,262.373,486.323
126,258.331,480.836
127,255.173,474.796
128,253.195,468.275
129,253.484,461.466
130,254.183,454.687
131,255.554,448.011
132,257.156,441.387
133,258.911,434.802
134,260.551,428.187
135,261.296,421.413
136,297.000,505.167
137,290.111,503.289
138,283.181,501.568
139,276.420,499.271
140,270.017,496.111
141,264.049,492.190
142,258.529,487.661
143,253.678,482.421
144,250.285,476.139
145,248.523,469.219
146,248.395,462.080
147,249.800,455.079
148,252.862,448.629
149,256.957,442.779
150,260.663,436.676
151,310.500,507.167
152,303.610,506.444
153,296.964,504.494
154,290.404,502.267
155,283.875,499.951
156,277.491,497.262
157,271.253,494.249
158,264.837,491.638
159,259.216,487.589
160,253.365,483.880
161,249.126,478.402
162,246.414,472.028
163,245.689,465.138
164,246.773,458.296
165,249.225,451.817
166,319.500,510.833
167,313.025,508.522
168,306.319,507.007
169,299.704,505.130
170,293.345,502.517
171,286.999,499.872
172,280.416,497.889
173,273.822,495.942
174,267.594,493.030
175,261.285,490.296
176,254.914,487.713
177,249.211,483.872
178,244.428,478.934
179,241.321,472.800
180,241.758,465.939
