 ,X (cm),Y (cm)
1,444.500,195.750
2,454.934,195.750
3,465.364,196.000
4,475.798,196.101
5,486.231,196.000
6,496.616,195.000
7,507.038,194.500
8,517.460,194.000
9,527.828,195.164
10,538.099,197.000
11,548.425,198.500
12,558.846,199.000
13,569.113,200.863
14,578.709,204.959
15,587.250,210.951
16,451.000,211.000
17,457.158,204.409
18,463.948,198.470
19,471.605,193.701
20,479.940,190.254
21,488.748,188.307
22,497.766,188.077
23,506.679,189.459
24,515.443,191.597
25,524.324,193.176
26,533.106,195.235
27,541.708,197.950
28,550.345,200.552
29,559.119,202.647
30,567.951,204.482
31,469.500,233.500
32,468.633,223.789
33,469.604,214.087
34,472.067,204.653
35,476.962,196.221
36,483.975,189.447
37,492.427,184.587
38,501.951,182.500
39,511.701,182.500
40,520.677,186.307
41,529.210,191.023
42,537.381,196.343
43,544.644,202.848
44,551.688,209.589
45,560.499,213.764
46,476.750,248.000
47,474.850,237.917
48,473.598,227.732
49,473.702,217.472
50,475.301,207.336
51,478.273,197.515
52,482.257,188.060
53,486.783,178.851
54,492.805,170.542
55,501.859,165.715
56,512.089,164.925
57,521.525,168.956
58,529.584,175.308
59,536.026,183.295
60,540.294,192.626
61,479.500,259.500
62,479.500,247.259
63,479.750,235.021
64,479.750,222.780
65,480.000,210.542
66,479.500,198.312
67,479.250,186.074
68,481.252,173.998
69,488.129,163.871
70,499.200,158.650
71,511.028,155.500
72,522.412,160.000
73,530.859,168.859
74,536.646,179.646
75,539.000,191.658
76,482.250,267.500
77,482.250,255.433
78,481.750,243.376
79,481.750,231.309
80,481.000,219.266
81,480.500,207.209
82,480.000,195.152
83,479.000,183.127
84,477.000,171.227
85,479.250,159.371
86,487.336,150.414
87,499.320,149.000
88,511.387,149.000
89,521.750,155.182
90,527.199,165.949
91,489.500,274.000
92,487.333,264.102
93,485.730,254.098
94,484.507,244.040
95,483.650,233.945
96,483.083,223.829
97,482.625,213.707
98,481.932,203.599
99,479.470,193.771
100,475.511,184.445
101,472.182,174.875
102,472.122,164.743
103,476.752,155.731
104,484.158,148.817
105,492.581,143.186
106,502.500,278.750
107,495.016,271.016
108,489.834,261.584
109,486.389,251.389
110,484.500,240.794
111,483.250,230.105
112,483.000,219.346
113,483.000,208.585
114,483.250,197.826
115,481.000,187.302
116,477.500,177.125
117,473.000,167.349
118,472.250,156.613
119,478.310,147.720
120,485.778,139.972
121,510.750,283.500
122,503.223,277.223
123,496.547,270.047
124,491.175,261.850
125,486.993,252.986
126,483.557,243.807
127,481.479,234.229
128,480.500,224.477
129,481.030,214.691
130,482.750,205.042
131,483.730,195.290
132,484.007,185.493
133,484.500,175.705
134,483.500,165.955
135,481.250,156.416
136,519.750,286.000
137,511.177,280.338
138,503.354,273.677
139,495.879,266.629
140,490.303,258.000
141,485.250,249.054
142,482.250,239.228
143,480.000,229.203
144,480.000,218.929
145,481.750,208.805
146,483.000,198.607
147,484.000,188.382
148,485.000,178.157
149,485.000,167.883
150,483.000,157.805
151,527.250,283.500
152,517.555,279.500
153,508.595,274.048
154,500.027,268.000
155,492.473,260.723
156,486.750,251.935
157,483.000,242.140
158,480.750,231.896
159,480.500,221.411
160,481.766,211.000
161,483.500,200.656
162,485.220,190.310
163,486.500,179.901
164,486.000,169.425
165,482.500,159.538
166,534.750,284.000
167,525.552,280.052
168,516.763,275.263
169,508.190,270.095
170,499.615,264.932
171,491.980,258.459
172,486.399,250.149
173,482.266,241.033
174,480.500,231.180
175,480.250,221.174
176,481.000,211.192
177,482.000,201.233
178,484.034,191.432
179,486.250,181.671
180,487.500,171.740
181,540.000,287.000
182,531.162,285.181
183,522.855,281.660
184,514.779,277.635
185,507.049,272.981
186,499.629,267.847
187,492.627,262.156
188,487.087,255.034
189,482.537,247.242
190,479.829,238.635
191,478.235,229.754
192,477.475,220.763
193,478.024,211.757
194,479.710,202.893
195,481.676,194.087
