 ,X (cm),Y (cm)
1,468.167,555.167
2,475.507,554.667
3,482.834,554.000
4,490.184,553.662
5,497.494,552.833
6,504.822,552.172
7,512.053,550.816
8,519.224,549.167
9,526.551,548.500
10,533.878,547.833
11,541.205,547.167
12,548.515,546.333
13,555.750,545.000
14,562.831,543.000
15,569.000,538.991
16,469.833,550.500
17,476.771,551.187
18,483.725,551.667
19,490.689,552.000
20,497.652,552.333
21,504.615,552.667
22,511.578,552.333
23,518.549,552.333
24,525.318,550.667
25,532.087,549.000
26,538.855,547.326
27,545.710,546.062
28,552.616,545.109
29,559.470,543.833
30,566.167,541.898
31,476.500,528.667
32,478.714,535.048
33,481.859,541.025
34,485.705,546.577
35,490.849,550.955
36,496.918,553.918
37,503.395,555.833
38,510.116,556.500
39,516.852,556.000
40,523.555,555.167
41,529.331,551.667
42,534.333,547.128
43,538.567,541.866
44,543.851,537.658
45,550.091,535.075
46,463.833,519.000
47,470.980,521.813
48,477.407,526.018
49,483.310,530.931
50,488.043,536.981
51,492.069,543.521
52,495.917,550.168
53,499.811,556.788
54,503.833,563.331
55,509.118,568.904
56,515.890,572.528
57,523.459,573.833
58,530.193,570.140
59,532.000,562.676
60,532.167,554.997
61,447.667,513.500
62,454.492,516.220
63,460.985,519.659
64,467.343,523.340
65,473.457,527.416
66,479.179,532.024
67,484.624,536.957
68,489.879,542.092
69,494.755,547.588
70,498.846,553.691
71,502.167,560.245
72,505.799,566.632
73,509.897,572.730
74,515.492,577.492
75,522.560,579.500
76,438.833,494.333
77,441.833,500.789
78,445.877,506.648
79,449.760,512.614
80,454.095,518.261
81,459.864,522.432
82,465.677,526.540
83,471.795,530.180
84,478.175,533.338
85,484.643,536.310
86,490.948,539.615
87,497.195,543.029
88,502.778,547.445
89,506.167,553.706
90,507.833,560.627
91,427.500,471.833
92,432.678,477.690
93,437.868,483.535
94,442.611,489.749
95,446.624,496.458
96,449.525,503.717
97,452.695,510.862
98,455.732,518.065
99,459.337,525.002
100,464.761,530.631
101,472.081,533.374
102,479.555,535.667
103,487.355,536.188
104,495.061,537.500
105,502.132,540.833
106,415.333,450.000
107,420.263,457.026
108,424.494,464.494
109,429.302,471.605
110,434.333,478.559
111,438.654,485.975
112,442.757,493.514
113,446.436,501.269
114,450.166,509.000
115,452.833,517.158
116,455.333,525.369
117,459.000,533.130
118,466.575,537.167
119,475.100,538.167
120,483.681,538.000
121,422.500,430.500
122,422.000,438.561
123,421.250,446.603
124,421.500,454.676
125,424.250,462.270
126,427.270,469.760
127,431.733,476.492
128,436.047,483.320
129,440.800,489.850
130,445.750,496.232
131,430.000,404.500
132,428.750,413.585
133,426.127,422.373
134,422.584,430.832
135,418.983,439.267
136,416.500,448.095
137,416.250,457.262
138,417.801,466.301
139,421.970,474.470
140,428.612,480.793
141,436.544,485.397
142,444.500,489.958
143,450.500,496.894
144,453.750,505.469
145,454.750,514.586
146,440.500,388.250
147,436.729,395.041
148,432.668,401.663
149,428.832,408.418
150,425.211,415.289
151,422.056,422.388
152,419.500,429.723
153,417.844,437.312
154,415.524,444.726
155,413.750,452.288
156,413.526,460.053
157,415.750,467.495
158,419.764,474.146
159,424.638,480.194
160,431.258,484.258
161,455.000,372.500
162,449.227,378.273
163,444.996,385.254
164,440.611,392.139
165,435.780,398.720
166,431.530,405.690
167,427.420,412.744
168,423.250,419.762
169,419.297,426.905
170,415.350,434.051
171,411.207,441.085
172,407.457,448.336
173,404.500,455.946
174,404.048,464.097
175,407.599,471.448
