 ,X (cm),Y (cm)
1,559.833,219.500
2,567.055,225.031
3,573.209,231.732
4,579.540,238.265
5,585.562,245.083
6,590.960,252.405
7,596.299,259.771
8,602.398,266.521
9,608.067,273.635
10,613.235,281.122
11,618.641,288.439
12,623.841,295.903
13,628.812,303.522
14,633.510,311.312
15,637.633,319.421
16,583.167,211.167
17,577.967,218.700
18,576.419,227.721
19,577.881,236.757
20,580.922,245.391
21,584.738,253.711
22,589.293,261.651
23,594.809,268.955
24,600.601,276.044
25,608.652,280.399
26,616.890,284.388
27,624.496,289.481
28,631.562,295.299
29,637.604,302.176
30,641.382,310.514
31,603.500,212.833
32,596.371,217.846
33,590.651,224.421
34,585.872,231.709
35,582.397,239.701
36,580.581,248.225
37,581.018,256.928
38,584.510,264.913
39,589.286,272.202
40,596.867,276.502
41,605.027,279.562
42,613.382,282.038
43,621.573,285.016
44,629.353,288.943
45,636.413,294.052
46,617.500,196.833
47,611.097,204.103
48,605.420,211.954
49,600.093,220.046
50,594.998,228.286
51,590.122,236.657
52,585.428,245.132
53,580.937,253.716
54,578.048,262.963
55,579.779,272.495
56,585.374,280.403
57,593.666,285.413
58,603.132,287.475
59,612.820,287.391
60,622.502,287.043
61,622.167,184.500
62,619.223,193.799
63,614.647,202.412
64,610.335,211.161
65,605.817,219.805
66,600.484,227.971
67,594.445,235.630
68,588.179,243.105
69,580.995,249.702
70,575.646,257.859
71,572.231,266.995
72,571.540,276.724
73,575.436,285.666
74,583.130,291.660
75,592.436,294.581
76,632.833,179.167
77,625.740,184.110
78,620.309,190.837
79,615.373,197.936
80,611.256,205.539
81,607.645,213.394
82,603.724,221.100
83,599.544,228.669
84,595.343,236.225
85,589.906,242.948
86,584.568,249.750
87,578.780,256.172
88,572.973,262.578
89,568.431,269.935
90,567.066,278.473
91,642.167,170.167
92,634.745,175.367
93,628.756,182.168
94,623.483,189.538
95,618.649,197.203
96,614.074,205.026
97,609.515,212.858
98,604.870,220.639
99,601.344,228.987
100,596.143,236.408
101,590.445,243.455
102,584.456,250.256
103,577.936,256.550
104,571.231,262.646
105,565.568,269.721
106,651.833,167.500
107,643.780,171.797
108,636.814,177.695
109,630.174,183.958
110,624.129,190.798
111,619.067,198.393
112,614.789,206.456
113,610.445,214.485
114,605.675,222.267
115,601.809,230.535
116,597.620,238.645
117,593.018,246.528
118,587.686,253.937
119,581.157,260.315
120,573.535,265.337
