 ,X (cm),Y (cm)
1,420.000,228.000
2,415.017,235.017
3,410.615,242.413
4,405.638,249.434
5,400.941,256.646
6,396.508,264.022
7,391.835,271.250
8,387.523,278.698
9,382.509,285.693
10,377.320,292.559
11,372.650,299.789
12,368.077,307.079
13,363.434,314.326
14,358.752,321.548
15,354.008,328.728
16,423.000,232.750
17,415.632,237.301
18,409.208,243.108
19,403.204,249.349
20,397.828,256.138
21,393.095,263.390
22,388.729,270.870
23,384.658,278.513
24,380.570,286.147
25,376.832,293.959
26,373.140,301.792
27,369.230,309.519
28,364.906,317.023
29,360.213,324.301
30,355.329,331.452
31,436.750,251.500
32,428.846,251.500
33,420.951,251.867
34,413.162,253.205
35,405.507,255.174
36,398.146,258.051
37,391.326,262.046
38,384.704,266.361
39,378.856,271.678
40,375.667,278.910
41,374.322,286.699
42,374.279,294.602
43,375.245,302.446
44,376.470,310.255
45,376.459,318.158
46,446.250,237.500
47,438.793,243.007
48,431.494,248.723
49,423.728,253.786
50,415.126,257.244
51,406.123,259.454
52,397.072,261.462
53,388.009,263.410
54,379.063,265.843
55,370.939,270.309
56,366.391,278.387
57,365.253,287.588
58,367.012,296.690
59,370.671,305.207
60,375.445,313.155
61,456.500,229.500
62,449.095,233.655
63,442.385,238.856
64,435.952,244.397
65,429.608,250.040
66,422.978,255.344
67,415.763,259.818
68,408.056,263.381
69,399.702,264.897
70,391.285,266.010
71,382.804,266.419
72,374.316,266.636
73,366.334,269.527
74,360.875,276.030
75,358.387,284.148
76,470.000,222.250
77,462.150,225.500
78,455.190,230.372
79,448.500,235.609
80,441.763,240.785
81,434.884,245.772
82,427.913,250.628
83,421.003,255.571
84,414.013,260.401
85,406.399,264.170
86,398.395,267.018
87,389.992,268.273
88,381.505,267.874
89,373.079,266.786
90,364.587,266.522
91,480.750,215.250
92,472.988,220.196
93,465.445,225.471
94,457.834,230.646
95,450.387,236.055
96,443.005,241.552
97,435.404,246.742
98,427.761,251.870
99,420.543,257.581
100,413.497,263.503
101,405.499,268.057
102,397.110,271.845
103,388.044,273.432
104,379.023,271.609
105,370.826,267.423
106,493.250,206.750
107,485.352,211.300
108,478.433,217.235
109,471.325,222.942
110,463.972,228.329
111,456.632,233.734
112,449.329,239.189
113,441.759,244.266
114,434.439,249.697
115,427.357,255.437
116,420.654,261.614
117,413.811,267.636
118,406.233,272.702
119,397.683,275.862
120,388.568,275.949
121,504.750,198.500
122,496.938,202.846
123,489.746,208.157
124,482.610,213.542
125,475.553,219.029
126,468.562,224.602
127,461.541,230.135
128,454.576,235.739
129,447.792,241.562
130,440.854,247.200
131,433.989,252.926
132,427.273,258.826
133,420.731,264.919
134,414.302,271.131
135,407.912,277.383
