"points","Image","X","Y"
1,"206_fs1-00001.jpg",492,169.25
2,"206_fs1-00001.jpg",491.473657966456,169.277327356081
3,"206_fs1-00001.jpg",490.947506740633,169.301608111928
4,"206_fs1-00001.jpg",490.421547243619,169.322873219243
5,"206_fs1-00001.jpg",489.895780396504,169.34115362973
6,"206_fs1-00001.jpg",489.370207120376,169.356480295092
7,"206_fs1-00001.jpg",488.844828336324,169.36888416703
8,"206_fs1-00001.jpg",488.319644965437,169.378396197248
9,"206_fs1-00001.jpg",487.794657928804,169.385047337448
10,"206_fs1-00001.jpg",487.269868147513,169.388868539333
11,"206_fs1-00001.jpg",486.745276542654,169.389890754607
12,"206_fs1-00001.jpg",486.220884035315,169.388144934971
13,"206_fs1-00001.jpg",485.696691546585,169.383662032128
14,"206_fs1-00001.jpg",485.172699997554,169.376472997781
15,"206_fs1-00001.jpg",484.648910309309,169.366608783633
16,"206_fs1-00001.jpg",484.12532340294,169.354100341386
17,"206_fs1-00001.jpg",483.601940199536,169.338978622744
18,"206_fs1-00001.jpg",483.078761620185,169.321274579409
19,"206_fs1-00001.jpg",482.555788585977,169.301019163083
20,"206_fs1-00001.jpg",482.033022017999,169.27824332547
21,"206_fs1-00001.jpg",481.510462837342,169.252978018271
22,"206_fs1-00001.jpg",480.988111965093,169.225254193191
23,"206_fs1-00001.jpg",480.465970322342,169.195102801931
24,"206_fs1-00001.jpg",479.944038830178,169.162554796195
25,"206_fs1-00001.jpg",479.422318409689,169.127641127685
26,"206_fs1-00001.jpg",478.900809981965,169.090392748103
27,"206_fs1-00001.jpg",478.379514468093,169.050840609154
28,"206_fs1-00001.jpg",477.858432789164,169.009015662538
29,"206_fs1-00001.jpg",477.337565866265,168.964948859959
30,"206_fs1-00001.jpg",476.816914620486,168.91867115312
31,"206_fs1-00001.jpg",476.296479972915,168.870213493724
32,"206_fs1-00001.jpg",475.776262844642,168.819606833472
33,"206_fs1-00001.jpg",475.256264156755,168.766882124069
34,"206_fs1-00001.jpg",474.736484830343,168.712070317216
35,"206_fs1-00001.jpg",474.216925786495,168.655202364617
36,"206_fs1-00001.jpg",473.6975879463,168.596309217973
37,"206_fs1-00001.jpg",473.178472230846,168.535421828989
38,"206_fs1-00001.jpg",472.659579561223,168.472571149366
39,"206_fs1-00001.jpg",472.140910858519,168.407788130807
40,"206_fs1-00001.jpg",471.622467043824,168.341103725015
41,"206_fs1-00001.jpg",471.104249038225,168.272548883693
42,"206_fs1-00001.jpg",470.586257762812,168.202154558544
43,"206_fs1-00001.jpg",470.068494138674,168.12995170127
44,"206_fs1-00001.jpg",469.5509590869,168.055971263573
45,"206_fs1-00001.jpg",469.033653528578,167.980244197158
46,"206_fs1-00001.jpg",468.516578384797,167.902801453725
47,"206_fs1-00001.jpg",467.999734576646,167.823673984979
48,"206_fs1-00001.jpg",467.483123025215,167.742892742622
49,"206_fs1-00001.jpg",466.966744651591,167.660488678356
50,"206_fs1-00001.jpg",466.450600376864,167.576492743885
51,"206_fs1-00001.jpg",465.934691122122,167.49093589091
52,"206_fs1-00001.jpg",465.419052336552,167.403849071136
53,"206_fs1-00001.jpg",464.903894459638,167.315263236264
54,"206_fs1-00001.jpg",464.389239067969,167.225209337997
55,"206_fs1-00001.jpg",463.875069445127,167.133718328038
56,"206_fs1-00001.jpg",463.361368874692,167.04082115809
57,"206_fs1-00001.jpg",462.848120640247,166.946548779855
58,"206_fs1-00001.jpg",462.335308025373,166.850932145036
59,"206_fs1-00001.jpg",461.822914313651,166.754002205336
60,"206_fs1-00001.jpg",461.310922788665,166.655789912458
61,"206_fs1-00001.jpg",460.799316733995,166.556326218104
62,"206_fs1-00001.jpg",460.288079433223,166.455642073977
63,"206_fs1-00001.jpg",459.77719416993,166.353768431781
64,"206_fs1-00001.jpg",459.266644227699,166.250736243216
65,"206_fs1-00001.jpg",458.756412890111,166.146576459987
66,"206_fs1-00001.jpg",458.246483440747,166.041320033796
67,"206_fs1-00001.jpg",457.73683916319,165.934997916345
68,"206_fs1-00001.jpg",457.227463341021,165.827641059338
69,"206_fs1-00001.jpg",456.718339257821,165.719280414477
70,"206_fs1-00001.jpg",456.209450197173,165.609946933465
71,"206_fs1-00001.jpg",455.700779442658,165.499671568005
72,"206_fs1-00001.jpg",455.192310277858,165.388485269799
73,"206_fs1-00001.jpg",454.684025986355,165.27641899055
74,"206_fs1-00001.jpg",454.175909851729,165.163503681961
75,"206_fs1-00001.jpg",453.667945157563,165.049770295735
76,"206_fs1-00001.jpg",453.160115187439,164.935249783573
77,"206_fs1-00001.jpg",452.652403224938,164.81997309718
78,"206_fs1-00001.jpg",452.144792553642,164.703971188258
79,"206_fs1-00001.jpg",451.637266457132,164.587275008509
80,"206_fs1-00001.jpg",451.12980821899,164.469915509636
81,"206_fs1-00001.jpg",450.622401122799,164.351923643342
82,"206_fs1-00001.jpg",450.115028452138,164.23333036133
83,"206_fs1-00001.jpg",449.607673490592,164.114166615302
84,"206_fs1-00001.jpg",449.10031952174,163.994463356961
85,"206_fs1-00001.jpg",448.592949829164,163.874251538011
86,"206_fs1-00001.jpg",448.085547696447,163.753562110152
87,"206_fs1-00001.jpg",447.57809640717,163.632426025089
88,"206_fs1-00001.jpg",447.070579244915,163.510874234525
89,"206_fs1-00001.jpg",446.562979493263,163.38893769016
90,"206_fs1-00001.jpg",446.055280435796,163.2666473437
91,"206_fs1-00001.jpg",445.547465356095,163.144034146845
92,"206_fs1-00001.jpg",445.039517537743,163.0211290513
93,"206_fs1-00001.jpg",444.531420264321,162.897963008766
94,"206_fs1-00001.jpg",444.023156819411,162.774566970947
95,"206_fs1-00001.jpg",443.514710486594,162.650971889545
96,"206_fs1-00001.jpg",443.006064549452,162.527208716263
97,"206_fs1-00001.jpg",442.497202291567,162.403308402803
98,"206_fs1-00001.jpg",441.988106996521,162.279301900868
99,"206_fs1-00001.jpg",441.478761947894,162.155220162162
100,"206_fs1-00001.jpg",440.96915042927,162.031094138387
101,"206_fs1-00001.jpg",440.459255724229,161.906954781245
102,"206_fs1-00001.jpg",439.949061116352,161.782833042439
103,"206_fs1-00001.jpg",439.438549889223,161.658759873672
104,"206_fs1-00001.jpg",438.927705326423,161.534766226647
105,"206_fs1-00001.jpg",438.416510711532,161.410883053067
106,"206_fs1-00001.jpg",437.904949328134,161.287141304634
107,"206_fs1-00001.jpg",437.393004459809,161.16357193305
108,"206_fs1-00001.jpg",436.880659390139,161.040205890019
109,"206_fs1-00001.jpg",436.367897402706,160.917074127244
110,"206_fs1-00001.jpg",435.854701781092,160.794207596427
111,"206_fs1-00001.jpg",435.341055808878,160.67163724927
112,"206_fs1-00001.jpg",434.826919390832,160.549396191802
113,"206_fs1-00001.jpg",434.312043402495,160.427621213993
114,"206_fs1-00001.jpg",433.796411835195,160.306596616917
115,"206_fs1-00001.jpg",433.280084217723,160.186617964376
116,"206_fs1-00001.jpg",432.763120078868,160.06798082017
117,"206_fs1-00001.jpg",432.24557894742,159.950980748102
118,"206_fs1-00001.jpg",431.727520352168,159.83591331197
119,"206_fs1-00001.jpg",431.209003821903,159.723074075578
120,"206_fs1-00001.jpg",430.690088885414,159.612758602726
121,"206_fs1-00001.jpg",430.170835071491,159.505262457214
122,"206_fs1-00001.jpg",429.651301908924,159.400881202845
123,"206_fs1-00001.jpg",429.131548926502,159.299910403419
124,"206_fs1-00001.jpg",428.611635653016,159.202645622737
125,"206_fs1-00001.jpg",428.091621617254,159.1093824246
126,"206_fs1-00001.jpg",427.571566348008,159.02041637281
127,"206_fs1-00001.jpg",427.051529374066,158.936043031167
128,"206_fs1-00001.jpg",426.531570224219,158.856557963472
129,"206_fs1-00001.jpg",426.011748427255,158.782256733527
130,"206_fs1-00001.jpg",425.492123511966,158.713434905133
131,"206_fs1-00001.jpg",424.972755007141,158.650388042091
132,"206_fs1-00001.jpg",424.453702441569,158.593411708201
133,"206_fs1-00001.jpg",423.93502534404,158.542801467265
134,"206_fs1-00001.jpg",423.416783243345,158.498852883085
135,"206_fs1-00001.jpg",422.899035668272,158.46186151946
136,"206_fs1-00001.jpg",422.381842147612,158.432122940193
137,"206_fs1-00001.jpg",421.865262210155,158.409932709083
138,"206_fs1-00001.jpg",421.34935538469,158.395586389933
139,"206_fs1-00001.jpg",420.834181200007,158.389379546544
140,"206_fs1-00001.jpg",420.319799184895,158.391607742716
141,"206_fs1-00001.jpg",419.806268868145,158.40256654225
142,"206_fs1-00001.jpg",419.293649778547,158.422551508948
143,"206_fs1-00001.jpg",418.781823416249,158.451824448689
144,"206_fs1-00001.jpg",418.270326952128,158.490311731225
145,"206_fs1-00001.jpg",417.759139079029,158.537747627525
146,"206_fs1-00001.jpg",417.24826718082,158.593864141111
147,"206_fs1-00001.jpg",416.737718641369,158.658393275502
148,"206_fs1-00001.jpg",416.227500844544,158.73106703422
149,"206_fs1-00001.jpg",415.717621174212,158.811617420786
150,"206_fs1-00001.jpg",415.208087014242,158.89977643872
151,"206_fs1-00001.jpg",414.698905748502,158.995276091545
