frame,segment,x0,y0,x1,y1
0,0,73.84615384615387,-27.5716888161586,62.89475289922987,-14.662388843475753
0,1,62.89475289922987,-14.662388843475753,52.30115265258635,-1.797575701618257
0,2,52.30115265258635,-1.797575701618257,42.67643820410905,10.25356625198367
0,3,42.67643820410905,10.25356625198367,34.62828706172186,21.085596271307338
0,4,34.62828706172186,21.085596271307338,27.34898445727714,32.4018466842864
0,5,27.34898445727714,32.4018466842864,20.894309416898864,44.17045448249763
0,6,20.894309416898864,44.17045448249763,14.901504095480618,55.49588301133733
0,7,14.901504095480618,55.49588301133733,8.62339577558049,67.37046069900558
0,8,8.62339577558049,67.37046069900558,2.572727458994848,78.60843934267814
1,0,72.22316145393054,-26.827817303056406,62.63598688246074,-13.607417446635168
1,1,62.63598688246074,-13.607417446635168,52.894271592987025,-0.6703140349142132
1,2,52.894271592987025,-0.6703140349142132,43.71188200903515,11.171679203883912
1,3,43.71188200903515,11.171679203883912,35.85415790273899,21.560132267488143
1,4,35.85415790273899,21.560132267488143,28.275503255863697,32.14280498509663
1,5,28.275503255863697,32.14280498509663,21.06388863960251,42.979307852035674
1,6,21.06388863960251,42.979307852035674,14.599991421774831,53.54012078439803
1,7,14.599991421774831,53.54012078439803,8.387907442310905,64.9467211639813
1,8,8.387907442310905,64.9467211639813,2.9505606030733134,76.06527973480152
2,0,51.327134404057404,-29.397555257409635,55.10837365194672,-14.86069809868053
2,1,55.10837365194672,-14.86069809868053,55.420860094514296,0.8167698108915147
2,2,55.420860094514296,0.8167698108915147,50.96255770600382,14.338741854323985
2,3,50.96255770600382,14.338741854323985,44.38646668794564,24.078595380917307
2,4,44.38646668794564,24.078595380917307,34.15884101914949,31.64864554417909
2,5,34.15884101914949,31.64864554417909,23.44894611575296,37.48067245969651
2,6,23.44894611575296,37.48067245969651,13.583592691084249,43.51404514913037
2,7,13.583592691084249,43.51404514913037,6.0045262334046186,53.085286310844765
2,8,6.0045262334046186,53.085286310844765,2.3082794216642526,64.22659425669505
3,0,36.24683009298397,-36.49814697338604,44.80204753347911,-22.601711400589124
3,1,44.80204753347911,-22.601711400589124,50.90456543620414,-8.394517594686704
3,2,50.90456543620414,-8.394517594686704,55.05678425785143,5.654803382001603
3,3,55.05678425785143,5.654803382001603,54.777889255827574,18.965984281575743
3,4,54.777889255827574,18.965984281575743,51.58442769091232,31.10033087818232
3,5,51.58442769091232,31.10033087818232,42.03876684743037,38.59148535882247
3,6,42.03876684743037,38.59148535882247,29.795659027738424,40.86973078254772
3,7,29.795659027738424,40.86973078254772,16.882829937383036,41.3445780923895
3,8,16.882829937383036,41.3445780923895,6.413151370691139,45.70249085270558
4,0,28.740490278951768,-47.72384435292963,32.76538289533113,-30.77438205088555
4,1,32.76538289533113,-30.77438205088555,39.75140339867835,-15.831318965158516
4,2,39.75140339867835,-15.831318965158516,49.062096395515,-2.7026505680834703
4,3,49.062096395515,-2.7026505680834703,56.01696036263442,9.074681104801073
4,4,56.01696036263442,9.074681104801073,59.749477012920266,22.127110511045714
4,5,59.749477012920266,22.127110511045714,55.85653115514043,35.70232014248228
4,6,55.85653115514043,35.70232014248228,47.29291572475759,44.31900726648507
4,7,47.29291572475759,44.31900726648507,33.41197425042273,46.58026212895322
4,8,33.41197425042273,46.58026212895322,21.374137219870335,42.260542103229
5,0,32.2569737954351,-54.89206075191527,30.95495663545111,-38.18522039989904
5,1,30.95495663545111,-38.18522039989904,32.86579408220513,-21.648818320876046
5,2,32.86579408220513,-21.648818320876046,41.05204156216857,-8.34806336687683
5,3,41.05204156216857,-8.34806336687683,50.58728270903282,1.2598074704725377
5,4,50.58728270903282,1.2598074704725377,60.04632133187198,11.010198220943892
5,5,60.04632133187198,11.010198220943892,66.4235740346592,22.85996788936069
5,6,66.4235740346592,22.85996788936069,67.3713924721863,35.27074271680533
5,7,67.3713924721863,35.27074271680533,59.83447262145077,46.438120003476286
5,8,59.83447262145077,46.438120003476286,47.93143373950673,50.96447210855766
6,0,37.05832628909542,-60.30203539265915,28.761423516568016,-46.209557712892035
6,1,28.761423516568016,-46.209557712892035,27.467707586861934,-29.257553188507586
