"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"62" "Amont" 2880.08 0 93.6397 29.8255 5.21146 1.14885 1401.6 64.4076 28434.4143917173 26616.240523077 30834.1306006697 17.2099184364894 27.7695984090149 25.4269954832519 "Cauterets" "Cauterets.Amont" 2.28 63.032
"63" "Amont" 1175 0.399681 94.672 0.299761 3.77955 1.54845 1327.04 201.072 17973.6286694047 16958.8451226695 16236.9886561937 16.7911476631501 21.3419160691846 24.0778783679408 "Cauterets" "Cauterets.Amont" 2.157 61.836
"63" "Amont" 1175 0.399681 94.672 0.299761 3.77955 1.54845 1327.04 201.072 17973.6286694047 16958.8451226695 16236.9886561937 16.7911476631501 21.3419160691846 24.0778783679408 "Cauterets" "Cauterets.Amont" 2.157 61.836
"64" "Amont" 2609.52 11.0671 87.9288 10.4236 6.32504 5.74614 2394.12 217.773 33054.3526942805 32950.2913879933 36815.0509068964 49.094131248772 174.474286769835 175.782464625965 "Lees Athas" "Lees Athas.Amont" 7.033 92.74
"65" "Amont" 3126.08 38.1778 52.7061 37.1784 21.6486 25.6453 1338.48 137.3 30737.8112648673 27447.1775332539 29177.9906875261 25.3820771252689 40.9338496345694 35.8322577820012 "Lees Athas" "Lees Athas.Amont" 8.024 94.854
"66" "Amont" 2637.22 3.39786 76.1532 2.74827 14.6545 9.15903 1352.87 98.6824 31043.7625613486 28439.3097130166 29549.2397179858 25.2061801700404 46.5468505840022 41.6171413543892 "Lees Athas" "Lees Athas.Amont" 6.496 88.344
"63_bis" "Amont" 1999.95 0.699577 78.8663 0.549667 14.5171 6.39937 4924.03 241.771 24804.2194057333 26839.2162365828 28111.484346466 29.3271430598223 91.3021766445828 82.0797132960258 NA NA NA NA
"77" "Amont" 129.484 0.099902 0.133178 0.499512 0.0166472 99.8169 5195.45 3.78904 11074.0429316001 15054.2265266384 5736.84259083122 3.30171783462707 15.8569153732411 14.5070898550758 "Cauterets" "Cauterets.Amont" 1.258 52.478
"78" "Amont" 720.812 81.3235 68.3869 80.9239 4.36158 27.2515 601.683 117.206 21930.0511864744 22159.2407210086 16452.6159311591 12.218213160532 84.087261994577 83.3863917936097 "Cauterets" "Cauterets.Amont" 2.151 62.139
"79" "Amont" 405.347 1.09894 98.7515 0.949084 0.48277 0.765773 195.77 47.1815 18193.2725404655 13914.8273782447 10750.8394918107 10.4611543423413 23.7055359934802 23.5256406688466 "Lees Athas" "Lees Athas.Amont" 3.772 74.026
"80" "Amont" 1234.5 148.858 27.8175 148.059 15.4653 56.7172 482.192 111.388 27298.1727350535 20877.798585485 18826.3162070687 26.4329318919678 19.3468526352835 14.0456849564901 "Cauterets" "Cauterets.Amont" 5.888 86.234
"81" "Amont" 811.701 0.149857 97.4197 0.049952 2.04761 0.532712 392.742 64.0551 20034.7258039637 14679.2422953097 13565.9877857515 10.7418309828618 6.87191680095521 7.09006252876115 "Cauterets" "Cauterets.Amont" 3.639 74.175
"82" "Amont" 1024.7 102.854 59.3641 101.206 5.1107 35.5252 1157.67 155.888 24569.7869553867 48817.924019495 40660.550451471 26.0341815157219 599.87461541186 614.96810776122 "Cauterets" "Cauterets.Amont" 1.39 52.06
"83" "Amont" 2189.64 0.699367 89.9617 0.499547 6.75878 3.19627 2560.61 96.9954 27578.9787255799 20512.2106085383 22682.7415102439 17.5874168456139 29.3011632669738 29.1874380460736 "Lees Athas" "Lees Athas.Amont" 9.794 98.792
"84" "Amont" 738.014 0.549549 51.6151 0.449631 44.1725 4.0626 461.408 94.0946 17010.5202620909 14188.8996522506 10939.7426751525 13.5131754474114 13.9039162569398 13.955179914956 NA NA 6.57 90.012
"85" "Amont" 610.136 1.09907 95.7383 0.649451 3.09639 1.14866 4461.14 36.2584 14232.315139351 10750.5746155419 8974.56368846657 7.18459684113115 11.0152408776728 11.0062460066524 "Lees Athas" "Lees Athas.Amont" 14.006 113.013
"86" "Amont" 4388.99 1.14908 66.4502 0.949243 20.6127 12.6707 5518.77 119.414 40583.162875008 36967.977129077 41151.9486777179 54.937358610696 121.402387934061 107.288706305625 "Lees Athas" "Lees Athas.Amont" 6.048 88.452
"97" "Amont" 120.393 52.2995 82.5703 51.4504 0.283003 17.1467 76.1789 7.08057 10119.006848461 9964.50902968417 4787.23777866968 2.2263009391176 12.021950544791 10.9183139127523 "Cauterets" "Cauterets.Amont" 2.718 67.734
"98" "Amont" 469.695 137.817 2.51373 0.549469 13.5509 83.7523 4076.96 56.2204 19423.291285413 62476.3453827983 54647.9534454209 21.2693667768941 1090.28696086408 1124.89211788953 "Cauterets" "Cauterets.Amont" 1.472 55.237
"99" "Amont" 979.695 0 99.0678 48.2534 0.932246 0 2503.92 68.1248 23042.6883277892 16301.8066874972 15923.6896813503 16.8189178006593 32.5053486989245 28.2899050052524 "Lees Athas" "Lees Athas.Amont" 7.669 93.985
"100" "Amont" 817.89 3.09701 98.0023 2.49759 1.16531 0.632596 377.237 101.753 27513.198679773 20588.3403700532 14809.6333410305 16.0598874777699 9.21059901071749 11.4314482643156 "Cauterets" "Cauterets.Amont" 3.619 73.669
"101" "Amont" 2002.27 2.49777 94.4232 1.69848 2.9965 2.56368 1065.14 118.067 28245.6246713035 24128.526377491 27878.626359153 27.5548341731168 42.458369789919 41.0672888258163 "Cauterets" "Cauterets.Amont" 3.167 72.05
"102" "Amont" 2468.62 40.5682 76.8065 39.8188 7.39261 15.7676 723.966 92.4822 24800.9002602234 18161.9113778109 21647.3583233412 16.0943198027137 13.3702782558654 13.4946574916614 "Lees Athas" "Lees Athas.Amont" 6.358 89.535
"103" "Amont" 3448.83 30.9268 76.5901 30.5271 9.90676 13.5032 1665.55 132.393 32645.5335199888 24908.7926366845 28213.4931851663 28.9119588282792 25.4433493995106 26.386419746692 "Lees Athas" "Lees Athas.Amont" 16 118.454
"104" "Amont" 2800.93 61.2034 71.9947 59.9044 6.07726 21.8615 1188.6 178.305 28857.8305942301 35150.8578509801 36263.6285698569 22.7554973087013 113.747721446362 113.938586639431 "Cauterets" "Cauterets.Amont" 1.86 59.723
"105" "Amont" 752.35 196.51 30.2198 196.11 3.21345 66.5668 406.354 68.2872 34860.9652059529 22658.4890764008 21635.4272728912 37.8518526744688 54.647530094488 55.1445016531363 "Lees Athas" "Lees Athas.Amont" 6.639 90.471
"118" "Amont" 112.188 NA 0 160.845 41.4017 58.5983 72.307 2.32701 16377.1525996027 11133.3511325959 8728.42509078491 4.37660800188952 11.3927518120956 11.6203501728799 "Cauterets" "Cauterets.Amont" 2.632 66.603
"119" "Amont" 1875.1 0.299714 93.0415 92.4119 4.96088 1.89779 3912.32 67.5223 25330.9674225544 27074.1540339263 23550.5059626498 20.9917254131845 140.29821860591 133.999639407443 "Cauterets" "Cauterets.Amont" 4.325 76.76
"120" "Amont" 530.366 0.549463 98.9679 193.811 0.48277 0.366239 367.352 82.5984 27530.9293708289 20596.6317332199 13616.0202290956 25.1141442614303 12.7527633200424 11.9428034715569 "Cauterets" "Cauterets.Amont" 2.83 66.523
"121" "Amont" 2146.86 0.499512 90.7774 0.299707 7.97403 1.18195 986.566 257.718 29197.4640719702 27932.9846291109 29163.601607034 22.29742519067 41.0358167565863 39.1249668371165 "Cauterets" "Cauterets.Amont" 2.29 63.671
"122" "Amont" 1069.42 1.34873 96.5873 1.09896 2.81338 0.549359 1722.09 95.0122 14377.858714566 10821.3910491584 13267.4414014353 19.2412975592534 27.6285784067737 29.8446603591821 "Cauterets" "Cauterets.Amont" 7.137 90.809
"123" "Amont" 2893.01 0 91.4252 6.79475 7.44256 1.1322 994.28 164.068 29821.9325039237 27429.0869795455 32202.4539849532 27.1846844942633 31.3459940819006 32.6384539318439 "Cauterets" "Cauterets.Amont" 2.754 66.232
"124" "Amont" 152.772 297.627 0.815851 297.577 0.0166501 99.0676 860.883 10.7904 17025.343256092 10074.3740248132 9249.19647506286 4.52708470271044 2.861813102834 2.68324808587297 "Cauterets" "Cauterets.Amont" 7.275 92.264
"125" "Amont" 453.321 0 95.2714 0.849384 4.4622 0.2664 149.694 50.3132 10894.3060631425 9442.46081265166 7099.7372297107 7.37849000619011 6.38279964194284 5.90081803265721 "Cauterets" "Cauterets.Amont" 5.443 83.491
"126" "Amont" 75.8535 NA 0 NA 0 100 25.5918 0.302445 19093.6710205846 9700.89523270846 10086.7925072903 7.48073025034451 1.67214243530244 2.27540742859451 "Lees Athas" "Lees Athas.Amont" 7.916 95.586
"127" "Amont" 3976.85 0.399705 73.2767 1.59882 20.363 6.22711 1950.39 121.482 41119.5663571298 38770.5750166472 43749.4885442579 45.3571559409972 72.4525742762059 72.5080071681519 "Lees Athas" "Lees Athas.Amont" 4.8 77.219
"138" "Amont" 1314.23 22.4783 91.6431 22.2286 0.449475 7.89079 655.525 142.814 24901.3538733082 25278.372990488 22963.5026847449 17.4104761112193 96.7040164358322 99.4607199024846 "Cauterets" "Cauterets.Amont" 1.696 58.457
"139" "Amont" 2636.18 0.099904 90.0449 56.3463 6.92525 2.9965 1301.99 94.2144 28466.9003903223 28423.066375487 31261.5121072353 20.6861464687552 33.6405279173144 29.6682517367993 "Cauterets" "Cauterets.Amont" 2.472 63.892
"140" "Amont" 2281.05 0.099902 99.9667 NA 0 0 1266.62 99.2123 33552.058192757 26053.7283622611 31318.1918598648 33.2837309662843 33.5934569714442 27.3734447347922 "Cauterets" "Cauterets.Amont" 4.564 76.662
"141" "Amont" 1041.8 211.299 21.708 210.849 6.54237 71.7496 316.515 157.629 19822.8722070558 20628.9282564132 15072.0753050045 11.9527247278858 15.0940690435474 14.4899768871721 "Cauterets" "Cauterets.Amont" 2.298 63.474
"142" "Amont" 2191.81 109.448 60.9622 108.999 2.59697 36.4408 1173.54 268.505 34009.515480618 47435.2684747307 45731.7365319666 28.7295567167847 393.871953914569 426.952365481206 "Cauterets" "Cauterets.Amont" 2.13 62.199
"143" "Amont" 336.059 0 86.9652 234.999 11.5865 1.44831 252.266 63.3764 16724.4821050653 24141.6326993207 12818.9979199283 8.51143632187019 89.4849211183216 85.0012060806494 "Cauterets" "Cauterets.Amont" 0.786 46.786
"144" "Amont" 1146.36 80.1813 63.2762 79.6817 8.83969 27.751 808.698 255.393 27572.2342771313 46145.0930651784 39156.8313111761 21.9010629358696 521.427374612644 536.289681803457 "Cauterets" "Cauterets.Amont" 1.36 55.774
"145" "Amont" 2696.23 21.0332 90.3263 20.6835 1.1655 8.45821 1129.03 70.4387 28545.6120501705 23496.0174339616 26099.4554126635 18.3496006037852 18.8257549067792 16.7987631743461 "Cauterets" "Cauterets.Amont" 6.172 88.274
"146" "Amont" 2338.13 43.6163 78.9211 42.9168 4.8618 16.034 1125.5 158.948 32874.298931028 26979.9921515853 30769.1838541394 33.0303784519006 36.1174381014067 39.0286790966677 "Cauterets" "Cauterets.Amont" 5.345 82.906
"147" "Amont" 2324.69 24.0811 76.5734 23.7813 9.75691 13.5198 1322.01 172.819 33488.545186545 28089.0373775883 28602.5158518165 34.3675571994671 38.5838043060124 35.1887908689428 "Lees Athas" "Lees Athas.Amont" 6.537 89.079
"151" "Amont" 1836.91 117.636 45.6467 114.44 11.7197 42.6336 676.404 187.969 26069.9424705416 26618.3794716071 23437.8394383837 21.0298813481602 32.8068729619457 27.8701160058122 "Cauterets" "Cauterets.Amont" 2.085 62.571
"152" "Amont" 3570.17 18.8818 67.0052 18.3823 21.4084 11.4367 1559.97 111.633 36610.6071212654 33036.7132686944 39599.8887078415 33.4427631606303 49.8816110820349 47.6169220778758 "Cauterets" "Cauterets.Amont" 3.571 73.63
"153" "Amont" 2589.55 0 97.736 1.14893 2.26402 0 1311.84 96.0537 28952.8829153193 27198.6240310322 29358.5100797352 22.8930382281392 30.6429824716415 33.155505963774 "Cauterets" "Cauterets.Amont" 2.721 67.548
